cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;01/03/2013;502106367;4760004;15452244;17809613;35676883;17593439;5157483;599;96450265;2097816;6405010;9984751;11724063;4117411;1364966;9;35694026;780299;3303788;3420777;5494222;1358388;954;0;14358427;1460310;8668591;21003358;54112214;49399367;81479613;8870886;224994339;1581365;17366688;3096518;116414;200;1;0;22161186;1271444;8291196;29557518;18850611;13281572;14250638;1026780;86529759;1908253;7031365;6789151;4173356;1478821;421657;115759;21918363;0
1%;1 - Público;01/03/2013;0,4471;0,7746;0,5958;0,3957;0,4414;0,5391;0,8048;0,0904;0,4897;0,3107;0,321;0,3271;0,3637;0,5402;0,6432;0,0013;0,3598;0,1362;0,1179;0,0538;0,0586;0,097;0,0391;0;0,07;0,9166;0,8447;0,8646;0,8816;0,8948;0,8144;0,4452;0,825;0,1226;0,2047;0,1315;0,1011;0,0019;0;0;0,1808;0,7669;0,5367;0,6421;0,646;0,7256;0,808;0,9997;0,6693;0,2598;0,2602;0,3695;0,2766;0,3025;0,3191;0,1783;0,2935;0
2;2 - Privado Nacional;01/03/2013;430208509;799826;8414578;21943488;36660414;12279493;831625;329;80929753;2258686;10112639;14287003;13359442;2328525;666030;3329;43015655;3845064;16823374;40808603;61382108;8578302;15858;5904;131459211;101007;944682;1780043;4040489;3547601;12242633;8562445;31218901;7890025;46423437;15427985;240916;3741;315;88;69986507;210924;5122566;11798601;5709455;2686046;2371093;195;27898881;2777670;14142265;7446764;7257431;1916172;398731;513523;34452557;11247044
2%;2 - Privado Nacional;01/03/2013;0,3831;0,1302;0,3244;0,4875;0,4536;0,3763;0,1298;0,0497;0,4109;0,3345;0,5069;0,468;0,4145;0,3055;0,3138;0,4567;0,4336;0,6713;0,6002;0,6416;0,6541;0,6124;0,65;0,5674;0,6405;0,0634;0,0921;0,0733;0,0658;0,0643;0,1224;0,4297;0,1145;0,6118;0,5471;0,6554;0,2093;0,0359;0,0095;0,0073;0,5709;0,1272;0,3316;0,2563;0,1957;0,1467;0,1344;0,0002;0,2158;0,3782;0,5234;0,4053;0,481;0,392;0,3017;0,791;0,4613;0,502
3;3 - Privado com Controle Estrangeiro;01/03/2013;190772381;585040;2069961;5256837;8480568;2760818;419326;5695;19578244;2395597;3432617;6254456;7149823;1176446;91279;3951;20504168;1102615;7900296;19373028;26960769;4071335;7585;4501;59420127;31843;649174;1508514;3225449;2262620;6324497;2492863;16494961;3424100;21060674;5016538;793670;100127;33014;12037;30440160;175626;2035664;4677013;4620835;2337683;1014393;70;14861284;2659265;5846446;4136289;3658119;1493679;501036;19952;18314788;11158649
3%;3 - Privado com Controle Estrangeiro;01/03/2013;0,1699;0,0952;0,0798;0,1168;0,1049;0,0846;0,0654;0,8599;0,0994;0,3548;0,1721;0,2049;0,2218;0,1543;0,043;0,542;0,2067;0,1925;0,2819;0,3046;0,2873;0,2906;0,3109;0,4326;0,2895;0,02;0,0633;0,0621;0,0526;0,041;0,0632;0,1251;0,0605;0,2655;0,2482;0,2131;0,6895;0,9621;0,9905;0,9927;0,2483;0,1059;0,1318;0,1016;0,1584;0,1277;0,0575;0,0001;0,1149;0,362;0,2164;0,2251;0,2424;0,3055;0,3792;0,0307;0,2452;0,498
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;01/03/2013;1044187323;6120976;25461078;43871298;79102976;32039446;6316563;6330;192918666;5906325;16523522;26351231;28691123;6774380;1797915;3558;86048053;5442021;24587370;55327285;82454707;12156167;19865;10405;179997819;1587292;10185301;24160241;61139169;55061926;99649268;19852336;271635534;11816996;79966933;22247426;1078329;101241;33049;12037;115256011;1443096;11413007;38428458;24072022;15769855;15340120;1027033;107493591;6986317;24255927;16812276;14319390;4655216;1246837;156076;68432040;22405609
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;01/03/2013;0,9297;0,9961;0,9817;0,9747;0,9788;0,9818;0,9857;0,9558;0,9795;0,8747;0,8282;0,8632;0,8901;0,8887;0,8472;0,4881;0,8673;0,9501;0,8773;0,8699;0,8787;0,8678;0,8142;1;0,877;0,9963;0,9925;0,9946;0,9961;0,9973;0,996;0,9963;0,9961;0,9164;0,9424;0,945;0,9369;0,9728;0,9916;0,9927;0,9402;0,8704;0,7387;0,8348;0,8249;0,8615;0,8698;1;0,8314;0,9511;0,8977;0,9151;0,949;0,9522;0,9436;0,2404;0,9163;1
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;01/03/2013;29727067;268;8359;19001;19410;1787;0;0;48825;1408;20207;37729;44778;5129;32;0;109283;214606;2864412;6846109;9342757;1521018;1746;0;20790647;139;349;394;1692;556;1081;141;4352;485554;1556321;671718;58882;0;0;0;2772474;87764;581047;907545;2257746;1282462;449811;0;5566376;29527;78921;80397;179823;64942;1499;0;435110;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;01/03/2013;0,0265;0;0,0003;0,0004;0,0002;0,0001;0;0;0,0002;0,0002;0,001;0,0012;0,0014;0,0007;0;0;0,0011;0,0375;0,1022;0,1076;0,0996;0,1086;0,0716;0;0,1013;0,0001;0;0;0;0;0;0;0;0,0377;0,0183;0,0285;0,0512;0;0;0;0,0226;0,0529;0,0376;0,0197;0,0774;0,0701;0,0255;0;0,0431;0,004;0,0029;0,0044;0,0119;0,0133;0,0011;0;0,0058;0
b3S;b3S - Cooperativa de Crédito Singulares;01/03/2013;34717594;14539;423087;1018379;1560212;545915;88529;293;3650954;195409;2128135;3264773;3384592;839027;324299;2879;10139113;14150;347279;903992;1429840;266186;2061;0;2963509;0;0;0;0;0;0;0;0;32309;264224;2011;3000;2826;281;88;304739;96072;3292766;6335229;1867487;428470;365926;12;12385962;174030;2541239;1339282;538506;149644;55747;474870;5273317;0
b3S%;b3S - Cooperativa de Crédito Singulares;01/03/2013;0,0309;0,0024;0,0163;0,0226;0,0193;0,0167;0,0138;0,0442;0,0185;0,0289;0,1067;0,1069;0,105;0,1101;0,1528;0,3949;0,1022;0,0025;0,0124;0,0142;0,0152;0,019;0,0845;0;0,0144;0;0;0;0;0;0;0;0;0,0025;0,0031;0,0001;0,0026;0,0272;0,0084;0,0073;0,0025;0,0579;0,2131;0,1376;0,064;0,0234;0,0207;0;0,0958;0,0237;0,0941;0,0729;0,0357;0,0306;0,0422;0,7314;0,0706;0
b3C;b3C - Central e Confederação de Cooperativas de Crédito;01/03/2013;1310;0;109;334;356;0;0;0;799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;294;183;0;0;0;511;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;01/03/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b4;b4 - Banco de Desenvolvimento;01/03/2013;3066620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17223;140102;257826;753699;640666;1189981;0;2999497;771;3791;10077;22598;15277;14609;0;67122;0
b4%;b4 - Banco de Desenvolvimento;01/03/2013;0,0027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0104;0,0091;0,0056;0,0258;0,035;0,0675;0;0,0232;0,0001;0,0001;0,0005;0,0015;0,0031;0,0111;0;0,0009;0
n1;n1 - Não Bancário de Crédito;01/03/2013;11369539;9088;44150;100927;134910;46602;3342;0;339019;648957;1278402;872477;112836;3846;29;853;2917400;57199;228397;525022;609794;64654;725;0;1485791;5728;76796;131281;237292;147107;396393;73718;1068315;560631;3063320;619887;10790;1;0;0;4254629;13839;22504;104074;229948;183848;290286;0;844498;154543;140165;129879;28407;3593;2732;485;459803;84
n1%;n1 - Não Bancário de Crédito;01/03/2013;0,0101;0,0015;0,0017;0,0022;0,0017;0,0014;0,0005;0;0,0017;0,0961;0,0641;0,0286;0,0035;0,0005;0;0,117;0,0294;0,01;0,0081;0,0083;0,0065;0,0046;0,0297;0;0,0072;0,0036;0,0075;0,0054;0,0039;0,0027;0,004;0,0037;0,0039;0,0435;0,0361;0,0263;0,0094;0;0;0;0,0347;0,0083;0,0015;0,0023;0,0079;0,01;0,0165;0;0,0065;0,021;0,0052;0,0071;0,0019;0,0007;0,0021;0,0007;0,0062;0
n2;n2 - Não Bancário de Mercado de Capitais;01/03/2013;17804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17804;17804;0
n2%;n2 - Não Bancário de Mercado de Capitais;01/03/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0274;0,0002;0
C;C - Conglomerado;01/03/2013;759032810;1569737;14267470;37834868;67039987;25959493;4639001;6330;151316886;4435207;13587373;24795225;26703880;6531994;1775094;4404;77833178;4772665;23461562;57459503;84741901;12377004;19982;10405;182843022;129507;1757801;3732519;8535659;7117378;24013666;14560245;59846775;11386364;77183459;21486643;1057191;101059;33049;12037;111259802;991337;10763739;36899686;22624714;14823678;13650083;1026489;100779725;5540290;18888869;12702201;10862611;3477295;1126325;150221;52747812;22405609
C%;C - Conglomerado;01/03/2013;0,6758;0,2555;0,5501;0,8406;0,8295;0,7955;0,7239;0,9558;0,7683;0,6569;0,6811;0,8123;0,8285;0,8569;0,8364;0,6042;0,7845;0,8332;0,8371;0,9034;0,9031;0,8836;0,8191;1;0,8909;0,0813;0,1713;0,1537;0,1391;0,1289;0,24;0,7307;0,2195;0,883;0,9096;0,9127;0,9185;0,9711;0,9916;0,9927;0,9076;0,5979;0,6967;0,8016;0,7753;0,8098;0,774;0,9995;0,7795;0,7543;0,6991;0,6914;0,7199;0,7113;0,8524;0,2314;0,7063;1
I;I - Instituição independente;01/03/2013;364054447;4575133;11669313;7175070;13777878;6674257;1769433;293;45641376;2316891;6362894;5730985;5529447;1090387;347182;2885;21380671;955311;4565895;6142905;9095197;1631021;4414;0;22394744;1463653;8504645;20559397;52842494;48092210;76033077;5365949;212861426;1509126;7667340;2054398;93809;3009;281;88;11328051;666658;4685687;9133446;6556187;3481624;3986040;556;28510199;1804898;8131208;5670004;4226295;1411378;195100;499013;21937895;84
I%;I - Instituição independente;01/03/2013;0,3242;0,7445;0,4499;0,1594;0,1705;0,2045;0,2761;0,0442;0,2317;0,3431;0,3189;0,1877;0,1715;0,1431;0,1636;0,3958;0,2155;0,1668;0,1629;0,0966;0,0969;0,1164;0,1809;0;0,1091;0,9187;0,8287;0,8463;0,8609;0,8711;0,76;0,2693;0,7805;0,117;0,0904;0,0873;0,0815;0,0289;0,0084;0,0073;0,0924;0,4021;0,3033;0,1984;0,2247;0,1902;0,226;0,0005;0,2205;0,2457;0,3009;0,3086;0,2801;0,2887;0,1476;0,7686;0,2937;0
