Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/03/2014;362666258;2000327;3323860;8872519;18457767;9701773;2089081;0;44445327;1318806;1462690;2633049;3353330;397413;450;0;9165738;320483;819825;2071551;3387822;638425;689;0;7238795;1621448;9148596;24216583;54675282;42863781;107381852;34433802;274341345;900495;5907819;1447634;89299;402;0;0;8345649;2497;834471;526452;163029;133309;140814;0;1800572;1862595;4401979;4071768;2860554;1652746;2057809;421380;17328832;0
BB;49906;b1;C;1;;199;BRASILIA;DF;01/03/2014;238366667;222150;3994132;11187133;22689799;11046235;4116502;0;53255951;449322;2760500;7578194;9223293;3425760;1188773;0;24625841;53255;1287099;3319586;5019378;871408;0;0;10550727;7690;342233;764066;2016518;1944236;8494833;7119778;20689354;1163970;15635028;2479980;8038;14;0;0;19287029;918887;9634621;34028639;22619019;15361907;17713894;1099866;101376832;284065;1379459;3307346;984142;420308;345497;30;6720848;1860084
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/03/2014;169546154;119707;2178236;5637370;11229434;5062186;41533;0;24268468;536207;3184562;5220891;3759297;224186;100763;0;13025906;1133687;4755273;11842468;17212696;1862862;3365;0;36810350;63838;476570;1182651;2359987;2176308;8184403;6872648;21316406;3558653;31198228;11151591;158948;0;0;0;46067420;553;41622;98057;110678;77665;86695;0;415269;1178101;5557693;2703657;4254485;949965;54642;0;14698543;12943791
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/03/2014;129592256;158403;2795214;7415557;12022158;4259904;547713;0;27198949;683930;4168340;5457958;3969708;542006;155999;24;14977965;465074;3753962;9055837;11064401;1086377;5751;5;25431408;40471;234233;659066;1683266;1534058;5627161;4011526;13789781;3046281;13937876;5514560;132357;1064;32;0;22632169;86710;1583346;6978732;3751420;1878822;730726;0;15009756;1024516;4910462;1781253;1663045;498967;201340;13440;10093023;459205
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/03/2014;118283741;482073;1347402;3411210;5196868;1580215;337973;6392;12362134;797567;1406927;3116461;4524045;1025784;99617;1705;10972107;641943;4639431;11376200;15271416;1914925;9152;4903;33857971;30579;711610;1668137;3508482;2539435;5975297;2260008;16693548;1229359;12022776;2638780;570641;209487;40138;2742;16713924;21248;223486;1571202;618020;279478;129716;660;2843810;1511988;5241623;2836528;3148832;1297712;377820;5134;14419636;10420611
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/03/2014;38585431;150600;940884;2283985;3097339;619668;261;0;7092738;6627;21482;41161;11812;333;0;0;81415;973881;4613065;10752570;13196914;1358947;372;0;30895749;0;0;0;0;0;0;0;0;146720;140201;31418;57;0;0;0;318395;895;8064;11876;30418;40051;40329;0;131632;2854;12245;20894;20666;8843;0;0;65502;0
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/03/2014;19495411;9384;95665;259123;415081;74433;2020;90;855796;581397;1405297;2038439;1081091;40413;6;1419;5148061;60003;367972;891234;1140800;154617;222;0;2614847;6313;88708;206933;530793;294337;2097370;1247381;4471835;376257;2488009;389711;437;0;0;0;3254414;19366;199083;1071677;354959;2746;0;0;1647831;191628;570556;639483;46224;14298;32328;8109;1502627;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/03/2014;15093452;216041;1397569;3594820;5513150;1839163;212519;70;12773332;7197;2184;6485;5456;655;0;0;21977;43475;149701;338534;264331;20353;0;0;816394;22;133;421;1183;1332;5686;0;8776;146019;1078467;0;0;0;0;0;1224486;0;0;0;0;0;0;0;0;8091;34491;89670;106520;9698;17;0;248486;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/03/2014;13371644;61879;654639;1788094;3282374;1239529;163641;290;7190446;39705;335347;567263;184253;11510;34432;3;1172512;807;19467;51054;77243;11069;144;0;159783;1703;34751;98932;265854;239398;891753;608862;2141253;32469;52810;8179;1613;1;0;0;95071;20233;436283;206073;260845;168211;241980;0;1333624;109973;624678;187830;214881;85965;55438;188;1278953;0
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/03/2014;13338048;17850;62270;145541;236073;62833;511;0;525078;88839;250730;575575;953197;96288;14;0;1964643;624;7596;19369;18730;3111;4;0;49433;607;10419;24301;63047;57731;219894;160614;536613;893427;6977387;1620644;333630;514;0;0;9825603;0;0;57910;0;0;0;0;57910;49899;270508;56038;2137;185;0;0;378768;0
