Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2017;701.167.231;142.116.970;465.791.440;28.894.127;0;8;50.236.854;0;0;615.817;4.239.112;0;0;9.205.271;67.631;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2017;622.171.502;355.124.847;60.624.499;17.844.632;170.154;35.711;105.452.362;0;43.101.206;2.188.629;248.109;0;0;4.044.265;104.317;33.232.770
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2017;525.772.611;221.067.144;46.450.632;10.142.202;963.778;4.010.921;28.473.288;115.777;791.091;468.805;95.898;0;0;5.739;448.237;212.739.100
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2017;421.050.975;197.226.299;55.814.901;26.264.098;14.566;12.639.337;41.289.106;182.798;370.625;3.569.074;0;0;9.051;0;504.149;83.166.972
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;03/2017;333.189.240;61.585.982;246;225.898.265;6.839.709;12.387.545;3.033.925;13.161.628;0;17.097;10.243.956;0;0;20.886;0;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2017;255.829.245;157.465.246;44.542.990;6.937.205;6.453;199.523;20.931.713;1.079.556;0;156.390;590.542;0;3.459;10.013;116.172;23.789.983
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2017;52.019.503;23.279.998;495.747;2.732.325;0;1.758.859;13.641.831;322.110;0;109.750;440;0;11.419;0;760;9.666.263
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2017;46.364.428;37.461.246;11.377;1.086.364;59.571;1.522.942;4.491.500;111.511;0;0;94.917;0;0;0;13.408;1.511.591
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2017;29.473.641;18.727.147;5.571.541;289.331;0;1.011.126;3.674.263;0;0;45.731;0;0;0;0;18.602;135.899
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;03/2017;20.266.416;14.348.338;1.137.477;468.809;0;0;4.247.322;58.432;0;0;0;0;0;0;6.038;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;03/2017;19.840.200;16.584.545;590.565;0;0;0;1.936.398;0;0;392.515;110.875;0;0;218.706;6.597;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;03/2017;16.853.045;15.410.115;0;152.555;0;947.603;342.488;0;0;0;0;0;0;0;283;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2017;15.893.599;13.689.443;145.385;242.144;0;0;1.806.076;0;0;0;7.841;0;0;2.710;0;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2017;13.874.551;10.721.769;0;1.145.891;0;0;2.006.792;0;0;0;0;0;0;0;100;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;03/2017;13.500.448;9.315.748;40.843;2.712.585;0;0;0;0;0;545.325;0;0;351;885.590;7;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2017;12.890.447;9.902.858;2.942;189.201;0;68.832;1.444.479;317.226;141.102;221;0;0;17.418;586.509;1.252;218.408
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2017;12.359.888;9.681.316;0;57.816;0;1.890.446;704.661;0;0;0;0;0;0;3.436;22.214;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;03/2017;12.356.113;6.464.869;27.112;1.150.239;0;1.325.700;1.036.200;0;20;2.322.398;0;0;29.066;0;509;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;03/2017;11.962.646;2.872.941;0;636.337;0;7.224;5.808.820;37.651;0;0;20.847;0;0;455.677;1;2.123.148
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;03/2017;11.773.113;11.319.678;62.127;223.323;0;0;160.637;0;0;0;0;0;0;0;7.348;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2017;11.508.848;562.404;79.640;2.380.571;64.494;0;4.310.102;0;0;76.046;277.549;0;0;200.874;0;3.557.167
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;03/2017;9.303.579;7.918.278;1.083.565;70.224;0;219.868;0;0;0;11.429;0;0;0;0;204;11
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;03/2017;8.199.203;8.199.202;0;0;0;0;0;0;0;0;0;0;0;0;1;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;03/2017;7.799.195;6.854.714;0;0;0;33.624;848.544;0;0;0;0;0;0;57.561;4.751;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;03/2017;7.752.138;6.113.838;0;1.269.773;0;0;0;368.526;0;0;0;0;0;0;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;03/2017;7.336.079;7.118.672;0;215.780;0;0;0;1.626;0;0;0;0;0;0;0;0
JOHN DEERE;50.071;b1;C;3;S4;199;INDAIATUBA;SP;03/2017;7.162.814;6.721.344;0;111.130;305.962;0;0;24.376;0;0;0;0;0;0;0;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;03/2017;7.101.120;2.944.602;18.426;0;0;0;1.848.544;0;514.504;16.453;0;0;0;0;739;1.757.852
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;03/2017;6.718.258;4.907.650;0;713.455;0;5.304;933.597;156.941;0;0;0;0;0;0;1.312;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;03/2017;6.303.975;4.807.360;110.790;0;0;282.077;1.093.943;0;0;1.743;0;0;0;0;8.062;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;03/2017;5.995.060;2.120.662;11.255;1.498.203;0;114;37.258;379.885;14.127;200.147;540.751;0;13.721;1.178.936;0;0
CREDIT SUISSE;30.771;b1;C;3;S2;199;SAO PAULO;SP;03/2017;5.382.997;551.629;0;0;0;0;1.379.109;0;0;0;1.277.851;0;0;0;0;2.174.409
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;03/2017;5.367.099;5.346.156;0;0;0;0;0;0;0;0;0;0;0;0;20.943;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;03/2017;5.008.138;4.999.288;0;0;0;0;0;0;0;0;0;0;0;0;8.850;0
