Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;;;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2018;688190118;123090939;482787328;29635506;0;0;56;37598920;0;0;487564;4290973;0;0;10230326;68507;0;;;
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2018;614119701;361901013;60458929;17383300;158021;105372;12710;96263748;0;35792034;2058186;269083;0;0;4527498;94728;35095078;;;
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2018;538145694;223498613;46378036;9358993;168285;963424;6238905;26747874;5276;479922;448180;88628;0;0;5202;393545;223370813;;;
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2018;408928546;200590991;54561560;21010309;116730;15017;14162124;38087895;156359;333997;3594805;0;0;36814;0;459609;75802337;;;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2018;296878815;53094826;30869;205965794;679740;6435861;8393000;2200075;10267671;0;18475;9792503;0;0;0;0;0;;;
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2018;279267819;184051901;40971954;8127199;13877;966;167117;20770917;1298396;0;377416;418452;0;3524;72065;124630;22869406;;;
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2018;61041525;32203107;324824;2382376;56203;0;1687428;14362285;363432;0;53853;191;0;5655;0;1283;9600889;;;
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2018;47747028;39700302;702042;548969;0;107024;581097;3954372;26402;0;720;8763;0;0;571042;7693;1538601;;;
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2018;31116739;21841084;5414389;218610;0;0;9979;3360444;46477;0;44589;0;0;0;51342;17691;112135;;;
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;18817418;16868498;371513;0;0;0;0;1076919;0;0;327451;91737;0;0;66782;14517;0;;;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;17489665;14572278;152228;268203;97;0;0;2494284;0;0;0;0;0;0;2576;0;0;;;
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/03/2018;15361175;1443214;60754;2555233;0;195911;0;4607165;0;0;57267;46105;0;12612;73097;0;6309817;;;
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;14796112;11010392;3366;159714;10566;0;223778;1809259;487452;225598;160;7512;0;3057;715270;1860;138129;;;
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;14470850;10142296;0;54461;0;0;2752215;1499053;0;0;0;0;0;0;2040;20785;0;;;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/03/2018;13979115;9181955;41747;3423564;2476;0;0;0;511453;0;523436;0;0;735;293748;1;0;;;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2018;12846792;9027469;0;1551500;125120;0;0;2018794;0;0;0;0;0;0;123836;73;0;;;
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;12239799;2732239;0;501680;10107;0;1824;6186516;60423;0;38454;17052;0;0;505557;2;2185945;;;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/03/2018;10607363;5840091;31280;1036131;0;0;1483547;879358;0;20;1316015;0;0;20452;0;469;0;;;
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/03/2018;10401291;6994522;0;191942;0;0;0;3205755;9071;0;0;0;0;0;0;0;0;;;
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/03/2018;9092533;7870961;0;355538;8132;0;405654;452084;0;0;0;0;0;0;0;163;0;;;
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;8817511;8129189;0;2051;0;0;23599;491907;0;0;0;0;0;0;8754;4118;157894;;;
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/03/2018;8655954;8655952;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/03/2018;8619545;7477629;974354;55391;0;0;100474;0;0;0;11467;0;0;0;0;231;0;;;
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/03/2018;8135967;5560228;89101;1932858;79831;0;0;0;473949;0;0;0;0;0;0;0;0;;;
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/03/2018;7789031;7334104;0;451133;0;0;0;0;3793;0;0;0;0;0;0;0;0;;;
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;7738979;5687703;0;564202;2364;0;4639;1296124;183543;0;0;0;0;0;0;403;0;;;
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;7452749;2646201;15787;0;0;0;0;765397;0;872996;13593;0;0;0;0;388;3138386;;;
JOHN DEERE;50071;b1;C;3;S4;199;INDAIATUBA;SP;01/03/2018;7197296;6723427;0;161863;0;282274;0;0;29731;0;0;0;0;0;0;0;0;;;
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/03/2018;6432852;6402988;0;0;0;0;0;0;0;0;0;0;0;0;0;29864;0;;;
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/03/2018;6058299;6048403;0;0;0;0;0;0;0;0;0;0;0;0;0;9896;0;;;
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/03/2018;6008624;5559647;0;228372;0;0;0;194276;15247;0;0;2911;0;0;0;8171;0;;;
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2018;5968704;4866364;107037;0;0;0;282607;697777;0;0;5436;0;0;1780;0;7702;0;;;
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/03/2018;5826717;1946951;133999;1565064;0;0;113;25407;600604;11733;195814;409220;0;12421;925390;0;0;;;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/03/2018;5017369;4900102;0;51005;417;0;0;54504;11341;0;0;0;0;0;0;0;0;;;
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/03/2018;4960568;4940088;0;0;0;0;0;20480;0;0;0;0;0;0;0;1;0;;;
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;4579195;199623;0;0;0;380691;0;1571084;0;0;0;1255716;0;0;0;0;1172081;;;
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;4510365;2647081;0;0;0;0;0;1099240;0;0;2932;0;0;0;722969;1520;36624;;;
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;01/03/2018;4318184;1986948;0;0;0;0;0;0;0;0;0;0;0;0;0;2331236;0;;;
