Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;;;;;;;;;;;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2018;519581048;2707488;5828547;14692750;24408457;10990032;4339907;865;62968047;637166;692542;1829568;1509694;336;0;18789;4688095;295583;953043;2033244;1713776;47091;59;1367;5044163;1592184;12691119;34043692;77716109;62163775;167565052;63406588;419178517;1504850;5626708;1801563;120407;8703;7399;0;9069630;187217;1690177;1141698;818924;289054;140537;0;4267606;1995046;3895523;3185294;2673759;1334891;1216883;63594;14364990;0;;;;;;;;;;;
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2018;320487096;276057;4441040;12329817;25345822;16146770;8791557;405536;67736600;615125;2339475;6728546;8133209;3622550;1579820;1092842;24111568;45737;530853;1316691;1704589;285453;62;83072;3966458;65750;589641;1270864;3379501;3325644;16368696;20045116;45045213;914137;19087898;3749972;282020;43;0;506556;24540626;2258762;13590613;47675760;33775940;22828291;19711536;704166;140545069;586194;1180885;3032535;3208026;2030718;1227041;319127;11584526;2957036;;;;;;;;;;;
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2018;243879634;440886;4015847;9875245;18448397;9551769;2350112;158;44682412;503775;1480219;3320213;4548475;1398367;34077;0;11285125;185253;1694211;4137092;6983652;1332996;2094;0;14335298;105846;826434;1524335;3926780;3699352;15002152;12705209;37790108;4462855;43953480;16120498;449561;42;3;0;64986438;554;238627;434101;150475;55198;25379;0;904334;1720115;5786995;2896343;4462355;1426562;190769;0;16483140;53412780;;;;;;;;;;;
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2018;175562983;237686;4769314;11766040;18957920;7543936;1998918;506;45274319;878488;4605919;5547188;3149254;408869;59810;112;14649641;287958;3229707;7592289;9291249;1182578;2261;0;21586042;84543;658082;1430777;3669567;3410498;13466625;10434263;33154354;4227876;18372473;9401446;433993;21703;2571;0;32460063;258908;1429391;6818762;3538344;1465295;763624;0;14274324;1562027;5238905;2788122;2982646;832084;252348;17127;13673259;490981;;;;;;;;;;;
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2018;160381120;409086;2613486;6654500;10661686;4660972;2191737;697;27192165;696076;1182183;2679532;3747164;1132741;98820;16009;9552525;557374;5048277;12391423;17046498;2583461;12635;3138;37642807;43313;1197328;2842927;5984789;4345027;10433972;4270088;29117445;1550181;17745305;5435616;526762;117235;43110;27;25418236;31844;1038573;2006154;1265302;571503;415358;0;5328735;1759764;5020695;3716398;3977725;1754536;882123;21502;17132742;8996466;;;;;;;;;;;
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2018;35465652;71934;356554;819004;1057981;278820;45027;0;2629322;15769;33328;126676;10318;18;0;0;186109;613613;4382553;10312194;13622701;1565260;415;0;30496737;0;0;0;0;0;0;0;0;295457;1165149;440098;13449;0;0;0;1914153;29;10972;18249;38042;4311;3325;0;74928;1601;13160;30232;89846;21600;7874;91;164404;0;;;;;;;;;;;
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2018;21182242;82110;896351;2408575;4398769;2505600;1227326;40;11518772;35573;540460;943043;154157;88300;17949;0;1779483;354;5046;12277;13446;1736;5;0;32864;3233;58422;142525;365457;342962;1323752;977292;3213643;39163;803706;201920;8174;0;0;0;1052962;30183;320457;499115;364750;269435;230527;17950;1732417;112757;1107763;225110;222468;108815;75164;24;1852100;0;;;;;;;;;;;
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;16549862;95141;637621;1715441;3017304;1533327;545418;0;7544251;10170;38778;79968;68035;1427;0;0;198376;164781;819662;1910691;2600647;296717;42;0;5792539;848;5088;12973;28755;21536;46588;8350;124137;300940;1710639;210124;16898;2272;384;0;2241257;0;0;0;0;0;0;0;0;61218;63368;100546;185235;95211;138000;5725;649302;0;;;;;;;;;;;
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2018;15407000;13211;573621;1574761;2976905;1638426;408767;0;7185692;2796;226156;276187;257405;42297;4247;0;809088;46036;917099;2277047;3216977;417135;217;0;6874512;18;93;430;771;895;319;0;2526;5850;157964;47658;44;0;0;0;211516;0;8399;63105;42138;16180;7787;0;137609;2972;120437;31976;11234;735;0;0;167354;18704;;;;;;;;;;;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;10715748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88763;951226;2028586;1253680;597424;348756;0;5268435;106697;936656;1646236;1696532;834621;226570;0;5447313;0;;;;;;;;;;;
