Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica;;;;;;;;;;;;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2018;296877266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;942186;12679464;29147619;66490654;49277312;110344680;27514940;296396855;0;12121;69426;148740;123991;126133;0;480412;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2018;294266060;996827;7833975;10926413;13701177;2483449;475401;0;36417242;15916;419211;1081974;1397336;298513;31439;0;3244388;597381;7465426;314714;126628;0;0;0;8504150;50474;8565098;2549782;103714;45363;12058;0;11326489;13813;4422376;7199550;3239895;786039;2602027;0;18263700;755117;2208321;3430374;3602280;1370527;913122;0;12279741;269018;2138907;5728858;8904586;3765187;3034144;222281;24062981;1142;1618299;3121211;625511;211045;216685;0;5793893;107724;526261;1941095;1693537;80046;66526;255;4415443;169958033;;;;;;;;;;;;
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2018;293632605;3453398;5657950;11232539;16287453;5541638;2310488;920839;45404306;311393;1515660;3758426;14079829;11269043;24662807;1335471;56932629;188287;1417166;897605;84285;0;0;62014;2649357;152980;4611585;1590718;432732;64519;0;0;6852534;672518;10427911;12344169;4894692;10359331;8976905;0;47675527;1791773;2403646;2951089;4072578;2771051;2743686;900411;17634234;595641;4520902;11295215;14664419;7892776;13904494;8272119;61145567;62472;2169564;10768279;3616406;1050887;1456852;2671;19127131;346393;402825;1653357;1620506;42483;0;7714;4073278;32138042;;;;;;;;;;;;
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2018;233365563;1268931;7689693;13433350;14236711;2856389;367789;0;39852862;185609;1579180;3006768;2972593;509635;85743;0;8339527;430735;6683217;1191474;68;0;0;0;8305494;91519;10008703;1626497;264940;9084;3336;0;12004079;167227;9575671;11227908;4260036;1575300;4195318;0;31001461;1609048;3238738;3692634;3416533;1072127;795671;283016;14107766;72533;2771225;6117351;8577775;4557197;7731324;435499;30262903;4619;729409;2986176;1548402;320974;127244;0;5716824;152997;389671;1586249;4833834;1425511;74674;354;8463290;75311356;;;;;;;;;;;;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2018;168609071;2789153;3684897;11485150;20121751;3961055;1726715;16688;43785409;61267;97656;253165;416134;248339;267624;1146;1345331;560711;503972;1571783;6432;0;0;0;2642897;44707;482570;27710;0;0;0;0;554986;83479;3890155;2615903;744629;11951;0;0;7346117;2432028;971608;1240030;1775228;842207;614841;1457;7877401;445009;5172599;10275729;19194350;12483866;34145445;9286468;91003465;8249;672453;1825620;148783;11150;5551;0;2671806;504107;2532969;3938079;3959384;241108;205893;117;11381658;0;;;;;;;;;;;;
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2018;118886699;777699;4603467;7803246;8477347;2014422;853190;338287;24867658;87680;827101;1827710;2170733;464666;372486;720;5751096;296999;4138143;1264400;319691;110727;59965;9253;6199178;61235;14047533;5618825;424042;41550;4393;5130;20202708;119407;5845175;5337842;1903395;312964;2779952;0;16298735;576747;1602101;1712055;2350531;953334;265515;159118;7619402;116611;1223801;3544880;3141762;1634202;2788112;1991113;14440481;430;1587722;3815726;584797;172131;83788;1128;6245721;152835;1231234;1450158;528055;19289;6429;781;3388781;13872940;;;;;;;;;;;;
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2018;45634524;55229;3789834;4709653;3472613;689698;94899;0;12811925;15831;699618;1048807;740621;95854;29238;0;2629969;20646;946677;136388;13027;0;0;0;1116737;2874;4386485;1120362;4535;0;0;0;5514256;17804;1675796;2676684;2125299;334847;90833;0;6921263;12271;575321;301566;86750;15979;0;0;991887;8517;529256;1310854;1292434;594778;248975;0;3984813;0;325383;1114427;191233;97054;31127;0;1759224;6161;33513;120255;135903;26432;0;0;322264;9582184;;;;;;;;;;;;
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/03/2018;14705956;434393;173171;619460;1016597;246622;1095995;0;3586239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1135;47178;70027;110887;11736;1051;0;242015;1172;159633;463208;406202;210055;33483;0;1273754;244730;211354;133880;124395;5763;3040;0;723164;954;15424;40035;135321;143339;891385;1618415;2844872;0;1031;1031;0;0;0;0;2062;0;0;0;0;0;0;0;0;6033851;;;;;;;;;;;;
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2018;12281376;45990;250053;740271;998795;216958;51386;0;2303453;13452;191917;484884;469506;33009;9;0;1192777;0;0;0;0;0;0;0;0;0;1152005;105123;68994;74561;44396;0;1445079;47419;389389;687033;1140053;222866;761;0;2487521;4522;744;29739;16935;1611;2848;674336;730734;2654;156332;647220;724462;431400;247041;0;2209109;0;64948;141875;122810;42733;1735;0;374101;0;0;0;0;0;0;0;0;1538601;;;;;;;;;;;;
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;12034975;55383;720062;1342945;1570431;198991;17988;0;3905802;1547;98575;295409;274010;34116;0;0;703657;1277;99643;48221;0;0;0;0;149142;0;346173;185221;11285;4411;0;0;547091;1622;581428;1009284;706462;26700;0;0;2325496;7517;98115;27579;41702;30537;1935;0;207386;506;81478;163438;302067;98781;31945;0;678214;0;322296;499738;329073;86166;94970;0;1332242;0;0;0;0;0;0;0;0;2185945;;;;;;;;;;;;
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/03/2018;10329704;14170;1354036;661610;428205;14628;0;0;2472649;759;9364;13074;15467;5440;96;0;44200;0;193718;140218;0;0;0;0;333936;1215;2288488;391666;7275;1927;0;0;2690571;129;1094333;1254996;565108;308836;0;0;3223402;18256;541265;41713;17483;0;0;2;618718;0;149991;60641;2864;207;0;0;213704;0;192202;495047;45276;0;0;0;732524;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/03/2018;10275721;0;0;0;0;0;0;0;0;138;870;1414;899;472;0;0;3793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84905;327868;853206;1933570;1113924;1141760;30045;5485279;1682;163808;641987;1580770;1145523;1252636;242;4786649;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2018;9934497;91149;632048;1452938;1663233;342905;209457;36209;4427940;1770;11842;26394;35033;14698;22058;0;111795;35916;416920;288591;512;469;0;0;742408;13551;176606;30391;0;0;0;0;220548;15486;346803;526975;8635;199;0;0;898098;66547;270013;323812;324008;200479;269050;52937;1506844;11508;87367;206369;305317;161212;148235;0;920008;24;66221;174955;35529;25808;30642;544;333722;4503;29198;191093;276194;146395;13616;0;660999;112135;;;;;;;;;;;;
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;9052183;78473;493879;957321;963621;100779;332;0;2594404;1257;87746;205764;252056;47453;324;15275;609875;33496;865502;562330;4959;0;0;0;1466286;34344;1996996;304710;12856;25;0;0;2348930;147359;443707;537825;179246;103;0;0;1308240;19982;27079;51251;7703;1680;0;0;107695;237;65950;193639;154953;24515;1634;0;440929;0;16696;27750;0;0;0;0;44446;0;0;0;0;0;0;0;0;131377;;;;;;;;;;;;
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/03/2018;7782714;12946;59508;143927;197174;31932;1;0;445488;4087;113361;340371;559750;207659;16919;0;1242146;0;0;0;0;0;0;0;0;31672;1409682;72621;0;0;0;0;1513974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22245;567529;1390675;1926209;590795;83651;0;4581105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2018;7771044;13488;53534;136701;198783;41983;7712;0;452201;21235;311793;667066;755579;120296;805;0;1876774;0;0;0;0;0;0;0;0;14642;356952;1464151;32890;9606;0;0;1878242;0;0;0;0;0;0;0;0;0;44790;0;0;0;0;0;44790;54252;532300;1209874;1391471;320136;11004;0;3519036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;6773917;9348;127086;257965;760181;143684;22065;0;1320329;0;0;0;0;0;0;0;0;0;3025;8191;0;0;0;0;11216;394;135322;56387;0;0;0;0;192103;65265;1632588;1363353;1045086;355638;7281;0;4469212;2859;60853;85553;40793;8357;14177;0;212591;0;1905;9830;4981;3592;0;0;20308;26;38797;75625;201336;139238;93136;0;548157;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/03/2018;6526766;178489;101190;240131;348424;119737;83425;69686;1141081;37418;104822;271368;259792;13409;18598;5;705411;4520;2812;8400;47;0;0;0;15780;4523;13536;2146;7;0;0;0;20213;0;142831;763353;0;0;0;0;906185;7365;21952;61787;99983;33206;58263;77320;359876;686;83115;234598;567525;437850;1508837;140526;2973137;11305;2098;11226;62541;309131;8783;0;405084;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
