Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;;;;;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2018;296877266;16456883;1039314;3154831;276226238;0;0;0;;;;;
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2018;294266060;2435242;14117836;42685733;65058942;0;10273;169958033;;;;;
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2018;293632605;4086873;27339242;55737761;174329396;0;1292;32138042;;;;;
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2018;233365563;29493774;20535151;51920651;56095314;0;9317;75311356;;;;;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2018;168609071;10926756;20167940;28693589;108818272;0;2514;0;;;;;
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2018;118886699;3193300;14854376;37387029;49574203;0;4851;13872940;;;;;
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2018;45634524;445226;964074;10129660;24513299;0;81;9582184;;;;;
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/03/2018;14705956;377024;139019;582433;7573629;0;0;6033851;;;;;
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2018;12281376;808095;616099;402295;8916285;0;0;1538601;;;;;
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;12034975;138549;1336832;4650302;3723345;0;2;2185945;;;;;
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/03/2018;10329704;2606704;0;316972;7406027;0;0;0;;;;;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/03/2018;10275721;692044;791880;4051412;4740384;0;0;0;;;;;
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2018;9934497;333436;1325102;4200727;3962659;0;439;112135;;;;;
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;9052183;432498;247077;3739117;4502051;0;63;131377;;;;;
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/03/2018;7782714;228152;685095;4375411;2494056;0;0;0;;;;;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2018;7771044;573491;1637732;4105806;1454012;0;3;0;;;;;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;6773917;600494;4781;642061;5526581;0;0;0;;;;;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/03/2018;6526766;610859;444634;2303199;3168065;0;8;0;;;;;
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/03/2018;5597446;101169;330474;2618394;2547409;0;0;0;;;;;
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;5180848;53963;176038;710202;1102259;0;0;3138386;;;;;
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;4829609;0;20913;660939;4147756;0;0;0;;;;;
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;4602657;202950;363948;1419126;2616634;0;0;0;;;;;
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/03/2018;3945653;1098607;9010;2017236;820799;0;0;0;;;;;
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;3825751;964;3560;113272;2535874;0;0;1172081;;;;;
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;3370446;1882290;195439;754796;500849;0;448;36624;;;;;
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;3293305;153967;145454;664614;2074384;0;0;254886;;;;;
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/03/2018;3219356;226907;77491;1073694;1137957;0;3;703305;;;;;
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/03/2018;3051465;1422498;476411;960872;191684;0;0;0;;;;;
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/03/2018;2985925;64;12903;657212;1935694;0;11;380041;;;;;
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/03/2018;2899981;94246;638547;1839353;327836;0;0;0;;;;;
