Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;;;;;;;;;;;;;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2018;688190118;365907952;62472991;119820689;68626399;33894856;6623587;9619253;2870415;18353977;0;;;;;;;;;;;;;
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2018;614119701;284860905;62802647;124555025;56594294;9958052;12019100;4788456;6375748;17070397;35095078;;;;;;;;;;;;;
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2018;538145694;121811350;128486274;16868734;14409304;8065930;4307488;5194308;3746842;11884651;223370813;;;;;;;;;;;;;
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2018;408928546;101420510;119968801;36678491;34917054;8674169;6191746;4871947;2622567;17780924;75802337;;;;;;;;;;;;;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2018;296878815;41216780;90522001;110074897;34816164;3667279;13812857;94567;397509;2276761;0;;;;;;;;;;;;;
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2018;279267819;85739752;107219236;21808210;13292562;10055826;4151156;2960368;1933090;9238214;22869406;;;;;;;;;;;;;
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2018;61041525;31703274;14096084;2532610;1056703;642287;75719;67696;68652;1197610;9600889;;;;;;;;;;;;;
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2018;47747028;3086116;20791314;8837497;8461145;1417351;619322;454792;1046082;1494808;1538601;;;;;;;;;;;;;
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2018;31116739;2651779;19710342;3373239;1352652;979591;616752;181599;282951;1855700;112135;;;;;;;;;;;;;
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;18817418;0;15088128;942141;716635;441930;368407;356648;160913;742615;0;;;;;;;;;;;;;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;17489665;1880498;4002310;9107588;911479;620454;195802;216981;21098;533455;0;;;;;;;;;;;;;
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/03/2018;15361175;1300802;2941786;1205397;1237259;1056076;539206;554043;40446;176344;6309817;;;;;;;;;;;;;
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;14796112;404;6644856;5718291;1139149;197034;81816;73114;41280;762039;138129;;;;;;;;;;;;;
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;14470850;2811428;9269753;532382;1183988;94178;63184;193234;59301;263402;0;;;;;;;;;;;;;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/03/2018;13979115;6476302;5860707;543266;320347;241890;89214;27432;80237;339720;0;;;;;;;;;;;;;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2018;12846792;535173;7574918;2083950;1364663;422552;324227;98481;78338;364490;0;;;;;;;;;;;;;
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;12239799;495739;3607393;4227573;1239983;218249;152054;28989;29887;53987;2185945;;;;;;;;;;;;;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/03/2018;10607363;3559696;4393234;1104491;238649;266788;112104;168611;106844;656945;0;;;;;;;;;;;;;
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/03/2018;10401291;4786319;4154734;988278;173763;142782;3021;815;3757;147823;0;;;;;;;;;;;;;
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/03/2018;9092533;8642141;445396;3885;449;84;97;68;45;367;0;;;;;;;;;;;;;
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;8817511;0;7668239;188371;135959;57763;94382;87504;128623;298776;157894;;;;;;;;;;;;;
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/03/2018;8655954;13736;6625198;658637;1031983;143137;47608;23726;20216;91714;0;;;;;;;;;;;;;
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/03/2018;8619545;5117840;1358850;943653;462830;328622;76022;38307;47899;245521;0;;;;;;;;;;;;;
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/03/2018;8135967;244232;4022499;2213752;647953;278935;425006;33656;194223;75712;0;;;;;;;;;;;;;
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/03/2018;7789031;945481;2592977;1824228;1374314;845026;42800;21936;33478;108791;0;;;;;;;;;;;;;
