Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações;
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2019;27628317;97835611;
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2019;22779859;84470936;
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2019;15997961;41753809;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2019;13860417;31322330;
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2019;11999363;35090596;
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;01/03/2019;5015018;8527991;
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/03/2019;3651025;7207348;
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;3408149;7468939;
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/03/2019;3356150;23189750;
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2019;2965588;4304661;
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;2708460;6012508;
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2019;2699444;8578869;
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;01/03/2019;2223979;6355603;
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2019;1918974;9948589;
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2019;1384835;2260641;
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/03/2019;1259613;2074760;
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/03/2019;1189279;1855189;
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/03/2019;964055;2798318;
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/03/2019;864644;2110750;
BANCO CBSS S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;01/03/2019;831683;1590245;
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2019;751006;1906629;
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/03/2019;746997;1581570;
CREFISA;52010;b1;C;2;S4;199;SAO PAULO;SP;01/03/2019;722424;900447;
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;712016;1543541;
AGIBANK;51956;b1;C;2;S4;199;PORTO ALEGRE;RS;01/03/2019;672905;1689530;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/03/2019;672503;816680;
AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762;n1;I;2;S4;14;VITORIA;ES;01/03/2019;616407;1144646;
SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7747410;n1;I;2;S4;14;BARUERI;SP;01/03/2019;605388;3189082;
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/03/2019;451387;708329;
DACASA FINANCEIRA;51891;n1;C;2;S4;197;VITORIA;ES;01/03/2019;438767;852695;
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;01/03/2019;379174;381901;
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/03/2019;346186;408105;
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4814563;n1;I;2;S4;14;SOROCABA;SP;01/03/2019;326284;742571;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2019;325404;404947;
ESTRELA MINEIRA CREDITO, FINANCIAMENTO E INVESTIMENTO S/A;5351887;n1;I;2;S4;14;ARAXA;MG;01/03/2019;286312;419493;
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;01/03/2019;262921;546799;
BANCO SEMEAR S.A.;795423;b1;I;2;S4;8;BELO HORIZONTE;MG;01/03/2019;251204;362824;
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/03/2019;246726;618758;
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/03/2019;222422;551421;
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/03/2019;213343;762490;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;01/03/2019;208564;551471;
VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;5192316;n1;I;2;S4;14;SANTO CRISTO;RS;01/03/2019;207535;605333;
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/03/2019;195829;263428;
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;187407;788180;
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4379829;n1;I;2;S5;14;CURITIBA;PR;01/03/2019;171417;226518;
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S3;8;BELEM;PA;01/03/2019;162873;543985;
AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;36321990;n1;I;2;S5;14;VITORIA;ES;01/03/2019;152159;250109;
LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11271860;n1;I;2;S4;14;ELDORADO;RS;01/03/2019;149837;258874;
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/03/2019;144653;159476;
CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;26225776;n1;I;2;S4;14;SANTA CRUZ DO SUL;RS;01/03/2019;140493;206060;
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/03/2019;135594;206718;
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/03/2019;134193;200115;
KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;6040559;n1;I;2;S5;14;BIGUACU;SC;01/03/2019;133972;280426;
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;S4;8;GUARULHOS;SP;01/03/2019;123199;126821;
PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1800019;n1;I;2;S4;14;PORTO ALEGRE;RS;01/03/2019;119904;146035;
HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS;7512441;n1;I;2;S4;14;DOIS IRMAOS;RS;01/03/2019;101252;237019;
BANCO A.J. RENNER S.A.;92874270;b1;I;2;S4;8;PORTO ALEGRE;RS;01/03/2019;92354;107503;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;01/03/2019;91054;213139;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/03/2019;67069;161364;
FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;15581638;n1;I;2;S4;14;PORTO ALEGRE;RS;01/03/2019;62299;120464;
SENFF S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11970623;n1;I;2;S5;14;CURITIBA;PR;01/03/2019;62096;153268;
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/03/2019;52071;89685;
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;S5;9;BRASILIA;DF;01/03/2019;52018;82675;
JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO;4230630;n1;I;2;S4;14;SAO PAULO;SP;01/03/2019;48082;51701;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;S4;9;PALOTINA;PR;01/03/2019;44973;108820;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;01/03/2019;44440;105217;
BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;20443996;n1;I;2;S5;14;CERRO LARGO;RS;01/03/2019;43632;55912;
NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;74828799;b1;I;3;S4;8;PORTO ALEGRE;RS;01/03/2019;43227;75273;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;S4;9;CERRO LARGO;RS;01/03/2019;42870;123729;
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/03/2019;40132;46186;
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;01/03/2019;39469;166356;
MÁXIMA;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/03/2019;39351;102584;
FINSOL SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE S.A.;18810553;n1;I;3;S5;10;RECIFE;PE;01/03/2019;37942;40382;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/03/2019;35398;51937;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/03/2019;33936;51866;
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO AGROEMPRESARIAL - SICREDI AGROEMPRESARIAL PR/SP;79457883;b3S;I;2;S4;9;MANDAGUARI;PR;01/03/2019;31633;79892;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;01/03/2019;31521;81645;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;01/03/2019;31138;72953;
FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;411939;n1;I;2;S4;14;JUNDIAI;SP;01/03/2019;30695;31434;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO PÃO DE AÇÚCAR;46277273;b3S;I;2;S5;9;SAO PAULO;SP;01/03/2019;30493;32284;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;I;2;S4;9;PONTA GROSSA;PR;01/03/2019;29421;74480;
GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11760553;n1;I;2;S4;14;DOURADINA;PR;01/03/2019;29177;32089;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87780268;b3S;I;2;S4;9;ERECHIM;RS;01/03/2019;28835;76174;
GRAZZIOTIN FINANCIADORA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;6339468;n1;I;2;S4;14;PASSO FUNDO;RS;01/03/2019;28693;93161;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26408161;b3S;I;2;S4;9;DOURADOS;MS;01/03/2019;26873;70887;
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;01/03/2019;26676;141140;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;01/03/2019;25872;68805;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE MATO-GROSSENSE – SICREDI NORTE MT/PA;37442605;b3S;I;2;S4;9;COLIDER;MT;01/03/2019;24408;61753;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO FRONTEIRAS DO PARANÁ, SANTA CATARINA E SÃO PAULO - SICREDI FRONTEIRAS PR/SC/SP;82527557;b3S;I;2;S4;9;CAPANEMA;PR;01/03/2019;24140;60890;
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/03/2019;23910;84639;
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;S4;5;VITORIA;ES;01/03/2019;23904;37283;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO BRF - CREDIBRF;82096447;b3S;I;2;S5;9;CURITIBA;PR;01/03/2019;23600;31365;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DAS REGIÕES CENTRO DO RS E MG – SICREDI REGIÃO CENTRO RS/MG;95594941;b3S;I;2;S4;9;SANTA MARIA;RS;01/03/2019;23210;64396;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO VALE DO ITAJAÍ - VIACREDI ALTO VALE;16779741;b3S;I;2;S5;9;IBIRAMA;SC;01/03/2019;22856;53780;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO BRANCO – SICREDI OURO BRANCO RS;87853206;b3S;I;2;S4;9;TEUTONIA;RS;01/03/2019;22264;58323;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC/MG;87733770;b3S;I;2;S4;9;RODEIO BONITO;RS;01/03/2019;21798;59260;
TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9473806;n1;I;2;S4;14;BENTO GONCALVES;RS;01/03/2019;20784;21551;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO;24654881;b3S;I;2;S4;9;CAMPO GRANDE;MS;01/03/2019;20031;56866;
BARIGUI;51774;b2;C;2;S4;198;CURITIBA;PR;01/03/2019;19807;29652;
