Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;;;;
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2021;471365839;5948298;26169342;72259106;93555314;3251582;1070;270181127;;;;
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2021;310161521;15106570;54219644;58864675;92841044;54420;602;89074565;;;;
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2021;280348343;5013976;32035390;55646385;158694155;2514922;351;26443164;;;;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2021;274618328;0;1014879;6535548;260990439;6077462;0;0;;;;
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2021;190880591;7291026;31788476;45245651;50934912;2541612;2099;53076814;;;;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2021;179023854;18004558;32010517;33082696;95926000;0;82;0;;;;
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2021;65726751;863190;2986388;19811774;32885770;304136;274;8875219;;;;
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/03/2021;50954907;8094312;344053;2866323;22282358;0;0;17367861;;;;
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/03/2021;25245879;4785;46;1843122;22126714;1271211;1;0;;;;
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2021;24100505;385773;913798;10693488;10729934;680587;17;696908;;;;
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;20644482;898427;1668363;7509943;8860914;0;2;1706833;;;;
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2021;14265819;1400546;440964;1215034;10098689;28699;2;1081884;;;;
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/03/2021;12520584;496545;1852002;5307042;4861354;3641;0;0;;;;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2021;11663875;706203;3053502;6149146;1755022;0;2;0;;;;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2021;11445065;200588;503837;608473;10132167;0;0;0;;;;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/03/2021;10618382;163370;881686;4400474;4468490;704360;0;0;;;;
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;8987639;20096;198775;2801225;3486822;0;0;2480720;;;;
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2021;8579204;324690;1615440;2996631;3354405;198473;32;89533;;;;
BOCOM;52003;b1;C;3;S3;199;SALVADOR;BA;01/03/2021;8569366;1042;38970;2042273;3575318;0;0;2911763;;;;
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2021;7910593;0;6063;965098;6924417;15014;0;0;;;;
