Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2012;242874104;22268618;32140664;72188211;84007251;36402;32232959;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/06/2012;224924657;23461607;164535;3423662;197874851;1;0;
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2012;210038306;13232918;18699019;56937952;59845822;67851;61254744;
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2012;199897898;40045929;27632230;62424256;13599228;344466;55851789;
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2012;93709912;6783163;14742898;47018905;16389051;23041;8752854;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2012;82083337;10756139;15071380;5419978;50810716;25125;0;
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/06/2012;40224936;777131;1798000;17758865;14510812;1153;5378974;
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2012;38023797;2592810;12278950;9934674;5356329;9214;7851820;
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2012;21613990;1142599;2166670;7670417;9074073;122;1560108;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/06/2012;13288585;1599341;4010471;3191254;4486918;601;0;
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2012;10893241;2845904;469824;263329;7235991;5849;72344;
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/06/2012;10845173;240042;197547;1975834;8431152;598;0;
BIC;32119;b1;C;2;;199;SAO PAULO;SP;01/06/2012;10724084;533192;477248;6095089;2956956;21;661578;
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/06/2012;8600726;726199;1363770;5430976;1079780;2;0;
