Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;;;;;;;;
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2012;408391457;108146436;90136265;123368169;30106316;7842443;3002738;1797158;1881870;9877103;32232959;;;;;;;;
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2012;369323403;89664427;123657866;32625130;17878533;12499949;3805873;3225833;2825610;14054988;69085193;;;;;;;;
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2012;303298311;35655447;100326968;37414755;50380694;6194614;3263828;2224663;1816354;10048486;55972501;;;;;;;;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2012;298632424;33554812;147005736;43717585;49892829;7655709;2109215;1507567;1139868;12049104;0;;;;;;;;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/06/2012;224925505;91078806;99427789;26472520;5847386;365783;1266277;83859;129211;253875;0;;;;;;;;
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2012;204058007;41121702;99159574;11348740;11820868;4450267;2214046;4094441;1613914;7593778;20640680;;;;;;;;
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2012;70551218;8914915;43086252;6239605;3623008;1666972;1190819;714747;777803;2776989;1560108;;;;;;;;
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2012;58456978;19850137;18614113;5606019;1978130;985411;411785;444451;594451;2120662;7851820;;;;;;;;
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/06/2012;47998976;26408107;10533700;1879056;1685015;870672;458387;163816;103075;507916;5389232;;;;;;;;
BMG;30290;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2012;24036201;0;21891891;789667;337511;240281;180119;139616;124365;332751;0;;;;;;;;
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/06/2012;22756352;4498514;10349182;3641912;937118;1061094;384621;345639;260113;1278158;0;;;;;;;;
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2012;21060986;3422504;9307208;4074048;1739953;607054;517729;631872;130088;558186;72344;;;;;;;;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/06/2012;21028444;492031;14479736;2811969;1697426;424037;275659;152041;116447;579100;0;;;;;;;;
BIC;32119;b1;C;2;;199;SAO PAULO;SP;01/06/2012;11656811;2651102;4583387;1744801;918759;547378;99166;111071;237840;101728;661578;;;;;;;;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/06/2012;11154861;3544263;4150981;1903899;344902;583850;81965;47223;112393;385386;0;;;;;;;;
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;01/06/2012;10247524;572580;6260661;1068139;610912;359037;266560;222573;155208;731854;0;;;;;;;;
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/06/2012;9364055;29110;3274613;5565148;218175;65908;89329;34701;22369;64701;0;;;;;;;;
FIBRA;49951;b1;C;2;;199;SAO PAULO;SP;01/06/2012;9108402;370330;4346947;2428304;466405;148382;77671;62860;88512;202624;916366;;;;;;;;
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/06/2012;8611141;326254;2658374;3064572;798068;90829;13274;39800;27591;42689;1549690;;;;;;;;
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2012;8531651;2537583;4901659;243070;203989;229914;106882;66315;53192;189045;0;;;;;;;;
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/06/2012;7794731;1352161;4754773;1491761;155421;13885;4557;4144;2025;16004;0;;;;;;;;
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/06/2012;7685404;54019;6626736;258011;586038;53722;34514;25569;17457;29337;0;;;;;;;;
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/06/2012;7331074;118376;3302893;3189676;258339;151687;84319;49791;37211;138782;0;;;;;;;;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/06/2012;7271638;2964803;3114073;599721;180311;129699;67139;8238;111096;96559;0;;;;;;;;
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/06/2012;7110033;6622620;308902;40092;127404;9481;1105;5;0;424;0;;;;;;;;
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/06/2012;5857771;2216345;1661400;598533;370254;16995;42490;21880;34992;1421;893461;;;;;;;;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/06/2012;5724590;1006522;1565681;2807350;115104;52796;5234;33758;8383;40061;89701;;;;;;;;
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/06/2012;5667068;2330208;2128035;597788;127307;132148;81927;49876;33786;185993;0;;;;;;;;
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/06/2012;5236932;966964;3758298;199703;94190;53567;36637;42313;29437;55823;0;;;;;;;;
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/06/2012;5053601;260467;404392;243860;0;0;20058;0;0;15084;4109740;;;;;;;;
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/06/2012;5008382;1017626;1058256;1755752;525954;52334;40372;7674;42138;56521;451753;;;;;;;;
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/06/2012;4954997;3535834;1244501;109623;26456;8330;2715;11591;1552;14395;0;;;;;;;;
BANCO BVA S.A.;32254138;b1;I;2;;8;RIO DE JANEIRO;RJ;01/06/2012;4836060;1044780;1654743;866175;866241;265995;56443;7200;31686;42798;0;;;;;;;;
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/06/2012;4698290;1399404;2143356;877535;170332;24674;5946;2077;811;74155;0;;;;;;;;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/06/2012;4694983;973089;2513139;504000;302553;152476;62252;29666;23967;133842;0;;;;;;;;
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/06/2012;3669476;390941;2647751;190214;88330;59078;38688;40453;32331;181692;0;;;;;;;;
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/06/2012;3359152;1669214;875217;372381;143174;79256;23282;13824;31789;151015;0;;;;;;;;
BANCO CNH CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/06/2012;2975857;45392;1088421;1083732;334705;189994;38172;17260;9894;168287;0;;;;;;;;
RURAL;31244;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2012;2790954;519495;1406369;194778;161304;62263;21794;23710;15403;101455;284385;;;;;;;;
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2012;2766477;31;2312205;142661;151924;50396;12825;13853;10775;71806;0;;;;;;;;
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/06/2012;2731714;551531;988739;589599;466761;24987;10790;9487;43821;45999;0;;;;;;;;
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/06/2012;2692453;1502612;0;457267;95248;23337;0;35701;1;0;578286;;;;;;;;
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/06/2012;2681511;75338;1724377;563590;228415;48066;10734;7827;3611;19551;0;;;;;;;;
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/06/2012;2405547;305937;764894;769738;418525;39934;36741;15538;12816;41424;0;;;;;;;;
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/06/2012;2393945;1190535;360958;372263;241499;133095;20199;14220;3592;57584;0;;;;;;;;
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;01/06/2012;2384442;137524;827702;747843;359193;36097;88430;17818;9659;37600;122576;;;;;;;;
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/06/2012;2345218;0;1714592;101641;72560;76194;62398;52298;45044;220491;0;;;;;;;;
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/06/2012;2269812;373954;1102072;643433;27757;59712;5848;10895;3295;42848;0;;;;;;;;
TOYOTA;51334;b2;C;3;;198;SAO PAULO;SP;01/06/2012;2241982;171432;1597277;285752;114214;35369;7866;7025;6428;16620;0;;;;;;;;
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/06/2012;2232662;0;1777235;302594;61190;17342;14705;13880;7314;38402;0;;;;;;;;
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;01/06/2012;2026938;0;1838104;57541;68099;22784;8536;6006;4659;21208;0;;;;;;;;
SOFISA;31873;b1;C;2;;199;SAO PAULO;SP;01/06/2012;1963613;18109;302506;746605;733271;68185;4838;5687;31056;53357;0;;;;;;;;
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/06/2012;1960320;0;898984;289178;591064;63075;31521;20038;14856;51603;0;;;;;;;;
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;01/06/2012;1936635;0;1778617;7843;38910;77236;3615;2426;1992;25996;0;;;;;;;;
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/06/2012;1910766;974537;513162;127403;139936;127335;20893;4030;281;3191;0;;;;;;;;
JP MORGAN CHASE;20107;b1;C;3;;199;SAO PAULO;SP;01/06/2012;1887036;1580062;273059;6760;0;0;0;27155;0;0;0;;;;;;;;
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/06/2012;1844542;580077;781215;326660;43396;50248;23128;3517;11484;24817;0;;;;;;;;
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/06/2012;1793284;18365;1582437;60589;33955;18352;13758;12295;10583;42949;0;;;;;;;;
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;01/06/2012;1776801;1295710;399595;15646;27377;3183;11821;5020;1690;16760;0;;;;;;;;
BES;51482;b2;C;3;;198;SAO PAULO;SP;01/06/2012;1628216;1483935;39243;1454;20373;29288;0;0;0;0;53923;;;;;;;;
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/06/2012;1514164;372647;638073;383051;60198;22165;9914;2682;4164;21269;0;;;;;;;;
PERNAMBUCANAS;40699;n1;C;2;;197;SAO PAULO;SP;01/06/2012;1457421;0;925995;77714;50109;67064;53322;46075;41606;195536;0;;;;;;;;
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/06/2012;1435731;1389963;14272;0;31496;0;0;0;0;0;0;;;;;;;;
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;01/06/2012;1431351;561265;708496;123973;16993;7079;3923;2447;2226;4949;0;;;;;;;;
BANIF;20255;b1;C;3;;199;SAO PAULO;SP;01/06/2012;1318934;0;638172;271438;220238;50259;94858;19361;6276;18331;0;;;;;;;;
RODOBENS;51736;b1;C;2;;199;SAO PAULO;SP;01/06/2012;1274335;100802;979611;75074;56059;20740;7749;5161;5745;23392;0;;;;;;;;
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;;19;BARUERI;SP;01/06/2012;1242936;756268;287374;109903;42442;24805;9728;4095;3611;4710;0;;;;;;;;
ORIGINAL;51781;b1;C;2;;199;PORTO ALEGRE;RS;01/06/2012;1237406;47;859538;91502;217351;16506;4505;4499;4090;39367;0;;;;;;;;
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;01/06/2012;1196342;303315;274194;249004;240129;22235;16770;14457;15528;60710;0;;;;;;;;
BBM;30207;b1;C;2;;199;SALVADOR;BA;01/06/2012;1195364;117127;196784;546139;299776;6372;83;9864;89;602;18529;;;;;;;;
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;;25;BRASILIA;DF;01/06/2012;1187263;699436;327893;27206;23849;22280;15598;8604;8854;53542;0;;;;;;;;
SCANIA BANCO S.A.;11417016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;01/06/2012;1168976;142348;251100;400355;282854;74193;4718;4200;3910;5296;0;;;;;;;;
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;;8;SAO PAULO;SP;01/06/2012;1118492;666327;231986;168562;45095;6520;0;0;0;0;0;;;;;;;;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/06/2012;1105435;742726;255259;107450;0;0;0;0;0;0;0;;;;;;;;
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;;14;SAO PAULO;SP;01/06/2012;1054185;0;716516;53887;46532;32625;32704;24675;29155;118089;0;;;;;;;;
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;01/06/2012;967496;219674;654250;46569;23733;933;0;1623;8571;12142;0;;;;;;;;
