Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;;
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2014;359075352;23150994;57496419;96225874;137946155;31053;44224857;;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/06/2014;293236798;19262957;879610;18676525;254417707;0;0;;
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2014;282935459;9763907;16543296;62401724;70531903;55304;123639325;;
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2014;177852251;29325128;29542464;52066623;47484001;81140;19352894;;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2014;157039549;33992821;36182415;40045243;46787570;31499;0;;
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2014;108860299;7742848;14497600;45728528;26917760;32807;13940756;;
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/06/2014;46767532;1175918;1046964;17088482;19341902;1278;8112989;;
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2014;44763969;2884002;2765206;16663001;14839542;11294;7600924;;
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2014;17576935;166849;3048460;3144780;8866770;266;2349810;;
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2014;13539345;633524;1491271;5960476;5289947;8238;155891;;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/06/2014;13487120;1422290;4213982;3138298;4711501;1048;0;;
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/06/2014;12990606;2163256;380594;3556929;4018238;0;2871589;;
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/06/2014;11227271;1839659;483699;1599743;7303934;235;0;;
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/06/2014;10114130;119064;259742;4008486;3811636;21;1915181;;
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/06/2014;10003228;697989;1530932;6364173;1410129;5;0;;
BIC;32119;b1;C;2;;199;SAO PAULO;SP;01/06/2014;9122378;861755;1139431;5012699;1743682;27;364784;;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/06/2014;7835652;949991;618025;3174455;3093020;162;0;;
