Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;;C;2;SAO PAULO;SP;01/06/2016;40596668;1539849;28843770;10822898;0;3239260;85042445;-40614044;-3485489;-1473206;-787664;-12780874;-59141278;25901167;8222520;5153395;-7763635;-9459230;-3594370;-5016376;32388856;-23281642;-3350483;22550684;249677;22800361;-9757329;-3704551;9338481;-2698857
BB;49906;b1;;C;1;BRASILIA;DF;01/06/2016;45264065;177925;28389081;-1613247;1880260;2837652;76935735;-51999540;-2855093;-102955;0;-14222883;-69180471;7755265;6050076;4029046;-10309453;-7858055;-2339309;31675;24033608;-14020053;-382466;7372798;3321;7376119;-1858274;-625963;4891882;-1411218
BRADESCO;10045;b1;;C;2;OSASCO;SP;01/06/2016;35016572;1113192;22246905;12785254;0;2574667;73736591;-34536724;-1014239;-952448;-78474;-10491625;-47073510;26663081;4851761;4102567;-6517291;-8122849;-2599321;-5426910;17067916;-12545574;-9189700;17473381;-80510;17392871;-9128974;0;8263897;-2906355
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;01/06/2016;43946763;0;28281270;-7762951;0;6526308;70991390;-45002439;-8240139;0;-1186227;-10067359;-64496163;6495227;8499589;2370779;-10057680;-5226252;-1739182;424923;7738038;-8260944;-6250728;244499;-114147;130352;2250343;-388849;1991846;-1173751
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;01/06/2016;21331816;1122125;16031162;4920034;6512178;3358249;53275564;-25142801;-1319288;-925576;0;-5835996;-33223661;20051903;4488203;1569127;-3439596;-5012385;-2275494;200762;13302685;-19034802;-10201500;9850403;33184;9883587;-6710657;-606803;2566127;-500000
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;01/06/2016;21276531;0;12186580;3190243;0;0;36653354;-2060791;-18843174;0;-417;-4267024;-25171406;11481949;141499;0;-554026;-229360;-402584;-3574921;8995325;-14503734;-10127800;1354149;-3906;1350243;-3321488;-202681;-2173927;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;01/06/2016;3233925;519186;7066104;585158;0;105054;11509427;-7827511;-319817;-399595;-90094;-805007;-9442024;2067403;335306;145553;-740280;-551774;-201311;-117588;1010055;-534991;-655030;1412372;-224834;1187538;-357273;0;830265;0
HSBC;51152;b1;;C;3;CURITIBA;PR;01/06/2016;5929715;267886;2660954;-468101;1439234;719124;10548812;-5923190;-391667;-205424;0;-2475265;-8995547;1553266;613584;727240;-1743955;-2071081;-380498;193206;1376641;-1333702;-2618567;-1065301;-48899;-1114200;376385;-764;-738579;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;01/06/2016;6117872;90187;2113148;-41703;0;16384;8295888;-5521695;-118551;-94388;-189261;-757544;-6681438;1614449;236271;284594;-657414;-581505;-191107;89843;1599189;-1703512;-923641;690808;5503;696311;-410897;-91003;194410;0
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;01/06/2016;1092381;0;-1115248;5814893;1656099;101771;7549895;-4153987;-147810;0;0;-594677;-4896475;2653421;1227702;108684;-860728;-1100918;-224723;-767501;3234599;-2297327;-680212;1973209;1081643;3054852;-462747;-580386;2011719;-500000
