Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2016;682367545;143357365;444121818;28342436;0;18;51955269;0;0;519664;3982340;0;26;10017601;71007;0
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2016;674642397;388358380;59773262;16559912;395840;102415;117437576;0;40533412;2139848;233600;0;187;3360610;109470;45637885
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2016;548819212;230171950;44966868;9432307;1059154;8409863;24778895;49077;670639;504179;145151;0;6116;6070;497738;228121205
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2016;390116719;177880097;44993086;27472663;0;10773554;33186085;0;436826;3598160;0;0;11962;0;477637;91286649
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/06/2016;368819835;96792943;3237;232992123;7884589;15296421;0;11450701;0;14828;4384994;0;0;0;0;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2016;241899585;144348825;47198887;4611370;15131;255458;19059045;799574;0;146209;711489;0;1720;11691;115616;24624570
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2016;66068476;32124766;7783584;654065;33520;7487344;9924335;0;0;33062;85846;0;0;263710;60522;7617722
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2016;46773774;37687882;11364;815599;16241;1845319;4634151;47080;0;0;94612;0;0;0;15733;1605793
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/06/2016;46290915;605129;73860;2257522;0;0;3902793;0;0;112347;309132;0;492;163093;0;38866548
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/06/2016;44733902;19866930;491969;1198669;0;1661000;13496445;207843;0;136504;2599;0;10709;0;681;7660552
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2016;28618906;16761777;5475421;290626;0;1206453;4522225;0;0;44502;0;0;0;136196;11443;170262
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/06/2016;20252033;12962257;1119311;205015;0;781;5912987;45736;0;0;0;0;0;0;5946;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/06/2016;17906101;14498218;640985;0;0;0;2010304;0;0;603441;19493;0;0;127948;5712;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/06/2016;16239430;13476929;0;745216;0;0;2017189;0;0;0;0;0;0;0;96;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/06/2016;14119160;12343098;308;182568;0;0;1582455;0;0;0;7067;0;0;3664;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/06/2016;13187647;7343500;27641;1207361;0;1319970;945393;0;20;2285671;0;0;57398;0;693;0
DAYCOVAL;51987;b1;C;2;;199;SAO PAULO;SP;01/06/2016;12960748;9256705;3640;18481;0;9018;2156650;742211;97525;262;0;0;6714;543562;1636;124343
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/06/2016;12950387;11631989;0;79170;0;1084899;154084;0;0;0;0;0;0;0;246;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/06/2016;12782689;9079649;1484;2658076;0;0;0;0;0;506881;153;0;388;536059;0;0
