Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2019;331993002;3555858;16212828;47534652;60043786;559007;4442;204082429
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2019;278914553;11437180;22565963;39599675;35218480;72259905;1123;97832227
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2019;276739820;0;1013706;3134209;263862183;8729722;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2019;262957216;2602251;29081557;54667807;141088954;2127830;394;33388422
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2019;142040115;8553942;14837794;24059740;94588486;0;153;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2019;129047243;6455405;16955940;41676680;37101947;1051329;1875;25804067
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2019;48356067;372029;1747839;11517512;25302817;353726;265;9061880
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2019;21999483;611231;53962;415695;10581372;0;0;10337223
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;13448554;208844;1519966;5157757;4650229;0;1;1911757
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;12596625;111047;315646;4554065;5879518;792333;43;943974
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2019;12274027;998041;151507;460101;9293188;0;0;1371190
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/06/2019;10667288;9027;31297;1220365;8124986;1281613;0;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/06/2019;10204995;332452;1128290;4737396;4006857;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/06/2019;10068165;107413;739216;3927513;4832471;461551;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2019;9142048;157269;130355;1170158;7684265;0;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/06/2019;9055393;557593;1711648;5017475;1768675;0;2;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2019;9055334;290756;1204077;3498528;3721383;225323;46;115221
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;6760932;0;131511;770337;5859084;0;0;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;6017216;38370;125937;914065;1761023;15075;0;3162745
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/06/2019;5827873;428546;313808;2108886;2976629;0;4;0
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/06/2019;4919901;1624143;6541;2301709;987508;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/06/2019;4507710;96749;329772;2092502;1952848;35839;0;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;4397017;291747;253850;673184;802402;1957681;480;417673
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;4353151;308498;321545;1073233;2162133;487743;0;0
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;4211955;0;0;320704;3358915;532336;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/06/2019;4194979;244874;1219460;2211164;497830;21650;0;0
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/06/2019;4065441;0;60278;1071593;1795737;0;0;1137832
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/06/2019;3704693;573838;922460;1913430;294965;0;0;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/06/2019;3381785;107194;69397;323592;2877109;635;1;3857
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/06/2019;3279366;1241028;342397;1538488;157454;0;0;0
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/06/2019;3131929;147526;645525;1999961;338126;790;0;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;3035006;272590;107128;1035401;1388115;149187;1;82585
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/06/2019;2963889;18645;77111;840343;1274165;129868;1;623755
JOHN DEERE;50071;b1;C;3;S3;199;INDAIATUBA;SP;01/06/2019;2429051;15184;89689;1391110;933067;0;0;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;2380389;1003;31979;186706;1883498;0;0;277203
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;2204522;0;5594;95371;2103558;0;0;0
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;2199707;25483;20952;581055;1572218;0;0;0
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/06/2019;2140007;353191;20394;135135;1631287;0;0;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/06/2019;2046083;591045;698913;701771;37964;16310;80;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/06/2019;2009467;6142;81213;616231;606954;575636;0;123291
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;S4;8;SAO PAULO;SP;01/06/2019;1871856;0;0;48651;1823206;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/06/2019;1859638;215734;484593;907244;252065;0;1;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/06/2019;1830385;146918;109153;131374;1442937;0;3;0
BANCO MUFG BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;01/06/2019;1721036;6007;3726;156277;1555026;0;0;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;I;3;S3;8;SAO PAULO;SP;01/06/2019;1650763;53374;95343;917176;584870;0;0;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;1649533;134277;227142;863693;286102;138318;0;0
MIZUHO;51554;b1;I;3;S4;199;SAO PAULO;SP;01/06/2019;1643236;27031;0;320129;770486;0;0;525589
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;01/06/2019;1638234;72077;157058;723420;581253;104427;0;0
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;01/06/2019;1604137;11783;22927;310428;1258998;0;0;0
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/06/2019;1575244;72123;357235;862907;282125;852;2;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/06/2019;1427288;69944;230481;1002448;124412;0;2;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/06/2019;1418466;33269;188288;699093;497816;0;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;01/06/2019;1417661;6007;2475;511871;821370;0;0;75938
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/06/2019;1389759;209856;251969;564120;242175;121639;1;0
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/06/2019;1378882;12859;266664;959675;121608;18043;33;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;01/06/2019;1249940;233931;192330;651148;172531;0;0;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;S4;19;BARUERI;SP;01/06/2019;1226628;3280;29690;450146;743511;0;0;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;01/06/2019;1216255;81267;50731;623729;460528;0;0;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/06/2019;1215909;121843;224350;642301;227415;0;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;S4;30;CURITIBA;PR;01/06/2019;1106642;93545;36461;763073;212606;955;1;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/06/2019;1051116;65167;309229;463461;191197;22062;1;0
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;S4;8;SAO PAULO;SP;01/06/2019;993167;280029;210524;463866;29490;9257;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;01/06/2019;986264;307371;534254;142672;1513;449;5;0
BANCO FORD S.A.;90731688;b2;I;3;S4;8;SAO PAULO;SP;01/06/2019;976247;0;2031;858897;115319;0;0;0
RENDIMENTO;51468;b1;C;2;S4;199;SAO PAULO;SP;01/06/2019;934433;2734;116492;449362;318718;47126;1;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/06/2019;916446;188758;349564;293472;84651;0;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;S5;9;GOIANIA;GO;01/06/2019;877705;28212;251410;554791;41663;1626;2;0
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/06/2019;860696;157323;176627;438266;88477;0;3;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;01/06/2019;833028;148905;385367;254746;40639;3369;2;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;I;2;S5;9;BELO HORIZONTE;MG;01/06/2019;821953;31655;78809;574639;135554;1296;0;0
BANCO RODOBENS S.A.;33603457;b1;I;2;S4;8;SAO PAULO;SP;01/06/2019;821626;103436;212075;386696;119419;0;0;0
BANCO TOPÁZIO S.A.;7679404;b1;I;2;S4;8;PORTO ALEGRE;RS;01/06/2019;809454;3576;49102;287005;469772;0;0;0
