Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;set/13;16.762.780;97.167.686
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;set/13;13.403.755;90.534.132
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;set/13;10.933.350;46.593.707
BB;49906;b1;C;1;;199;BRASILIA;DF;set/13;10.547.801;45.561.058
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;set/13;8.388.938;32.004.504
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;set/13;4.147.939;7.001.563
BMG;30290;b1;C;2;;199;SAO PAULO;SP;set/13;3.169.694;8.762.690
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;set/13;2.302.505;21.074.716
HSBC;51152;b1;C;3;;199;CURITIBA;PR;set/13;2.107.064;11.514.469
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;set/13;1.122.788;4.646.088
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;set/13;1.014.684;3.480.891
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;set/13;968.777;2.068.953
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;set/13;954.145;4.004.931
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;set/13;869.332;4.940.194
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;set/13;578.435;1.229.801
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;set/13;562.775;710.920
PERNAMBUCANAS;40699;n1;C;2;;197;SAO PAULO;SP;set/13;530.055;5.553.290
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;set/13;484.298;920.810
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;set/13;452.139;650.656
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;set/13;429.148;500.918
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;set/13;414.992;790.234
FIBRA;49951;b1;I;2;;199;SAO PAULO;SP;set/13;366.980;1.823.184
