Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2013;544295298;281006626;71263811;99534696;17882267;3610141;6481149;2276457;2030087;11955708;48254355;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2013;455497343;50875257;244304316;55471415;72300597;10494207;4183434;2193400;1579086;14095630;0;
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2013;403608352;149072909;89947836;25156194;15207873;6593887;3277290;2613491;3097798;12770485;95870590;
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2013;339584329;34664047;118292837;52784256;47505989;8164078;2632417;2075337;1642709;10601390;61221270;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/09/2013;267946626;104465396;103545099;49389565;9144299;410608;768823;0;0;222835;0;
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2013;221693806;39125350;104743812;19870846;13537785;5194619;2135694;3661710;1393407;8550273;23480310;
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/09/2013;61679687;21332330;21071194;5070482;2236254;981652;445616;389904;444466;2406476;7301314;
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2013;59221244;4696924;28682758;9904147;8121149;1329805;1209865;489009;521764;2164051;2101773;
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2013;49954582;29861743;8500726;1932088;786445;253716;225870;181622;141800;845518;7225053;
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/09/2013;24712537;3478880;9412746;4915826;4044291;1181741;477319;126459;316382;606942;151951;
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2013;22906845;4919349;9546181;3534930;1491824;1215515;409235;295657;249293;1244861;0;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/09/2013;22244323;458840;15643690;2975182;1754005;334367;318863;99254;93923;566199;0;
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/09/2013;21349450;0;19156613;774885;315889;221812;138323;110705;115747;515476;0;
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;01/09/2013;14104588;512961;9090231;1886287;949835;386448;201424;151237;149823;776342;0;
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/09/2013;13845184;1305426;4655699;1624356;1116874;212874;118232;18106;25965;197;4767454;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/09/2013;11497848;3889787;3879415;2142278;421888;150772;186720;142166;140668;544155;0;
BIC;32119;b1;C;2;;199;SAO PAULO;SP;01/09/2013;10758149;4419940;3329839;1080673;609562;234523;181557;115652;46039;234004;506360;
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/09/2013;10175316;9703767;357245;16326;58544;7409;13010;0;0;19015;0;
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/09/2013;10040100;73090;3605819;5537114;390590;196246;79025;29795;32721;95698;0;
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/09/2013;9401148;5194;8307974;394319;520261;45445;32494;24959;21857;48646;0;
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/09/2013;9313932;404729;2352709;3461283;1001279;111317;27918;6379;9670;51818;1886829;
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2013;9305973;1716437;5128366;986349;259326;488763;153306;125001;114119;334307;0;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/09/2013;8977722;3468657;4330966;632690;213067;51403;61529;26226;122971;70212;0;
FIBRA;49951;b1;I;2;;199;SAO PAULO;SP;01/09/2013;8133696;184336;3513714;1630787;345317;128441;71087;51613;70012;213869;1924520;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/09/2013;8093626;854750;2387834;4181204;195139;60752;2773;37431;17411;33451;322880;
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/09/2013;7964413;115716;3554830;3392528;263290;146940;107864;60863;49859;271372;1150;
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/09/2013;7629729;761861;5033570;1589734;169949;35903;5728;5785;4387;22814;0;
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/09/2013;7434025;4301982;1492136;627892;364234;251216;117988;46032;47099;185446;0;
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/09/2013;6941213;4341955;2283269;223582;52100;9559;4184;2561;1802;22203;0;
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/09/2013;6273639;1160987;4404935;229510;99452;63088;43456;47019;40777;184414;0;
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/09/2013;5612890;1525414;2487802;1237590;160913;65313;18606;11109;15621;90522;0;
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/09/2013;5592985;753681;1553136;2048762;360874;198114;40209;65873;49295;34804;488237;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/09/2013;5408900;0;3975804;508617;462352;185524;27786;33963;29042;185812;0;
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/09/2013;5060731;195527;1004458;365464;217393;91164;0;0;0;78113;3108613;
BANCO CNH CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/09/2013;4915466;346783;1789164;1263990;936997;344684;13594;38738;13465;168051;0;
