Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2014;369780340;1370845;11687647;25722500;26215199;11433077;2375953;1;78805222;83143;3104935;4222632;7488718;12543285;21520662;4568596;53531972;219200;3331831;1011079;573542;0;0;0;5135652;589376;11087761;2879698;102369;42661;444609;202476;15348951;180114;4341120;8707370;254216;27688;1574;0;13512081;451294;3016590;2845414;3634619;1399479;4736209;49202;16132807;597136;6378014;16813657;28426056;12161802;16680150;7586678;88643493;93608;5573193;16760230;10869648;7081347;3382723;30760;43791510;3346;173184;1127588;2747562;464651;20406;0;4536738;50341914
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2014;325878504;756952;11421877;13916999;14147739;2124975;403140;7069;42778752;78806;2464638;3159308;4580020;1315164;170994;0;11768930;839440;8876410;366843;0;0;0;0;10082692;133968;10348018;2481596;59763;1709;0;0;13025054;159761;2582610;3930441;3643192;1077320;457843;0;11851166;620563;2426663;2430842;2599747;537690;126431;0;8741935;119795;3081196;9441178;17882177;7132910;5239083;311547;43207888;958;1628312;4578715;776175;368089;103637;0;7455885;6460;644664;3252828;4536069;545590;1052023;816;10038450;166927753
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/09/2014;309883023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168692;10564025;26996042;72029254;59537474;119813974;20773562;309883023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2014;241027610;825498;8511426;13701283;16127728;2984539;673748;0;42824221;175645;1909064;4034200;4366403;588337;57137;84;11130870;510109;8688718;2728607;326893;0;0;0;12254327;277820;8114415;834197;40496;9159;0;0;9276087;60324;3238915;5314252;5797588;1095495;412639;0;15919213;991382;2430160;1878382;2220028;804067;260267;420;8584707;109644;2660866;7794631;13695019;5365492;3587020;438203;33650875;18071;1540710;2941566;401219;1333665;1070399;386;7306016;10528;141910;1483312;7932674;4569783;3102180;120702;17361089;82720205
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2014;163486743;3120609;7339543;17756685;26928659;6145888;1245101;0;62536485;774844;452759;1111033;4513751;4178150;3351522;5;14382064;792633;1244255;3872111;22160;26949;1812;0;5959919;104446;1407374;90097;0;0;0;0;1601917;2380;98467;1127927;1471457;1648783;0;0;4349016;335735;1583285;631960;34120;9374;6118;0;2600592;490585;4168621;5585684;15272280;8578242;22088772;6612128;62796312;0;0;0;0;0;0;0;0;29766;3157772;2693112;2528155;412640;427161;11831;9260437;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2014;115101472;1002932;6441954;9112221;9461136;2324753;863828;360548;29567373;97784;885943;1910216;2160819;458610;766516;556735;6836622;390295;4202170;1345002;487245;217980;94322;446;6737460;55597;8690198;3969877;148421;18052;9145;801;12892091;36725;3804791;5019603;4199922;627682;226224;0;13914948;443909;1034666;1678205;1936094;616119;282246;54022;6045260;44892;806212;2195224;3658970;1740345;781607;1736;9228987;114;623789;1537005;159949;62752;15450;0;2399058;26693;657655;3004130;3797261;184407;2087058;2507;9759711;17719964
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2014;46025353;164098;4727459;5071172;4146851;748811;49147;0;14907538;38228;1590480;1993186;1527532;880671;793764;0;6823861;65994;1677421;96621;17163;0;0;0;1857198;2875;2790548;375004;26428;65;73623;0;3268544;9772;579966;555568;77330;0;0;0;1222635;12385;86875;25898;10011;20021;20021;0;175210;52984;855772;2321353;3108043;885947;433659;0;7657758;6497;694623;994471;41011;11982;3781;0;1752365;0;3884;112003;209523;16756;0;0;342166;8018078
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/09/2014;45771189;177064;4224149;4181739;3557426;664986;54939;0;12860302;12172;197690;470933;584009;87938;318;0;1353061;91996;1620440;527597;372409;88;0;3412;2615941;61153;3350792;593152;27996;1232;1130;1547;4037002;121964;2684330;3360837;1796558;702459;96955;3331;8766435;120573;88305;44504;90103;72402;59516;1899;477302;25153;662396;934283;1377184;370385;171057;0;3540458;4813;666455;1556676;168432;10728;4019;0;2411123;7463;350424;769149;375241;53695;0;0;1555972;8153593
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2014;17742382;210803;1183646;1264080;1312586;509427;177407;0;4657949;44961;207279;533383;544037;24021;2;0;1353683;6807;2948;2993;0;0;0;0;12748;111;18912;117710;0;0;0;0;136733;62072;542241;1069381;951679;680495;499914;0;3805782;602488;276011;96969;1493;0;0;0;976960;12925;282281;787539;1189483;587017;579321;4886;3443452;411;71676;176079;75735;28810;8741;0;361451;0;0;0;0;0;0;0;0;2993624
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/09/2014;14939292;19811;1790679;1771376;1182269;292495;250335;206231;5513196;0;0;0;0;0;0;0;0;0;1910;50458;0;0;0;0;52368;2064;265754;310815;188480;105187;57581;252;930133;11024;223514;1373127;1153975;204383;74394;0;3040416;0;12874;0;0;0;0;0;12874;0;3360;6862;27310;79414;421831;972625;1511402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3878904
