Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;set/16;690.511.571;374.988.296;77.911.246;98.126.564;74.346.679;27.865.778;9.082.110;4.178.139;3.119.968;20.892.790;0
BB;49906;b1;C;1;;199;BRASILIA;DF;set/16;656.652.912;292.861.190;119.655.619;109.924.868;36.318.360;9.249.882;16.703.223;5.513.869;4.166.994;19.269.452;42.989.455
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;set/16;552.920.628;127.859.691;118.607.402;16.930.749;15.799.436;8.491.410;7.038.795;4.592.402;3.793.901;14.978.130;234.828.712
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;set/16;446.495.583;113.752.035;122.663.173;38.694.501;32.174.877;9.924.213;6.150.898;3.595.887;3.396.806;18.966.757;97.176.435
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;set/16;362.389.719;54.781.607;94.301.277;180.985.198;15.933.981;6.008.107;5.260.876;3.564.477;7.840;1.546.355;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;set/16;244.716.840;73.255.922;91.716.552;17.611.723;13.243.409;8.732.683;3.790.508;2.543.773;1.848.053;7.568.365;24.405.852
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;set/16;46.657.661;2.761.767;23.089.441;7.395.086;7.384.261;1.260.088;554.720;392.139;401.632;1.788.305;1.630.222
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;set/16;46.598.416;25.930.171;7.501.864;1.397.534;1.221.330;380.421;99.310;128.192;60.545;1.326.267;8.552.781
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;set/16;44.414.080;1.012.835;2.664.246;1.121.996;575.855;1.355.323;515.497;3.934;56.040;89.631;37.018.724
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;set/16;28.914.399;5.195.677;12.970.845;4.452.754;2.293.298;1.209.774;444.767;338.314;315.434;1.516.968;176.568
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;set/16;20.545.842;7.316.827;8.370.859;1.804.221;330.439;1.280.137;290.834;191.314;158.064;803.148;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;set/16;18.443.812;0;13.470.842;1.622.062;1.205.501;827.000;276.196;206.336;179.552;656.324;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;set/16;15.292.670;391.427;9.377.205;2.098.124;1.698.057;466.102;363.827;142.485;121.506;633.938;0
