Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Quantidade de clientes com operações ativas;Quantidade de operações ativas
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;set/21;30.310.684;93.756.561
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;set/21;25.496.582;76.003.554
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;set/21;20.653.832;50.362.315
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;n4;I;2;S4;41;SAO PAULO;SP;set/21;16.440.590;60.550.250
BB;49906;b1;C;1;S1;199;BRASILIA;DF;set/21;15.715.013;40.896.890
CAIXA ECONÔMICA FEDERAL;51626;b1;C;1;S1;199;BRASILIA;DF;set/21;15.396.874;33.167.535
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;set/21;6.258.973;16.502.784
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;set/21;5.846.419;9.742.971
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;set/21;4.428.003;24.205.930
NUBANK;52058;n1;C;2;S4;197;SAO PAULO;SP;set/21;4.100.214;8.839.063
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;set/21;3.964.339;7.666.870
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;set/21;3.838.731;10.446.987
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;set/21;3.171.322;4.567.503
C6 BANK;52072;b1;C;2;S4;199;SAO PAULO;SP;set/21;2.822.310;5.007.345
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;set/21;2.698.034;3.593.473
BANCO SICOOB;51750;b1;C;2;S3;199;BRASILIA;DF;set/21;2.247.069;3.012.518
PORTO SEGURO;51444;n1;C;2;S3;197;SAO PAULO;SP;set/21;2.143.009;2.893.436
INTER;51884;b1;C;2;S3;199;BELO HORIZONTE;MG;set/21;2.075.562;2.561.332
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;set/21;2.021.154;8.956.576
PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;set/21;1.934.323;5.320.769
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;set/21;1.751.982;6.747.021
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;set/21;1.619.451;4.858.027
BANCO DIGIO S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;set/21;1.401.734;1.848.345
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;set/21;1.242.934;3.472.842
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;set/21;1.170.578;2.010.144
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;set/21;994.760;2.359.385
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;set/21;936.797;1.914.975
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;set/21;894.305;1.166.432
AGIBANK;51956;b1;C;2;S4;199;CAMPINAS;SP;set/21;787.356;1.785.769
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;set/21;635.205;1.349.374
FORTBRASIL ADMINISTRADORA DE CARTOES DE CREDITO S/A;2732968;n4;I;2;;41;FORTALEZA;CE;set/21;582.200;954.546
NEON PAGAMENTOS S.A.;20855875;n4;I;2;;41;SAO PAULO;SP;set/21;573.754;2.028.375
M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;7747410;n1;I;2;S4;14;BARUERI;SP;set/21;477.028;2.221.165
CREFISA;52010;b1;C;2;S4;199;SAO PAULO;SP;set/21;470.168;587.117
SOROCRED INSTITUIÇÃO DE PAGAMENTO S.A.;60114865;n4;I;2;S4;41;BARUERI;SP;set/21;467.020;1.393.986
WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762;n1;I;2;S4;14;SAO PAULO;SP;set/21;407.875;1.180.385
BRASIL CARD MEIOS DE PAGAMENTOS LTDA;3130170;n4;I;2;S4;41;MONTE BELO;MG;set/21;399.702;612.912
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;set/21;364.473;1.330.439
ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A;5351887;n1;I;2;S4;14;ARAXA;MG;set/21;345.151;644.232
CREDI-SHOP S/A - INSTITUIçãO DE PAGAMENTO;62895230;n4;I;2;;41;TERESINA;PI;set/21;343.724;361.217
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;set/21;343.152;345.065
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S4;9;BLUMENAU;SC;set/21;331.656;925.283
FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;15581638;n1;I;2;S4;14;PORTO ALEGRE;RS;set/21;327.113;459.350
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;set/21;314.753;428.993
PAGSEGURO INTERNET S.A.;8561701;n4;I;2;S4;41;SAO PAULO;SP;set/21;298.982;327.613
CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;5676026;n1;I;2;S4;14;FARROUPILHA;RS;set/21;263.346;807.875
BANCO GM S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;set/21;246.307;268.795
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;set/21;238.990;554.797
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;set/21;234.927;441.987
AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;36321990;n1;I;2;S4;14;VITORIA;ES;set/21;228.862;316.110
BANCO SEMEAR S.A.;795423;b1;I;2;S4;8;BELO HORIZONTE;MG;set/21;225.461;290.421
BANCO SOROCRED S.A. - BANCO MÚLTIPLO;4814563;b1;I;2;S4;8;BARUERI;SP;set/21;213.504;598.936
XP;52120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;set/21;193.906;222.995
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;set/21;186.027;288.260
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S3;8;BELEM;PA;set/21;182.648;594.268
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;S4;8;GUARULHOS;SP;set/21;175.667;176.989
LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11271860;n1;I;2;S5;14;ELDORADO;RS;set/21;168.426;265.088
BANCO DIGIMAIS S.A.;92874270;b1;I;3;S4;8;SAO PAULO;SP;set/21;166.841;193.995
KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;6040559;n1;I;2;S5;14;BIGUACU;SC;set/21;160.698;344.662
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4379829;n1;I;2;S5;14;CURITIBA;PR;set/21;152.971;196.875
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;set/21;143.347;248.435
VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;5192316;n1;I;2;S4;14;SANTO CRISTO;RS;set/21;141.553;312.859
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S3;8;SAO PAULO;SP;set/21;138.262;143.438
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;set/21;118.939;248.677
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;set/21;114.096;161.389
MASTER;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;set/21;106.774;265.044
MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;37679449;n1;I;2;S4;14;OSASCO;SP;set/21;103.003;204.153
PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1800019;n1;I;2;S4;14;PORTO ALEGRE;RS;set/21;101.782;121.391
