Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2013;335013205;25983468;55696781;88711136;131785068;31548;32805204
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/12/2013;280644864;33575468;224425;2680820;244164151;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2013;261119943;9059972;16367705;59583510;74041182;56239;102011335
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2013;223550562;34469993;28154898;64531686;31587537;82112;64724337
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2013;139524879;16292393;26553327;22352266;74297314;29578;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2013;108167577;10176314;15165084;48122060;23358536;30481;11315102
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2013;46521512;1241907;1317225;18279709;17071596;1052;8610023
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/12/2013;43290088;2888655;3131885;13682996;16283038;12421;7291094
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2013;19149300;324565;3325347;4362480;9072129;161;2064618
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2013;14259318;1875287;4513413;3106201;4763829;588;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/12/2013;14002401;697068;212568;2522396;6234065;0;4336304
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2013;12869967;1309460;1335009;6060193;3987437;7617;170252
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/12/2013;10069899;26874;791189;1167077;8084496;263;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/12/2013;10025158;652026;1138388;5528369;405719;14;2300642
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/12/2013;9774434;679570;1490175;6177934;1426755;1;0
BIC;32119;b1;C;2;;199;SAO PAULO;SP;01/12/2013;9389525;910980;1243068;5110936;1637441;34;487067
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/12/2013;7931236;213972;452259;3997466;3267368;171;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/12/2013;7481613;7079184;190228;124404;86945;852;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/12/2013;7008414;474254;955839;1621041;3957269;12;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/12/2013;5570577;936564;960302;1125292;1944710;34;603676
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/12/2013;5396545;220375;363606;2905801;1902216;4549;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/12/2013;5376080;780657;2110738;2193357;291326;1;0
FIBRA;49951;b1;I;2;;199;SAO PAULO;SP;01/12/2013;4606724;619833;1748852;1240536;1867;219;995417
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/12/2013;4576246;41223;5223;197046;1024188;0;3308566
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/12/2013;4537100;104047;437988;1771383;2223616;66;0
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/12/2013;4511546;190913;116028;2379881;1823418;96;1210
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2013;3977690;233935;317805;602234;2823229;486;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/12/2013;3968208;91533;388504;1749914;1738226;30;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/12/2013;3821665;44;1382530;589530;1515441;0;334119
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;01/12/2013;3499761;690801;596336;1303553;909069;3;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/12/2013;3434828;26582;34908;25776;3347561;0;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/12/2013;3280737;73888;803818;1959853;443177;1;0
BANCO CNH CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/12/2013;3230102;1508021;264165;875823;582091;1;0
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/12/2013;3135502;4135;26024;225046;2880296;1;0
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;01/12/2013;2953598;211072;292083;1163052;1197794;0;89597
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/12/2013;2658408;0;63858;451987;1559162;1;583400
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/12/2013;2388996;229386;2079579;3248;76783;0;0
BES;51482;b2;C;3;;198;SAO PAULO;SP;01/12/2013;2128351;510363;408653;217158;575858;0;416319
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/12/2013;1934787;86352;307063;1368997;172010;363;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/12/2013;1865240;0;4189;743903;1117148;0;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/12/2013;1811625;15114;106643;118563;1571228;77;0
SCANIA BANCO S.A.;11417016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;01/12/2013;1795201;291900;371146;955436;176719;0;0
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/12/2013;1794210;318951;453023;933378;88603;254;0
SOFISA;31873;b1;C;2;;199;SAO PAULO;SP;01/12/2013;1746944;7;563985;514946;667984;22;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/12/2013;1620070;0;337511;176343;714485;0;391730
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/12/2013;1549948;133218;170864;1207806;37999;61;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/12/2013;1540952;777949;102901;182066;477985;50;0
BANCO FORD S.A.;90731688;b2;I;3;;8;SAO PAULO;SP;01/12/2013;1525917;0;1229;1299664;225024;0;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/12/2013;1305193;111842;297667;627832;267852;0;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;;8;SAO PAULO;SP;01/12/2013;1301673;164884;31137;309839;795814;0;0
JP MORGAN CHASE;20107;b1;C;3;;199;SAO PAULO;SP;01/12/2013;1223552;57998;34642;140918;989994;0;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;;19;BARUERI;SP;01/12/2013;1220688;0;31537;878570;310580;1;0
BBM;30207;b1;C;2;;199;SALVADOR;BA;01/12/2013;1191530;252;43747;256820;873785;0;16926
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/12/2013;1153161;0;0;0;1153161;0;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/12/2013;1125515;240944;271670;149735;463165;1;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;01/12/2013;1106125;0;25590;405614;674917;3;0
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;01/12/2013;1030821;11980;236949;657312;120932;3649;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/12/2013;1010178;30859;198739;635036;145538;6;0
RODOBENS;51736;b1;C;2;;199;SAO PAULO;SP;01/12/2013;928093;614086;105686;139217;69094;10;0
CREDIT AGRICOLE;51066;b1;C;3;;199;SAO PAULO;SP;01/12/2013;917110;56478;21477;102592;736562;0;0
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;01/12/2013;894364;0;550201;297409;46753;1;0
BANCO MONEO S.A.;7441209;b2;I;2;;8;CAXIAS DO SUL;RS;01/12/2013;817659;136198;195065;446223;40173;0;0
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/12/2013;769627;1050;66823;248417;453338;0;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;;30;SAO PAULO;SP;01/12/2013;758618;91433;53477;476450;137258;0;0
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/12/2013;753995;17472;76762;153554;506208;0;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;;30;FLORIANOPOLIS;SC;01/12/2013;745830;28045;83532;509494;124760;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;;30;CURITIBA;PR;01/12/2013;658405;31942;16003;414654;195753;54;0
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;01/12/2013;603548;0;0;167056;436492;0;0
CAIXA GERAL;51815;b1;C;3;;199;SAO PAULO;SP;01/12/2013;566584;66638;42308;265412;192227;0;0
BMW;51420;n1;C;3;;197;SAO PAULO;SP;01/12/2013;552861;78222;72445;352077;50116;0;0
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43818780;b2;I;3;;8;BARUERI;SP;01/12/2013;495442;9396;74963;315601;95473;9;0
BANIF;20255;b1;C;3;;199;SAO PAULO;SP;01/12/2013;490806;49313;210488;145508;85494;2;0
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/12/2013;466425;1531;62289;241786;160633;186;0
RENDIMENTO;51468;b1;C;2;;199;SAO PAULO;SP;01/12/2013;454603;66292;110789;272117;5391;13;0
BANCO GUANABARA S.A.;31880826;b1;I;2;;8;RIO DE JANEIRO;RJ;01/12/2013;451907;19378;33512;337595;61420;3;0
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;01/12/2013;403893;30816;59913;87572;225574;19;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/12/2013;396499;28053;53949;314237;0;259;0
BANCO MODAL S.A.;30723886;b1;I;2;;8;RIO DE JANEIRO;RJ;01/12/2013;372833;0;15792;262806;94235;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;I;2;;9;NOVA PETROPOLIS;RS;01/12/2013;351653;64251;108361;132821;45990;229;0
BANCO TRICURY S.A.;57839805;b2;I;2;;8;SAO PAULO;SP;01/12/2013;346612;34043;82835;126203;103530;0;0
