Instituição financeira;w;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2015;413394701;1494875;10274160;24723560;27781702;12687594;2405175;420919;79787985;60207;1275464;5099281;12641796;17249583;27478338;6256761;70061430;250488;2351569;815077;371276;0;0;40368;3828777;456180;8068563;2750396;285332;122705;69388;2474;11755038;328124;5632089;13206739;153283;9916;628;3523;19334302;1151691;5966594;7414727;13204360;17227576;10486657;187632;55639237;719859;7736641;14963483;25140375;11217826;17642843;9630393;87051421;112514;1994899;8659505;1904185;1102182;2125332;16331;15914948;31043;353569;1437173;3499119;616853;20853;0;5958609;64062953
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/12/2015;391670350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;775017;15588791;39213085;86949026;73315271;146770539;28099897;390711625;1688;38489;123982;253915;223152;317498;0;958724;0;0;0;0;0;0;0;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2015;330269333;735622;7818545;12278020;12852207;3290481;562179;5052;37542108;62588;1659664;4953392;5270083;1305940;53247;0;13304914;980761;8506874;228951;0;0;0;0;9716586;134848;16792319;3893904;117853;43762;43309;0;21025995;111592;2691361;4370514;2839282;2427166;354210;0;12794124;886347;1564474;2411497;2817099;766702;434275;0;8880394;235061;4287353;8607740;13604528;6209534;4915336;347524;38207077;6393;1890979;4871889;691545;426564;149877;0;8037247;77090;916915;3337757;4602199;603900;1217778;7329;10762967;169997921
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2015;289184978;1121093;8595497;14679922;14485096;3320854;239749;0;42442210;193213;1790704;3398562;3178217;374642;20097;57;8955493;721712;9083531;1576158;100970;0;0;0;11482371;348412;6831558;1164120;395371;187709;0;0;8927170;41409;5769233;7039769;7617453;3083647;223247;0;23774758;1113546;4185568;2683239;3025699;961880;437368;6244;12413545;146932;3502970;7087987;14084787;5801222;8142073;876968;39642939;16766;578813;2125391;1470851;1286024;252635;0;5730480;10286;183300;1197038;5630202;2513597;97429;217;9632070;126183943
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2015;192446477;3179381;5882808;17741700;20060332;11646395;0;0;58510616;588670;283934;817014;1761060;628206;582;1;4079467;912237;1034206;3233822;106282;8336;0;0;5294884;124254;1105742;65390;0;0;0;0;1295386;177982;1078287;4091479;5711875;1666668;2898261;0;15624551;2782832;1904865;3176786;2316796;998570;144719;0;11324568;511357;6481792;10157157;18667349;11450464;28042300;8890944;84201364;0;0;0;0;0;0;0;0;76543;4786673;3453705;3023085;393260;382307;66;12115640;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2015;136234680;920524;9219778;9709151;9176185;3032116;876131;300184;33234070;97142;856718;1859157;2007129;602989;961256;1660881;8045271;429613;4603692;1241277;341731;143266;62555;13708;6835841;121848;13509880;3965033;192328;566031;31339;2625;18389084;123403;4297329;4006084;2886985;711120;118172;0;12143093;686042;928640;1615430;2005084;741941;238121;636372;6851630;111292;1062629;3010189;4724768;1890477;1760125;10587;12570067;5764;494843;1674813;218864;66981;43838;1820;2506924;127374;863553;3379228;3392498;210777;1459172;1921;9434523;26224178
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/12/2015;49241124;317566;3646035;5256491;3654510;542574;90445;35;13507658;23277;189379;449869;510073;57848;26;1;1230472;126243;1416018;651143;47104;102;0;0;2240610;34682;5251379;842355;37833;1245;360;2977;6170830;246500;2676551;3469270;2312927;100806;0;2821;8808875;210863;99496;172764;102724;65289;86857;2034;740027;7953;601893;737947;1135642;308054;147389;0;2938878;3540;633472;1446849;143270;43804;7644;0;2278580;852;395404;676413;390672;7034;1904;0;1472280;9852915
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/12/2015;43150081;12638;674548;743014;491699;162667;549422;0;2633988;0;0;0;0;0;0;0;0;0;7813;4685;300;0;0;0;12797;99530;74900;169646;243810;165556;17241;1;770684;198246;142596;380054;989832;84100;67561;0;1862390;1272;3094;7478;14374;9582;14472;0;50273;3988;3300;7142;76755;128940;708703;1495279;2424105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35395844
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2015;42447443;263440;3665231;3830812;3517818;691707;40914;0;12009923;18057;463257;656480;547333;142434;3912;0;1831473;124482;980683;36331;0;43027;0;0;1184523;35531;2583322;425454;3591;595;43681;0;3092173;45398;1397553;1674851;1335036;1142662;502674;0;6098173;105286;42890;130545;20832;23924;11962;0;335440;43478;757481;1714874;2274392;770955;531825;0;6093005;536;154592;492447;32088;5898;299;0;685860;0;349;169089;243853;0;0;0;413291;10703582
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2015;17515803;100229;610868;806186;1141138;556944;138309;0;3353675;37479;292661;408134;451484;27839;8113;0;1225711;0;0;0;0;0;0;0;0;0;746961;145884;19076;76305;133534;0;1121759;128084;552081;1119238;1226088;1557843;2092;0;4585426;198981;58332;22431;712;534;288771;300663;870424;20433;212227;501954;966067;682646;872156;0;3255484;0;34683;135331;97234;55173;12029;0;334450;0;0;0;0;0;0;0;0;2768873
