Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;dez/16;26.285.890;96.951.579
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;dez/16;25.987.171;91.832.444
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;dez/16;15.348.704;47.746.026
BB;49906;b1;C;1;;199;BRASILIA;DF;dez/16;12.892.094;35.588.938
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;dez/16;12.095.765;30.111.525
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;;14;SAO PAULO;SP;dez/16;3.326.017;16.349.593
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;dez/16;3.252.135;4.891.656
BMG;30290;b1;C;2;;199;SAO PAULO;SP;dez/16;2.610.268;5.822.736
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;dez/16;2.442.308;4.246.006
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;dez/16;2.434.455;7.598.845
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;;14;SAO PAULO;SP;dez/16;2.235.579;5.337.891
PAN;31323;b1;C;2;;199;SAO PAULO;SP;dez/16;2.036.624;4.673.707
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;dez/16;1.734.738;8.747.551
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;dez/16;1.096.886;1.727.084
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;I;2;;14;SAO PAULO;SP;dez/16;823.518;1.019.745
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;dez/16;792.637;1.621.902
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;dez/16;758.660;5.207.965
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;dez/16;750.461;1.159.331
DAYCOVAL;51987;b1;C;2;;199;SAO PAULO;SP;dez/16;744.477;1.709.261
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;dez/16;650.804;805.083
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;dez/16;646.403;1.563.073
OMNI;50940;n1;C;2;;197;SAO PAULO;SP;dez/16;627.256;1.010.557
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;dez/16;620.747;875.001
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;dez/16;485.704;547.776
PARANÁ BANCO;30881;b1;C;2;;199;CURITIBA;PR;dez/16;446.910;1.059.583
DACASA FINANCEIRA;51891;n1;C;2;;197;VITORIA;ES;dez/16;418.166;896.658
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;dez/16;405.605;504.935
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;dez/16;375.139;380.736
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;dez/16;332.329;586.831
BANCO SEMEAR S.A.;795423;b1;I;2;;8;BELO HORIZONTE;MG;dez/16;283.509;423.156
CCB;32119;b1;C;3;;199;SAO PAULO;SP;dez/16;261.363;360.364
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4814563;n1;I;2;;14;BARUERI;SP;dez/16;218.588;537.522
BANESTES;30159;b1;C;1;;199;VITORIA;ES;dez/16;217.047;483.694
BRB;31976;b1;C;1;;199;BRASILIA;DF;dez/16;216.847;851.997
AGIPLAN;51956;b1;C;2;;199;PORTO ALEGRE;RS;dez/16;209.259;514.708
INTERMEDIUM;51884;b1;C;2;;199;BELO HORIZONTE;MG;dez/16;202.745;375.919
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;dez/16;200.018;307.568
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4379829;n1;I;2;;14;CURITIBA;PR;dez/16;178.785;231.003
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;dez/16;173.625;431.971
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;dez/16;151.495;487.767
HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS;7512441;n1;I;2;;14;DOIS IRMAOS;RS;dez/16;143.492;369.461
VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;5192316;n1;I;2;;14;SANTO CRISTO;RS;dez/16;134.319;322.184
LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11271860;n1;I;2;;14;ELDORADO;RS;dez/16;130.124;270.271
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;dez/16;122.608;135.859
SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7747410;n1;I;2;;14;BARUERI;SP;dez/16;113.342;119.818
KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;6040559;n1;I;2;;14;FLORIANOPOLIS;SC;dez/16;104.252;182.714
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;dez/16;104.249;304.012
ESTRELA MINEIRA CREDITO, FINANCIAMENTO E INVESTIMENTO S/A;5351887;n1;I;2;;14;ARAXA;MG;dez/16;103.851;126.083
AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762;n1;I;2;;14;VITORIA;ES;dez/16;97.167;142.510
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;;8;GUARULHOS;SP;dez/16;92.416;98.852
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;dez/16;85.037;491.851
BANCO A.J. RENNER S.A.;92874270;b1;I;2;;8;PORTO ALEGRE;RS;dez/16;83.157;85.892
PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1800019;n1;I;2;;14;PORTO ALEGRE;RS;dez/16;81.664;112.901
FINSOL SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE S.A.;18810553;n1;I;3;;10;RECIFE;PE;dez/16;55.153;59.948
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;;9;MARINGA;PR;dez/16;53.889;125.617
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;;9;BRASILIA;DF;dez/16;51.193;83.581
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;dez/16;48.593;85.814
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;dez/16;46.959;54.346
