Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;01/12/2018;684564202;112831202;492628781;29649606;0;0;22;34920452;0;0;431361;3686366;0;0;10357649;58762;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;01/12/2018;630208603;375696776;62272688;13957144;4506492;64439;4667;89947067;0;39518619;2083972;293381;0;0;3912265;79732;37871362
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2018;554859269;244868128;46952289;6770998;2429880;858004;10912416;23608414;38670;208416;421092;37186;0;0;4779;394101;217354895
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;01/12/2018;463031459;238490818;55437036;8028489;2568178;18050;17541255;38712356;1035303;0;1910015;195353;0;41055;0;416879;98636671
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2018;304159608;208484296;44500134;5109307;894477;147;135126;18334698;921169;0;514134;305358;0;760;675809;125988;24158206
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/12/2018;296606737;53387032;31963;201467517;7755207;6725899;8214026;1568117;8785812;0;25292;8645871;0;0;0;0;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2018;69260629;41060731;336388;1034012;452934;0;9631;17582959;234611;0;31839;123;0;2846;0;1191;8513365
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2018;50255587;42712414;701668;374655;52221;70957;428804;4054160;34828;0;0;39357;0;0;241244;5813;1539466
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2018;33342998;24036686;5484765;189454;12573;0;8783;3353198;19905;0;45792;0;0;0;47539;16251;128053
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;01/12/2018;21145832;17232580;94017;246696;44453;0;0;3525606;0;0;0;0;0;0;2479;0;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;01/12/2018;20277331;19015997;314606;0;0;0;0;521043;0;0;300503;70381;0;0;41663;13137;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/12/2018;19586427;2162795;67631;2571504;0;209819;0;5516411;0;0;43167;39462;0;0;64083;0;8911556
