Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;dez/20;461.000.695;6.131.324;25.498.849;71.671.763;95.363.101;1.837.098;1.140;260.497.420
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;dez/20;292.183.364;8.827.155;55.667.694;55.794.510;95.031.965;2.239.098;634;74.622.309
BB;49906;b1;C;1;S1;199;BRASILIA;DF;dez/20;274.812.796;5.009.176;32.041.074;55.105.842;153.750.125;3.050.434;382;25.855.764
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;dez/20;274.594.859;0;949.931;6.669.692;261.052.552;5.922.683;0;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;dez/20;183.319.257;7.294.813;30.730.907;44.775.495;52.726.931;2.773.239;2.091;45.015.782
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;dez/20;174.199.491;15.828.332;29.137.825;33.203.644;96.029.587;0;103;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;dez/20;64.804.194;853.353;2.924.852;19.998.318;31.810.289;310.380;213;8.906.789
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;dez/20;48.321.916;10.566.106;384.222;2.424.793;18.730.841;0;0;16.215.953
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;dez/20;24.335.775;285.166;931.130;11.469.204;10.532.905;904.428;30;212.913
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;dez/20;22.944.081;3.642;12.378;1.826.291;19.888.967;1.212.804;0;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;dez/20;20.374.761;406.567;1.930.963;7.776.241;8.566.007;1;1;1.694.980
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;dez/20;13.155.210;1.327.808;432.096;1.142.155;9.169.573;61.826;1;1.021.752
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;dez/20;12.302.548;488.246;1.779.127;5.301.311;4.717.839;16.026;0;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;dez/20;11.839.867;0;478.911;827.071;10.507.767;26.118;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;dez/20;10.832.651;681.674;2.748.432;5.720.607;1.681.936;0;2;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;dez/20;10.710.979;159.153;876.849;4.460.001;4.536.502;678.474;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;dez/20;9.991.366;311.249;0;959.590;8.720.528;0;0;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;dez/20;9.055.753;337.332;1.756.550;2.857.294;3.832.053;173.918;37;98.569
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;dez/20;8.352.265;16.815;233.668;2.300.831;3.538.727;0;0;2.262.224
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;dez/20;7.292.092;1.029;33.569;2.001.932;3.519.991;0;0;1.735.571
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;dez/20;6.904.418;612.716;437.358;659.222;4.825.287;0;0;369.835
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;dez/20;6.417.899;262.736;490.988;1.531.042;3.556.305;576.828;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;dez/20;6.245.899;450.876;556.576;2.084.114;2.755.295;399.037;1;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;dez/20;5.778.923;296.066;861.913;2.059.734;2.454.934;106.275;1;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;dez/20;5.720.115;1.055.647;2.080.600;2.342.842;53.377;187.649;0;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;dez/20;5.562.107;1.990.513;200.490;712.963;910.417;1.018;472;1.746.233
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;dez/20;5.286.289;680.345;1.216.596;2.771.951;496.455;120.942;0;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;dez/20;5.284.904;168.551;14.314;861.699;4.152.801;3.969;1;83.571
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;dez/20;4.572.904;44.623;202.244;1.483.134;2.465.156;334.396;0;43.351
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;dez/20;4.464.542;258.145;1.083.940;2.647.177;473.711;1.569;0;0
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;dez/20;4.255.795;0;0;548.377;3.439.462;267.957;0;0
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;dez/20;4.030.398;0;0;250.993;3.528.772;250.634;0;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;dez/20;3.798.210;389.480;139.221;1.110.334;1.843.164;266.712;3;49.297
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;dez/20;3.745.446;1.744.582;48.629;1.309.500;642.735;0;1;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;dez/20;3.643.464;1.054.147;1.754.637;532.518;263.972;38.108;82;0
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;dez/20;3.525.414;2.121;10.361;890.281;2.622.652;0;0;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;dez/20;3.388.992;38.287;64.349;933.099;1.464.033;799.355;1;89.868
BANCO MUFG BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;dez/20;3.089.688;0;133.031;965.208;1.991.449;0;0;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;dez/20;2.874.459;36.001;574.380;242.904;2.021.171;0;2;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;dez/20;2.824.722;285.539;987.256;1.353.599;198.326;0;2;0
MÁXIMA;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;dez/20;2.516.280;111.682;50.154;191.035;18.827;2.144.582;0;0
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;dez/20;2.512.244;40.136;21.341;317.189;2.056.654;76.924;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;dez/20;2.415.392;51.055;0;708.965;1.462.392;0;0;192.981
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;dez/20;2.299.208;145.424;562;59.655;2.093.568;0;0;0
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;dez/20;2.259.920;1.035.512;129.452;636.356;458.572;0;27;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;dez/20;2.176.601;60.257;358.342;1.149.199;587.023;21.781;0;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;I;3;S3;8;SAO PAULO;SP;dez/20;2.173.291;21.811;112.797;1.215.154;587.526;236.002;0;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;S4;8;SAO PAULO;SP;dez/20;2.146.834;0;0;127.975;2.018.859;0;0;0
BANCO JOHN DEERE S.A.;91884981;b1;I;3;S3;8;INDAIATUBA;SP;dez/20;2.075.069;17.486;217.627;1.083.532;756.424;0;0;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;dez/20;2.006.783;476.143;333.478;776.652;226.455;194.054;1;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;dez/20;1.975.854;230.175;515.137;985.227;245.316;0;0;0
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;dez/20;1.932.662;144.389;517.799;958.890;286.554;25.030;1;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;dez/20;1.810.506;112.678;366.747;567.232;426.699;337.149;1;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;dez/20;1.804.950;86.884;239.642;1.082.848;358.751;36.824;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;dez/20;1.795.481;550.376;962.444;270.582;4.249;7.825;5;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;dez/20;1.795.028;260.314;609.279;666.324;168.630;90.481;0;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;dez/20;1.759.550;216.957;445.631;630.459;466.500;2;2;0
