Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;dez/20;461.000.695;150.063;10.059.224;30.063.098;39.263.548;10.205.291;1.638.929;144.606;91.524.759;22.675;1.445.330;3.921.755;6.219.689;1.543.089;30.002;0;13.182.540;547.646;5.227.452;18.182;10.515;0;0;0;5.803.795;65.825;15.330.622;6.051.834;766.686;134.638;2.338;0;22.351.943;11.169;7.099.366;6.284.164;4.051.272;7.977.553;244.569;0;25.668.093;1.053.218;5.153.015;7.045.879;5.723.011;1.356.239;402.075;23.793;20.757.230;227.002;1.160.378;3.075.817;5.317.061;1.077.916;1.814.004;267.170;12.939.347;0;1.356.208;3.608.141;556.811;232.548;204.241;0;5.957.949;174.150;410.583;847.785;765.604;97.478;22.017;0;2.317.617;260.497.420
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;dez/20;292.183.364;671.176;10.842.722;29.055.434;38.383.983;10.420.519;2.359.705;600.063;92.333.602;74.253;2.730.399;6.364.557;8.430.203;1.927.249;188.473;18;19.715.154;227.538;3.407.694;328.207;0;0;0;0;3.963.439;105.178;18.025.692;3.790.589;30.139;1.691;0;0;21.953.290;82.122;6.058.412;17.011.769;10.388.657;3.522.892;4.770.445;0;41.834.297;466.784;3.583.233;2.942.961;1.197.472;287.763;27.706;0;8.505.918;75.276;1.639.250;4.474.892;8.012.602;3.105.866;5.240.183;153.751;22.701.820;4.692;412.788;2.280.045;285.586;136.298;103.027;0;3.222.436;94.000;266.408;574.652;1.923.391;436.136;34.154;2.358;3.331.099;74.622.309
BB;49906;b1;C;1;S1;199;BRASILIA;DF;dez/20;274.812.796;443.879;8.493.644;23.562.549;34.841.824;6.768.573;1.093.795;285.834;75.490.098;97.832;1.417.469;6.506.739;12.778.284;10.766.882;28.158.699;555.660;60.281.565;110.954;1.013.176;372.985;15.320;0;0;8.253;1.520.688;208.682;4.576.383;2.135.579;335.863;30;0;35;7.256.572;426.802;9.016.513;10.380.362;8.024.603;6.374.143;17.270;0;34.239.693;947.422;3.861.837;3.242.211;6.094.851;2.109.620;4.185.721;701.159;21.142.822;67.245;1.629.436;6.495.321;10.640.138;4.465.211;13.387.050;4.537.970;41.222.372;36.044;443.984;1.892.596;1.647.999;879.492;1.262.990;387;6.163.494;782.083;129.266;307.400;416.529;4.450;0;0;1.639.727;25.855.764
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;dez/20;274.594.859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113.914;7.613.965;19.680.159;49.455.297;41.095.974;124.081.453;31.617.413;273.658.175;99;57.561;73.317;203.029;114.011;488.666;0;936.684;0;0;0;0;0;0;0;0;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;dez/20;183.319.257;299.211;6.162.929;15.257.315;21.471.605;5.687.640;1.069.565;274.080;50.222.346;69.131;1.184.734;2.901.408;4.557.786;1.131.576;2.502.395;710.969;13.057.998;223.009;2.388.651;797.396;241.856;74.166;89.016;9.060;3.823.154;60.997;21.020.055;9.257.693;521.365;41.018;19.344;7.711;30.928.183;14.760;5.502.072;4.729.637;1.958.201;2.783.019;23.269;0;15.010.957;682.350;2.305.345;2.431.268;3.483.585;3.413.911;458.713;36.566;12.811.740;15.577;629.757;1.661.283;3.065.851;621.904;276.517;351;6.271.241;2.828;819.693;3.988.349;362.778;86.097;76.231;459;5.336.435;31.476;148.884;289.414;339.208;5.497;26.943;0;841.422;45.015.782
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;dez/20;174.199.491;1.235.282;3.056.463;14.696.685;33.110.836;6.706.618;1.221.416;3.162;60.030.462;15.778;38.962;112.895;250.402;133.340;66.129;44;617.549;210.253;152.424;699.519;926;0;0;0;1.063.121;7.842;76.186;8.180;0;0;0;0;92.208;318.628;756.789;1.080.855;306.934;36.788;0;0;2.499.995;558.042;664.384;1.570.847;860.463;336.933;159.919;679;4.151.267;241.423;6.207.784;9.924.850;19.715.341;15.367.719;38.123.161;6.293.830;95.874.108;17.939;606.792;1.885.227;26.951;4.930;2.760;0;2.544.599;85.867;1.069.120;2.749.974;3.214.979;122.543;83.683;15;7.326.182;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;dez/20;64.804.194;44.943;3.424.362;10.701.150;14.965.544;3.854.239;390.096;0;33.380.334;8.333;614.309;1.246.933;1.214.478;235.533;16.807;0;3.336.394;25.053;490.160;46.780;1.765;0;0;0;563.757;3.280;4.149.477;1.208.904;141.144;954;0;0;5.503.760;820;2.054.762;2.506.400;1.286.137;1.305.159;651.217;0;7.804.495;44.707;315.485;1.039.088;407.415;36.440;0;0;1.843.135;331;146.029;448.585;972.676;287.659;280.416;0;2.135.696;0;162.797;433.085;312.645;123.240;146.700;0;1.178.467;0;8.583;58.826;83.871;87;0;0;151.367;8.906.789
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;dez/20;48.321.916;132.711;1.322.586;4.425.791;5.692.454;772.225;961.434;0;13.307.202;0;0;17.011;2.964;0;0;0;19.975;296;194;0;0;0;0;0;490;132;5.890.612;3.598.669;411.016;433;151;0;9.901.013;72.015;581.711;2.025.622;1.295.100;190.344;0;0;4.164.791;230.340;61.767;215.261;230.695;21.042;3.550;0;762.654;2.661;38.057;149.552;688.080;494.074;1.272.584;1.304.829;3.949.838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.215.953
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;dez/20;24.335.775;23.906;1.037.221;3.989.560;6.410.266;1.224.047;3.112;54;12.688.167;2.319;228.222;504.474;624.647;171.619;818;21.221;1.553.320;13.019;623.867;774.370;5.231;0;0;0;1.416.487;8.206;5.455.802;975.221;52.068;4.827;0;0;6.496.124;3.418;676.633;645.536;153.502;241;0;0;1.479.330;23.327;11.797;8.456;8.947;1.600;0;0;54.126;222;23.165;53.835;68.719;14.468;3.275;0;163.684;0;27.637;217.131;26.854;0;0;0;271.623;0;0;0;0;0;0;0;0;212.913
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;dez/20;22.944.081;88.768;995.781;2.754.340;1.896.135;429.564;6.705;0;6.171.293;0;5.978;17.069;27.343;2.926;0;0;53.316;0;110.384;54.417;0;0;0;0;164.800;399;6.463.758;1.913.533;5.841;342;90;0;8.383.963;1;1.645.521;2.571.519;1.350.517;1.286.944;0;0;6.854.503;67.949;327.933;26.919;0;0;0;0;422.801;0;238;36;0;0;0;0;275;0;99.214;777.912;16.004;0;0;0;893.130;0;0;0;0;0;0;0;0;0
