Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;41334;12744480;228896959;98968479;473507322;-18827707;454679615;254193;1660264;1020564;-54760;2880261;142423619;87338746;32070855;1060003014;1020564;1058982450
ITAU;10069;b1;;C;2;SAO PAULO;SP;41334;13613986;192881284;173975369;315714836;-24824710;290890126;1617343;33963959;20825754;-1291820;55115234;133172307;68788621;57266429;985703356;20825754;964877602
BRADESCO;10045;b1;;C;2;OSASCO;SP;41334;11228879;171134601;153305512;268469887;-19815509;248654378;163808;15209646;8235612;-681511;22927555;74911356;57100033;42597463;781859778;8235612;773624165
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41334;7070275;69246912;139953008;382626695;-20429328;362197367;0;0;0;0;0;43987535;100509081;8119556;731083735;0;731083735
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41334;4880;1280371;71473310;250777431;-1602725;249174706;0;0;0;0;0;20394859;250642694;85204409;678175230;0;678175230
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41334;5170356;47249712;75034562;187040188;-14684005;172356184;122136;11236031;6244207;-204611;17397763;88569057;35634525;24156654;465568813;6244207;459324606
HSBC;51152;b1;;C;3;CURITIBA;PR;41334;3171636;22142639;21442280;50660697;-3397577;47263119;17040;2243197;1231343;-45393;3446188;30461540;10833687;4348722;143109811;1231343;141878467
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41334;500998;26798541;34970586;41832316;-1723926;40108390;39602;2174314;1821208;-42923;3992201;16319458;1549458;2168817;126408449;1821208;124587242
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41334;1639249;16171306;36827482;53933382;-3822266;50111116;34959;3748966;2214168;-119649;5878445;11220932;1949525;335447;124133501;2214168;121919333
