Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
ITAU;10069;b1;;C;2;SAO PAULO;SP;41334;15096886;3284454;4737668;670637;173534;871519;24834698;-8152075;-629877;-2977220;0;-4940569;-16699741;8134958;2828495;1601035;-2568097;-3614860;-880158;896708;4222113;-5320336;-2835098;5299859;141762;5441621;-810090;-1602532;3028999;-1729581
BB;49906;b1;;C;1;BRASILIA;DF;41334;15445225;201346;5329689;-388607;392324;986314;21966292;-10933085;-945813;-161432;0;-2725537;-14765867;7200425;2770872;1501088;-4159615;-3408660;-839288;395511;2333730;-1991787;-3398149;3802276;12918;3815194;-863401;-332131;2619662;-753777
BRADESCO;10045;b1;;C;2;OSASCO;SP;41334;12285215;2107273;5748844;100064;138414;662938;21042749;-7973690;-587478;-1901000;0;-3459018;-13921186;7121563;1878553;1356748;-2553543;-3446004;-808264;1053576;1521261;-2425091;-3422763;3698800;-48711;3650089;-726647;0;2923442;-1027702
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41334;9966522;0;3582967;416215;0;1249203;15214907;-6691657;-1917262;0;-7719;-2080451;-10697089;4517818;3149331;602274;-3727703;-1872391;-482078;59683;2139287;-2979898;-3111496;1406322;-50842;1355480;144564;-189934;1310110;-309397
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41334;9349390;1009929;2986478;1020335;0;486477;14852610;-5255871;-208562;-1258756;-202357;-3678960;-10604507;4248103;1898052;711195;-1486789;-2973402;-782322;37628;2111617;-3134259;-3618281;629822;500617;1130439;-250949;-239329;640161;-300008
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41334;8023768;0;1681176;205374;0;0;9910318;-382937;-6547925;0;-2363;-72989;-7006214;2904104;26543;0;-257266;-81613;-109921;709489;161788;-1034494;-585474;2318630;-8513;2310117;-712967;-11912;1585237;0
HSBC;51152;b1;;C;3;CURITIBA;PR;41334;2524919;332452;661933;123072;0;121130;3763505;-1171905;-128550;-285095;-74448;-722990;-2382988;1380518;240838;378557;-672124;-956080;-151202;112803;393301;-313347;-967254;413264;-4947;408317;-55092;-94016;259209;-76000
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41334;1928816;451420;1061115;167688;10928;13658;3633625;-1706678;-151908;-449622;0;-1004400;-3312608;321016;109037;129442;-227866;-356700;-93159;24380;369330;-678444;-723979;-402963;-18010;-420973;204554;-61727;-278145;0
