Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;41699;1283354458;631479547;1211688410;1016912318;71666048;2777336;5479;1554
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;41699;1031628206;404476952;942447415;708094716;89180791;3791048;3986;891
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;41699;910315627;519793060;883628756;777108088;26686870;1510275;3322;754
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;41699;784373109;328166768;710912300;589269025;73460809;3446274;4706;1263
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;41699;779249352;293070763;739608617;487631410;39640735;1555179;4;0
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;41699;506189909;223828431;438209647;315397230;67980263;797117;2771;1236
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;41699;166346466;62929541;156372678;101582386;9973789;-31124;866;407
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;41699;131733368;54642241;123900973;105671756;7832394;363114;106;8
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;41699;126897572;16835823;113890234;75347711;13007339;935652;13;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;41699;108009777;55560213;100670742;65878454;7339035;152256;124;0
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;41699;58556436;15897992;51591429;28133026;6965007;20523;134;19
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;41699;57504454;27252234;52343304;44316863;5161150;77945;516;214
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;41699;34952721;11801159;31918835;16451908;3033885;146528;260;5
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;41699;34852057;1242144;31224820;14731449;3627237;56453;8;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;41699;34733071;2463007;33093015;6998408;1640056;17310;3;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;41699;31620549;4398634;28302894;17042019;3317656;1106;10;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;41699;26834099;22468280;24552495;18655671;2281603;70909;1;0
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;41699;24418269;17259510;20990142;9458130;3428127;36509;24;0
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;41699;24079841;11582209;23252799;22783783;827041;16880;5;0
PAN;1000080257;b1;;C;2;SAO PAULO;SP;41699;22386242;15817785;20145227;16738859;2241015;-78637;4;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;41699;20877572;8830473;18169880;10529882;2707692;-13638;12;1
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;41699;20804348;7840042;20196506;18586588;607843;26928;4;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;41699;18401053;10101907;16414703;13493599;1986350;72138;7;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;I;2;SAO PAULO;SP;41699;16396725;9254100;13930668;12447669;2466057;66587;37;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;I;3;SAO PAULO;SP;41699;15603280;9100936;14388188;10818045;1215091;40100;17;0
CCB - PRUDENCIAL;1000080295;b1;;C;2;SAO PAULO;SP;41699;15479879;10672619;13608074;11260736;1871805;3602;37;0
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;41699;14559675;4366183;13570651;12862580;989024;30623;134;28
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;41699;13676608;8868805;12818955;10216408;857653;-36687;192;4
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;41699;13463876;7538495;11391925;10711930;2071951;23557;53;1
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;41699;12884407;10481099;11401118;4223003;1483289;18543;1;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;41699;12439761;2818852;11400292;4251024;1039470;24618;5;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;41699;12184506;0;10347042;4213869;1837464;40783;2;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;I;1;PORTO ALEGRE;RS;41699;12073162;10336732;10346950;9891013;1726212;52845;3;0
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;41699;11925483;8232279;10732105;8771288;1193378;44236;113;7
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;41699;11482240;2635840;9854054;4012570;1628186;9313;123;4
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;41699;11065134;6525530;9794332;8279781;1270803;35007;12;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;41699;10908419;201134;9576201;1756723;1332219;3228;2;0
BARCLAYS - PRUDENCIAL;1000080817;b1;;C;3;SAO PAULO;SP;41699;10726439;437;10120591;2507347;605848;29203;1;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;41699;10708140;10246949;9381052;8553878;1327089;37180;2;0
