Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;42795;20090248;440993;14196622;1896824;129657;1923389;38677733;-19017474;-1376155;-307873;0;-4825331;-25526833;13150900;5958350;2742718;-4449045;-5478400;-1651413;357937;14792763;-13862651;-1589742;11561158;26532;11587690;-3049813;-3047781;5490096;-5047693
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;42795;20732658;73539;15389660;-546474;277673;1254997;37182052;-24864244;-1666445;-42535;0;-6768978;-33342201;3839851;3277349;2211862;-4837882;-3943878;-1141688;881736;6947430;-3632377;-237448;3602402;-4472;3597930;-815105;-299195;2483630;-710301
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;42795;23408795;0;11696414;-2100856;0;3330945;36335298;-19812674;-4520778;0;-82583;-5172957;-29588992;6746306;4692148;1326602;-5882142;-2473398;-921829;218339;1763545;-3622530;-4899265;1847041;-57644;1789397;-281354;-21046;1486997;-372063
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;42795;19328164;525547;12033714;2011162;41994;1360023;35300604;-17788530;-869942;-451163;0;-8281278;-27390913;7909691;3411275;2365732;-4138658;-5288296;-1230037;696434;6745621;-4606750;-2044677;5865014;-134219;5730795;-1659751;0;4071044;-1844885
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;42795;11542109;500769;6270247;2052020;1153653;1703334;23222131;-11525100;-575693;-397512;0;-2928457;-15426762;7795369;2556185;996711;-1847107;-2766145;-975398;84473;5877349;-7633972;-3707904;4087465;-62125;4025340;-1803240;-320435;1901665;0
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;42795;13605071;0;5335672;-687802;0;1;18252942;-419999;-11856395;0;-301130;-3389246;-15966770;2286172;38161;0;-423930;-113795;-199944;111228;2194916;-3131038;-1524404;761768;597355;1359124;-986574;0;372550;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;42795;1861033;228622;2976941;100412;2039;75124;5244171;-3546807;-173186;-179229;0;-277563;-4176784;1067387;192413;73006;-549064;-305853;-91846;92209;466685;-277986;-400437;666950;-22805;644145;-156966;0;487179;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;42795;2744499;22825;1162619;-173038;12652;7959;3777516;-2340212;-102702;-22182;0;-477318;-2942414;835102;131030;181445;-257331;-273076;-88591;-27109;429986;-633879;-537525;297577;-16411;281165;-149443;-45886;85837;0
