Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43525;20145368;234575;10405745;570808;995581;1235145;33587223;-13850535;-2049190;-96370;0;-4128121;-20124216;13463007;6408872;3119049;-4825452;-5498058;-1574723;666932;7879497;-6732882;-556765;12906241;6841;12913083;-2251755;-3897616;6763712;0
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43525;19871150;30916;9742616;469165;172425;519306;30805578;-15280485;-2462247;-18213;0;-4966003;-22726948;8078629;3389233;2635059;-5028159;-4090915;-1033086;1136341;3105874;-3451916;-3337568;4741061;147259;4888321;-373271;-515542;3999507;0
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43525;19216363;322697;7132866;-665079;774727;1138681;27920256;-10271371;-2189750;-270847;0;-6288971;-19020938;8899318;3578228;2758209;-4312622;-5346900;-1175448;2565124;3321870;-4064306;-2675845;6223473;-108101;6115372;-288540;-3476;5823356;0
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43525;18740637;0;6908976;-339094;26011;1584956;26921486;-10029818;-4511947;0;0;-2827353;-17369119;9552367;4918895;1619524;-5680775;-2449316;-931596;490821;1671636;-5047211;-5408023;4144344;-52075;4092269;128712;-598111;3622870;0
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43525;11025327;0;11948504;-340667;0;0;22633164;-394813;-9106715;0;-22516;-290690;-9814734;12818430;58563;0;-480935;-130129;-346950;1051659;284060;-307106;129161;12947591;3338775;16286365;-5208581;0;11077784;0
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43525;12726307;403901;5494827;-1063195;2423312;988360;20973513;-7696586;-2274587;-332009;0;-2991035;-13294217;7679296;3148925;1212336;-1803953;-2891535;-982989;108389;4268347;-5586802;-2527282;5152014;13050;5165065;-1250571;-452127;3462367;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43525;2108850;182052;1710925;-210835;50494;118378;3959864;-2256866;-252819;-157493;0;48196;-2618982;1340882;232459;122957;-546203;-483432;-94235;173101;505118;-704423;-794656;546226;-4411;541815;2234;0;544049;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43525;365957;0;1616909;417582;1145260;19110;3564820;-1375936;-1033491;0;0;-34581;-2444009;1120811;533195;3014;-151823;-285238;-41715;230261;865762;-1415604;-262148;858663;41729;900392;-78860;-146560;674972;0
