Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;44256;142043570;183285499;4743339;495723610;83595;941828;826821441;265328706;5381366;12064314;40727180;66792508;15385880;140351248;85571267;1318072663;73200972;364970885;1756244519;3292722;152372949;1911910190
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;44256;96774373;219055228;28530839;287689382;355231;16065587;648470640;582308511;12551657;72565221;36474;34539459;2691;119695501;72754520;1423229172;3024880;260760463;1687014516;200447;127903192;1815118154
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;44256;46327726;368492421;247117;160146264;0;12504832;587718359;210165598;31667260;42121;1580808;2957611;566438;36814239;346194809;1180893005;2048754;178324447;1361266206;9540625;65233655;1436040486
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;44256;48935359;134181158;2456107;355779138;321985;1037708;542711455;269230148;26469693;14438936;87270704;12127873;11165772;151472978;52055356;1015469937;20973665;195802927;1232246529;166738;144253560;1376666827
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;44256;39095788;63673888;5406246;274006832;164096;694652;383041501;165605189;25143950;14128834;14214161;12546835;4692666;70726446;83804099;703177235;34078077;172229295;909484607;353613;82568253;992406473
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;44256;0;0;129520;0;0;6738832;6868352;35268287;0;0;1010399;9131097;1416826;11558321;176831381;230526341;1355865;391468639;623350844;0;113886175;737237020
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44256;5732220;0;822836;57712182;0;0;64267238;54099207;2153953;4029601;23820820;18301646;465731;48771751;7096501;174234698;6721602;64342146;245298446;225392;30419766;275943603
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;44256;1894003;3928842;491837;68629244;293978;34;75237939;40831359;788228;9501638;32330871;2453623;4973003;50047363;16653747;182770409;9983480;21318061;214071950;69527;13950428;228091906
