Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
BRADESCO - PRUDENCIAL;1000080075;b1;C;2;OSASCO;SP;44256;Sim;Sim;Não;1477062166;22631367;;S1
ITAU - PRUDENCIAL;1000080099;b1;C;2;SAO PAULO;SP;44256;Sim;Sim;Não;1918095300;137705236;;S1
SANTANDER - PRUDENCIAL;1000080185;b1;C;3;SAO PAULO;SP;44256;Sim;Sim;Não;1025933091;39592787;;S1
BB - PRUDENCIAL;1000080329;b1;C;1;BRASILIA;DF;44256;Sim;Sim;Não;1843160918;38207816;;S1
BTG PACTUAL - PRUDENCIAL;1000080336;b1;C;2;RIO DE JANEIRO;RJ;44256;Sim;Sim;Não;342829641;12526647;;S1
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;C;1;BRASILIA;DF;44256;Sim;Sim;Não;1539005409;NI;;S1
SAFRA - PRUDENCIAL;1000080109;b1;C;2;SAO PAULO;SP;44256;Sim;Sim;Não;246685450;5451842;;S2
BANRISUL - PRUDENCIAL;1000080154;b1;C;1;PORTO ALEGRE;RS;44256;Sim;Sim;Não;97346521;118702;;S2
CITIBANK - PRUDENCIAL;1000080192;b1;C;3;SAO PAULO;SP;44256;Sim;Sim;Não;103908971;NI;;S2
VOTORANTIM - PRUDENCIAL;1000080484;b1;C;2;SAO PAULO;SP;44256;Sim;Sim;Não;147458574;1423634;;S2
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;I;1;FORTALEZA;CE;44256;Sim;Sim;Não;105789928;NI;;S2
BNDES - PRUDENCIAL;1000081847;b4;C;1;RIO DE JANEIRO;RJ;44256;Sim;Sim;Não;840362332;NI;;S2
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;I;2;CURITIBA;PR;44256;Sim;Sim;Não;6618408;NI;;S3
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;I;2;PORTO ALEGRE;RS;44256;Sim;Sim;Não;8061009;NI;;S3
