Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;41791;11500115;297420099;120790144;609557725;-23711084;585846642;271383;1742231;913940;-53521;2874033;165665993;98577105;24200614;1306874744;913940;1305960804
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;41791;20442104;161250547;186241651;358525132;-22819233;335705899;1244214;17087691;10610414;-502186;28440133;170103738;89665679;45530721;1037380474;10610414;1026770060
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;41791;11486230;85277606;166121553;544184727;-25104994;519079733;0;0;0;0;0;54426315;116732554;10251386;963375376;0;963375376
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;41791;225105;2511901;164749113;300647285;-2153618;298493667;0;0;0;0;0;41186272;291043796;16154100;814363953;0;814363953
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;41791;11281058;137653680;160389785;297144971;-20159855;276985116;77648;9355497;4604873;-386665;13651353;86194537;59308201;38091516;783555247;4604873;778950374
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;41791;5001766;32671584;110383773;194988969;-14042081;180946888;60967;7287260;3909529;-107714;11150042;102883150;47209937;19581624;509828764;3909529;505919235
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;41791;2656558;17396985;32988835;55701049;-3426204;52274846;12452;1209715;459286;-48699;1632754;37996549;14073499;3570286;162590312;459286;162131026
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;41791;669296;40593026;28763221;45608790;-1429628;44179162;38477;1343697;881359;-12605;2250927;12876663;2340587;2262968;133935850;881359;133054491
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;41791;1113149;33109635;40442670;14969349;-1223208;13746141;0;0;0;0;0;20289946;393870;7544711;116640123;0;116640123
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;41791;118732;6560103;30479119;51848122;-3705352;48142771;22535;1609564;1041314;-55369;2618044;10357781;957516;404633;99638698;1041314;98597384
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;41791;1082743;311436;17841988;27015313;-1526856;25488457;478;137083;65266;-6402;196426;4150101;7974231;291193;57336576;65266;57271310
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;41791;465548;6448033;15613628;11699590;-787802;10911788;226;173706;11759;-4854;180837;15567538;3466308;825865;53479544;11759;53467786
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;41791;127539;9612609;12508467;11258783;-804700;10454082;0;0;0;0;0;2836373;640798;227308;36407176;0;36407176
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;41791;280488;9855024;11467726;856373;-26345;830027;0;0;0;0;0;7616316;89409;166548;30305539;0;30305539
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;41791;679186;10501614;8845165;4600621;-340827;4259795;0;0;0;0;0;3959074;63503;1179367;29487704;0;29487704
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;41791;228793;3146539;3531603;1571007;-6206;1564801;0;0;0;0;0;18907675;135809;35562;27550782;0;27550782
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;41791;32360;10213529;4246420;10743829;-16342;10727487;0;0;0;0;0;283757;728405;89421;26321379;0;26321379
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;41791;10643;1658892;101075;21740566;-844382;20896184;2394;557760;358554;-16901;901807;2469303;216877;38997;26293777;358554;25935224
PAN;1000080257;b1;;C;2;SAO PAULO;SP;41791;53016;961346;1416568;14752679;-907814;13844866;2438;267819;189468;-12602;447123;4985691;586301;668764;22963674;189468;22774206
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;41791;37667;576754;2336393;14621892;-799395;13822497;86;4388;2613;-175;6912;2868346;840517;1542544;22031628;2613;22029016
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;41791;3214;5892925;6295100;7306916;-37497;7269419;0;0;0;0;0;838153;1354727;66570;21720109;0;21720109
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;41791;8769;2469280;3132850;5755139;-301012;5454128;0;212757;0;0;212757;7988754;501898;90117;19858553;0;19858553
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;41791;54253;2200279;3935040;9367240;-167077;9200163;0;0;0;0;0;2752040;71613;22823;18236212;0;18236212
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;I;2;SAO PAULO;SP;41791;189860;1996811;1391534;9077589;-434418;8643171;0;0;0;0;0;3130847;579548;215374;16147146;0;16147146
CCB - PRUDENCIAL;1000080295;b1;;C;2;SAO PAULO;SP;41791;303136;1064053;1855075;8888318;-641677;8246640;3447;432449;119407;-20107;535195;2536901;621018;196647;15358666;119407;15239259
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;41791;288610;3828156;4894121;3873951;-233805;3640146;561;138060;74480;-8398;204704;910332;913993;204154;14884216;74480;14809735
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;I;3;SAO PAULO;SP;41791;274517;2242814;1811896;7524202;-158892;7365309;0;0;0;0;0;2967470;9385;34240;14705632;0;14705632
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;41791;17567;302997;18413;10916655;-207138;10709517;6268;263409;214630;-2273;482034;1948886;217267;5823;13702504;214630;13487874
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;41791;8289;240318;4683666;7082224;-120981;6961242;12304;365870;74757;-3476;449454;773817;104464;266521;13487773;74757;13413016
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;41791;201308;2734144;596938;8472793;-702507;7770286;25;978;1116;-51;2068;1020754;744415;251572;13321485;1116;13320369
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;41791;181664;726777;1018352;8533103;-377895;8155208;0;0;0;0;0;1560171;650519;113259;12405952;0;12405952
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;I;1;PORTO ALEGRE;RS;41791;416;433393;1173473;10513716;-274312;10239405;0;0;0;0;0;456068;55965;23330;12382049;0;12382049
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;41791;48349;1615563;5815402;2691922;-77917;2614005;0;0;0;0;0;1122473;397753;233488;11847033;0;11847033
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;41791;29213;7218601;2414718;49534;0;49534;0;0;0;0;0;1651332;805;18817;11383020;0;11383020
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;41791;108871;40231;0;9139289;-264848;8874441;1001;76452;41892;-5177;114167;1883053;24315;4753;11049831;41892;11007939
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;41791;92894;1145732;2274903;5749069;-144083;5604986;0;0;0;0;0;1422162;128873;31366;10700917;0;10700917
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;41791;2350;85446;2209215;2045112;-179322;1865790;1063;640243;80556;-3172;718689;5125671;61608;49838;10118607;80556;10038051
BARCLAYS - PRUDENCIAL;1000080817;b1;;C;3;SAO PAULO;SP;41791;15722;1755038;897300;0;0;0;0;0;0;0;0;5650664;4192;38484;8361400;0;8361400
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;41791;4192;1338605;3614507;328668;-201;328467;0;0;0;0;0;2540473;188463;34295;8049003;0;8049003
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;I;2;SAO PAULO;SP;41791;85057;329409;1575271;4273654;-416537;3857117;0;0;0;0;0;1638175;66380;120631;7672040;0;7672040
HAITONG - PRUDENCIAL;1000080666;b2;;C;3;SAO PAULO;SP;41791;83622;459845;4676309;1384977;-3901;1381076;0;0;0;0;0;769766;10422;33487;7414528;0;7414528
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;41791;8527;1869462;1785680;671921;-12543;659378;0;0;0;0;0;2604785;69126;56495;7053454;0;7053454
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;41791;4;1376839;5101992;240373;-27;240346;0;0;0;0;0;166049;111;103079;6988420;0;6988420
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;;I;3;RIO DE JANEIRO;RJ;41791;23668;2972501;0;1040219;-33841;1006378;7445;2425433;3735;-45210;2391403;163431;67444;136897;6761722;3735;6757987
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;41791;33286;965979;3666;5041795;-224898;4816897;766;93337;33887;-5386;122603;760362;29033;31702;6763528;33887;6729642
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;;I;2;RIO DE JANEIRO;RJ;41791;286;1147489;4731889;0;0;0;0;0;0;0;0;285459;8;75;6165204;0;6165204
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;41791;63765;1059778;1153313;620596;-533;620062;0;0;0;0;0;3032165;3955;20138;5953176;0;5953176
BANCO FIDIS - PRUDENCIAL;1000081751;b2;;I;3;BETIM;MG;41791;13616;461627;100345;5135526;-138063;4997463;135;5601;2073;-789;7020;265929;15429;6964;5868394;2073;5866321
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;;I;3;PORTO ALEGRE;RS;41791;236;438092;0;4842394;-223649;4618745;2188;519811;271175;-18823;774352;248499;13688;10006;6103617;271175;5832442
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;41791;66635;11602;588852;4703907;-187337;4516570;0;0;0;0;0;322525;11287;104963;5622432;0;5622432
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;;I;1;ARACAJU;SE;41791;74678;788922;561219;1665938;-82548;1583390;0;0;0;0;0;417901;1823589;102337;5352037;0;5352037
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;;C;3;SAO PAULO;SP;41791;2475;918990;3810920;133583;-668;132915;0;0;0;0;0;362705;323;65541;5293868;0;5293868
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;;I;1;BELEM;PA;41791;128250;1095510;750136;2867271;-151866;2715405;0;0;0;0;0;201168;301706;90663;5282838;0;5282838
APE POUPEX - PRUDENCIAL;1000081184;n1;;I;2;BRASILIA;DF;41791;154;1773566;804032;1049064;-67504;981560;0;0;0;0;0;55798;1611991;34765;5261866;0;5261866
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;41791;1547;1013904;226675;3226986;-86578;3140407;0;0;0;0;0;81291;104260;640471;5208554;0;5208554
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;41791;8509;141823;1568722;2375965;-99036;2276929;0;0;0;0;0;862584;154579;113215;5126362;0;5126362
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;41791;844;126099;951897;3468627;-197598;3271028;0;729;860;0;1588;340971;20984;22928;4736339;860;4735479
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;41791;23140;1212594;589215;351116;-106;351009;0;0;0;0;0;2397951;2902;2854;4579664;0;4579664
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;41791;6122;622754;230516;3333621;-64151;3269471;1113;186584;85143;-3014;269827;220314;17922;25684;4662609;85143;4577466
