Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42522;63964567;22223710;86188277;38885380;125073657;702885694;23615602;1549;1890718;0;25507869;31708475;760102037;1197242600;0,0842;0,1134;0,1645;0,072;0,1559
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42522;111464039;685032;112149072;23686301;135835372;694011103;1231214;510066;15655797;312405;17709483;43447870;755168456;1305978506;0,1476;0,1485;0,1799;0,0859;0,2436
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42522;70260148;0;70260148;35130074;105390222;566301497;51514905;0;8158245;0;59673150;29806020;655780667;939086033;0,1071;0,1071;0,1607;0,0748;0,1166
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42522;79376906;0;79376906;23170917;102547823;529475417;3337266;257125;11195993;22902;14813287;38501528;582790232;976103457;0,1362;0,1362;0,176;0,0813;0,3381
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42522;49394585;0;49394585;22681614;72076198;508456278;6133040;2018876;3069118;0;11221034;44156342;563833655;1299649750;0,0876;0,0876;0,1278;0,038;0,1539
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42522;53241414;4064715;57306129;4214786;61520915;308197356;6037549;0;16898522;216942;23153013;16779267;348129635;625451609;0,1529;0,1646;0,1767;0,0916;0,1746
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42522;17801456;4225260;22026716;3425628;25452344;104373564;2317051;40869195;26692122;5443959;75322327;2167323;181863214;239807445;0,0979;0,1211;0,14;0,0919;0,3767
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42522;8509158;0;8509158;5693284;14202442;86806434;54792;0;4364527;0;4419319;12154379;103380131;162757424;0,0823;0,0823;0,1374;0,0523;0,1401
