Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
BRADESCO - PRUDENCIAL;1000080075;b1;C;2;OSASCO;SP;43252;Sim;Sim;Não;1109253593;31697889;42736;S1
ITAU - PRUDENCIAL;1000080099;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;1390407289;124748201;42736;S1
SANTANDER - PRUDENCIAL;1000080185;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;686816246;26111195;42736;S1
BB - PRUDENCIAL;1000080329;b1;C;1;BRASILIA;DF;43252;Sim;Sim;Não;1157385491;47889124;42736;S1
BTG PACTUAL - PRUDENCIAL;1000080336;b1;C;2;RIO DE JANEIRO;RJ;43252;Sim;Sim;Não;174114020;12717071;42736;S1
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;C;1;BRASILIA;DF;43252;Sim;Sim;Não;1318082720;NI;42736;S1
SAFRA - PRUDENCIAL;1000080109;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;186253654;6217953;42736;S2
BANRISUL - PRUDENCIAL;1000080154;b1;C;1;PORTO ALEGRE;RS;43252;Sim;Sim;Não;78095784;122688;42736;S2
CITIBANK - PRUDENCIAL;1000080192;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;75777032;NI;42736;S2
VOTORANTIM - PRUDENCIAL;1000080484;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;115408140;1501093;42736;S2
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;I;1;FORTALEZA;CE;43252;Sim;Sim;Não;82752497;NI;42736;S2
BNDES - PRUDENCIAL;1000081847;b4;C;1;RIO DE JANEIRO;RJ;43252;Sim;Sim;Não;941147165;NI;42736;S2
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;I;2;CURITIBA;PR;43252;Sim;Sim;Não;6861766;NI;42736;S3
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;I;2;PORTO ALEGRE;RS;43252;Sim;Sim;Não;12600144;NI;42736;S3
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;33568553;NI;42736;S3
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;C;2;BELO HORIZONTE;MG;43252;Sim;Sim;Não;9214096;14835;42736;S3
BANESTES - PRUDENCIAL;1000080147;b1;C;1;VITORIA;ES;43252;Sim;Sim;Não;20447505;NI;42736;S3
BMG - PRUDENCIAL;1000080178;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;15209241;63311;42736;S3
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;15740533;NI;42736;S3
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;43099487;5923289;43101;S3
PAN - PRUDENCIAL;1000080257;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;25334255;NI;42736;S3
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;10677851;NI;42736;S3
BRB - PRUDENCIAL;1000080288;b1;C;1;BRASILIA;DF;43252;Sim;Sim;Não;16436863;NI;42736;S3
