Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43617;66753335;174480318;32373575;222702687;9218675;505528590;503729013;15168629;83656743;5649233;23695474;76194;128246274;80638472;1218142349;1120332;230737801;1450000481;227836;91658605;1541886922
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43617;73795152;137572631;1814435;258366658;603344;472152220;316941901;10596423;20758861;44458826;46512606;3009470;125336186;69990275;984420583;35644203;313060439;1333125225;2496635;138215263;1473837123
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43617;28118152;301589563;242952;185982254;9954403;525887324;182946383;53933472;0;2044102;1984266;797305;58759145;308855160;1076448012;1204362;188744220;1266396593;0;47840707;1314237300
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43617;31064280;108497430;351374;193118348;594722;333626155;208430356;24870668;12333106;131795820;3773575;5788060;178561229;55160556;775778297;25060663;188392751;989231711;349275;133712899;1123293885
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43617;20259311;46574515;3362774;197491350;367441;268055390;102515848;28269715;14268509;33605786;6382499;5620673;88147182;60992893;519711313;22755152;217095250;759561715;279781;73121165;832962661
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43617;0;0;0;0;9021500;9021500;19697925;0;0;2429896;8702220;0;11132117;285777919;325629460;755994;373341513;699726966;0;99618328;799345295
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43617;1042243;2166788;685721;24993426;59030;28947209;35567475;718161;8633262;28127353;2120791;21350792;60950358;13982407;139447450;1341301;18905965;159694716;60431;12442585;172197732
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43617;500828;0;404697;25307720;0;26213244;42515507;1833269;1874110;7851953;4646064;202898;16408294;3796351;88933396;7974971;53865529;150773897;155052;20380247;171309195
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43617;136335;0;2014130;10558295;0;12708760;17348668;332730;1728979;25403720;773330;2270491;30509251;3324448;63891127;2590000;17370984;83852111;65989;9744045;93662145
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43617;265851;0;78369;4955657;0;5299876;8609728;0;0;0;0;359592;359592;13836252;28105447;14229197;43377561;85712206;1642;5016510;90730359
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43617;0;0;0;0;3799;3799;0;0;0;0;0;0;0;9060348;9064148;228348;64173359;73465854;0;12788308;86254162
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43617;2720140;9366609;171848;38936183;7241;51202021;4281861;929397;0;2369829;0;0;3299226;2306754;61089862;0;10731896;71821759;185179;7522244;79529182
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43617;4549553;0;31482;12552675;195045;17328755;6732503;0;40808;22759;0;384557;448123;14128872;38638254;8281079;22680778;69600111;46544;9164581;78811236
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43617;427855;2491531;1266860;6202511;1979895;12368653;1570198;0;139492;2072;0;0;141564;2629460;16709874;0;38241755;54951629;0;4727782;59679411
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43617;50758;5610670;28965746;546898;0;35174072;3970278;0;234736;0;0;0;234736;2866169;42245254;86;7336917;49582257;216;1870279;51452752
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43617;97453;14048071;4642035;13053;0;18800612;12381147;0;820280;1516;0;0;821796;9960332;41963887;224;3236333;45200444;0;1242926;46443369
