Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;41153;NA;NA;73021482;32894064;101822640;638537797;0;34621;1759625;6404;1800649;31798663;672137109;NA;NA%;NA%;0,1515;NA%;0,2742
ITAU;10069;b1;;C;2;SAO PAULO;SP;41153;NA;NA;77428494;33789622;110911619;576846162;0;1089345;22246886;2034155;25370386;34610632;636827180;NA;NA%;NA%;0,1742;NA%;0,4554
BRADESCO;10045;b1;;C;2;OSASCO;SP;41153;NA;NA;63952689;26992416;90837025;502015033;0;114381;46009336;1211074;47334791;23120659;572470483;NA;NA%;NA%;0,1587;NA%;0,4502
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41153;NA;NA;47424769;45059024;92227823;472198000;8509329;0;15149310;0;23658638;8982085;504838723;NA;NA%;NA%;0,1827;NA%;0,3607
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41153;NA;NA;25101991;25101991;49135626;368420823;0;0;2595230;0;2595230;18201163;389217216;NA;NA%;NA%;0,1262;NA%;0,1393
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41153;NA;NA;65189096;5290624;70342267;282037308;0;12300;20140526;514945;20667772;16092998;318798077;NA;NA%;NA%;0,2206;NA%;0,3337
HSBC;51152;b1;;C;3;CURITIBA;PR;41153;NA;NA;9412541;2946112;12358653;79064648;0;0;5520619;41089;5561708;9173642;93799998;NA;NA%;NA%;0,1318;NA%;0,3354
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41153;NA;NA;8449277;4553007;13002285;80621716;0;93527;2840745;129582;3063855;2686768;86372339;NA;NA%;NA%;0,1505;NA%;0,0282
