Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;42979;61309270;154516749;19648913;195013652;6647959;437136543;423555023;18479825;94472979;3770849;17584968;128642;134437264;101042498;1096171327;1719627;216768619;1314659573;415661;82575294;1397650527
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;42979;58218268;112492139;2130947;188910746;462018;362214119;339394386;19178570;16022685;28184932;38815629;4440469;106642285;63916503;872167292;21562404;261170002;1154899698;1974452;136893627;1293767778
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;42979;28144128;267000613;648582;204739737;10412912;510945971;157043787;89327134;188968;35671081;13102806;718784;139008774;263420488;1070419021;1157248;169087809;1240664077;0;30309042;1270973120
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;42979;30093117;98223969;1560807;130697012;502969;261077874;267341606;28543823;7472020;109139048;2895301;311975;148362166;52069530;728851176;14558350;164803176;908212703;378698;110318664;1018910065
BNDES - PRUDENCIAL;1000081847;b4;S2;I;1;RIO DE JANEIRO;RJ;42979;0;0;0;0;11837041;11837041;5186791;0;3009326;0;19135436;0;22144763;437116895;476285490;1024227;331691522;809001239;0;59574886;868576125
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;42979;15722379;38570220;2382070;147682739;274435;204631843;141531496;26800423;8401546;37555984;2700005;2684842;78142799;42807443;467113581;18839414;125133983;611086977;505519;64862799;676455296
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;42979;464236;1634569;275110;12044084;144;14418143;55552301;978490;6501518;17260556;362782;12677401;37780746;12168535;119919726;2677338;15329895;137926958;43376;9988787;147959122
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;42979;329482;0;227304;8344447;0;8901234;27745409;895896;558321;4282054;1558922;61683;7356877;4001308;48004827;15269477;31135987;94410291;101144;18560681;113072116
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;42979;63715;0;2184739;7696437;0;9944891;26288583;617116;2061266;21259967;892073;9296;24839718;4467901;65541093;2659708;22212058;90412859;38713;8544132;98995704
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;42979;3962473;896011;5701;14407414;118583;19390181;9519665;544576;0;1931926;0;653611;3130114;11245513;43285472;2298693;20633762;66217926;31681;8736645;74986252
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;42979;2449749;8067877;170512;34691167;7938;45387242;4749766;848360;0;1243531;0;0;2091890;3107088;55335987;461260;8817514;64614760;31060;6730901;71376722
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;42979;324261;2103102;1578620;6622125;769459;11397567;1042091;0;184340;0;983436;0;1167776;2678569;16286003;0;32294369;48580372;0;3487187;52067559
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;42979;47013;3656428;28209149;348160;0;32260750;2304867;0;369707;0;0;0;369707;2820905;37756229;0;5124475;42880704;27;1488906;44369637
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S2;C;3;SAO PAULO;SP;42979;128343;0;0;1733984;0;1862327;16821604;0;0;141258;0;18681;159939;5900534;24744403;3098698;12214574;40057675;17719;3876633;43952028
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;42979;420846;0;225738;4828629;124362;5599574;911567;0;0;3063800;0;689567;3753367;5488785;15753293;1260575;18377765;35391633;20039;3398544;38810216
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;42979;85959;8874152;6615407;49010;0;15624528;11730622;0;385752;4477;0;0;390229;7624481;35369860;102;1779404;37149366;0;1278702;38428068
