Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43344;1468808203;630336556;1376062162;1151646708;92746041;3171819;131940068;0,187;0,1446;4776;1217
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43344;1422242684;530524320;1283160423;959421001;139082261;5775067;137251889;0,1689;0,2606;3388;916
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43344;1282596075;693788482;1238295708;1067057705;44300367;4377522;105433100;0,1983;0,0928;3380;795
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43344;1062626611;398701268;946884494;766803343;115742117;5012025;110141197;0,1678;0,3797;4711;1438
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43344;791479867;317935125;710876192;362419414;80603675;1603001;167296091;0,2909;0,0782;5;0
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43344;768891359;298490164;700632357;514079011;68259003;3133850;67093537;0,1526;0,1187;2698;1292
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43344;177055084;68168534;166289926;143346797;10765158;451280;14456661;0,1316;0,3312;115;5
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43344;161675268;18363275;142531272;101514031;19143996;588520;14878153;0,1776;0,2918;15;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43344;96497207;49726075;87206343;64583953;9290864;253524;9730179;0,1639;0,2163;92;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43344;82188480;12551883;73472921;37337494;8715559;223061;8486098;0,1578;0,015;134;22
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43344;80312039;0;67187422;6400179;13124617;798823;NA;NA%;NA%;0;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43344;75896672;31742612;68645010;58044244;7251662;290222;6190425;0,1591;0,0541;541;146
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43344;58788537;10446832;54913369;17444322;3875169;194924;6599690;0,1537;0,0225;309;2
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43344;55500343;17510355;52105123;20757876;3395221;29748;4007047;0,1281;0,0167;7;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43344;51803851;6685838;50051975;43133462;1751876;59502;1743200;0,1851;0,0967;7;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43344;49178053;2019520;44393490;22280403;4784562;-48886;4710044;0,1756;0,0213;11;1
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43344;47375761;9647564;46098478;43557399;1277283;15575;1436871;0,1989;0,0897;7;0
