Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;44075;20947711;217457;7368619;-1175591;395450;442300;28195947;-10639695;-3700657;-71995;0;-6672041;-21084388;7111558;6866246;3045634;-4996592;-5963724;-1351458;1352012;7097994;-7820121;-1770009;5341549;64520;5406070;714619;-1741599;4379090;0
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;44075;20387273;22460;5399095;529743;0;304027;26642599;-8421691;-5097318;-15703;-355530;-6718750;-20608993;6033606;3722746;2550678;-5491675;-3016524;-1038465;1542080;2247991;-3141484;-2624654;3408952;-834;3408118;123940;-398415;3133643;0
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;44075;18025973;387715;6741044;-962310;720424;381735;25294580;-5654353;-3333750;-375840;0;-5381013;-14744956;10549624;3664684;2744430;-4366040;-5326754;-1339475;2379990;2048717;-6126816;-6321263;4228361;-42367;4185994;9682;0;4195676;0
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;44075;15867324;0;1919743;675010;76015;973877;19511969;-4712444;-4916376;0;0;-3670397;-13299216;6212753;4666224;1556996;-5534369;-2635346;-862891;981271;1648582;-5534641;-5714175;498579;69332;567910;1602316;-397147;1773080;0
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;44075;8880116;0;9717002;824414;0;0;19421533;-237859;-7208118;0;-28722;73680;-7401019;12020514;134182;0;-540456;-81916;-569955;1304563;250418;-283617;213219;12233733;-6562;12227171;-3500678;-29;8726464;0
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;44075;13727003;369700;3106841;-79894;525798;276355;17925804;-4669883;-3633554;-314000;0;-2935489;-11552926;6372878;3140114;1344303;-1763195;-3084176;-890370;393859;6443631;-7558638;-1974472;4398407;35815;4434221;-168415;-441114;3824693;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44075;1430599;0;2372427;1349365;0;14067;5166458;-1576023;-1712415;0;-247213;-13073;-3548723;1617735;946699;26144;-217622;-422666;-129939;125404;1152658;-1287926;192751;1810486;-117607;1692879;-256249;-434661;1001969;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;44075;2212933;20129;382291;459917;136295;5519;3217084;-1721617;-338782;-18226;0;-792516;-2871141;345943;143907;209890;-346891;-407807;-104862;68398;767585;-726778;-396559;-50616;24661;-25955;353998;-66576;261467;0
