Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
BRADESCO - PRUDENCIAL;1000080075;b1;I;2;OSASCO;SP;44440;Sim;Sim;Não;1557582773;25053017;;S1
ITAU - PRUDENCIAL;1000080099;b1;I;2;SAO PAULO;SP;44440;Sim;Sim;Não;1969517470;139873290;;S1
SANTANDER - PRUDENCIAL;1000080185;b1;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;972995818;44910481;;S1
BB - PRUDENCIAL;1000080329;b1;I;1;BRASILIA;DF;44440;Sim;Sim;Não;1993635894;38084758;;S1
BTG PACTUAL - PRUDENCIAL;1000080336;b1;I;2;RIO DE JANEIRO;RJ;44440;Sim;Sim;Não;445589123;16423639;;S1
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;I;1;BRASILIA;DF;44440;Sim;Sim;Não;1588140275;NI;;S1
SAFRA - PRUDENCIAL;1000080109;b1;I;2;SAO PAULO;SP;44440;Sim;Sim;Não;257903681;5420595;;S2
BANRISUL - PRUDENCIAL;1000080154;b1;I;1;PORTO ALEGRE;RS;44440;Sim;Sim;Não;103715277;128329;;S2
CITIBANK - PRUDENCIAL;1000080192;b1;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;123158219;NI;;S2
VOTORANTIM - PRUDENCIAL;1000080484;b1;I;2;SAO PAULO;SP;44440;Sim;Sim;Não;146710595;1497112;;S2
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;I;1;FORTALEZA;CE;44440;Sim;Sim;Não;105571961;NI;;S2
BNDES - PRUDENCIAL;1000081847;b4;I;1;RIO DE JANEIRO;RJ;44440;Sim;Sim;Não;807278048;NI;;S2
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;I;2;FLORIANOPOLIS;SC;44440;Sim;Sim;Não;9447472;NI;;S3
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;I;2;CURITIBA;PR;44440;Sim;Sim;Não;7836638;NI;;S3
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;I;2;PORTO ALEGRE;RS;44440;Sim;Sim;Não;9877695;NI;;S3
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;81393664;NI;;S3
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;I;2;BELO HORIZONTE;MG;44440;Sim;Sim;Não;12202515;0;;S3
BANESTES - PRUDENCIAL;1000080147;b1;I;1;VITORIA;ES;44440;Sim;Sim;Não;26976115;NI;;S3
BMG - PRUDENCIAL;1000080178;b1;I;2;SAO PAULO;SP;44440;Sim;Sim;Não;32241150;241693;;S3
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;27334217;NI;;S3
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;55534600;1199151;;S3
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;8622309;NI;;S3
BRB - PRUDENCIAL;1000080288;b1;I;1;BRASILIA;DF;44440;Sim;Sim;Não;30233750;NI;;S3
CCB - PRUDENCIAL;1000080295;b1;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;15818072;756994;;S3
ABC-BRASIL - PRUDENCIAL;1000080312;b1;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;62219667;1934568;;S3
JOHN DEERE - PRUDENCIAL;1000080343;b1;I;3;INDAIATUBA;SP;44440;Sim;Sim;Não;10247203;NI;;S3
PINE - PRUDENCIAL;1000080374;b1;I;2;SAO PAULO;SP;44440;Sim;Sim;Não;15412422;15066;;S3
BS2 - PRUDENCIAL;1000080422;b1;I;2;BELO HORIZONTE;MG;44440;Sim;Sim;Não;13608886;31740;;S3
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;43485685;NI;;S3
ING - PRUDENCIAL;1000080501;b1;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;4360196;NI;;S3
DEUTSCHE - PRUDENCIAL;1000080532;b1;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;11440206;0;;S3
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;41679429;NI;;S3
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;14846787;NI;;S3
ALFA - PRUDENCIAL;1000080570;b1;I;2;SAO PAULO;SP;44440;Sim;Sim;Não;24237571;NI;;S3
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;27721434;1571;;S3
PORTO SEGURO - PRUDENCIAL;1000080642;n1;I;2;SAO PAULO;SP;44440;Não;Sim;Não;12562312;NI;;S3
HAITONG - PRUDENCIAL;1000080666;b2;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;8245975;25428;;S3
BNP PARIBAS - PRUDENCIAL;1000080673;b1;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;60498394;NI;;S3
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;I;3;SAO PAULO;SP;44440;Sim;Sim;Não;21278192;NI;;S3
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;I;2;PORTO ALEGRE;RS;44440;Sim;Sim;Não;97857559;NI;;S3
