Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;I;1;BRASILIA;DF;44440;114063245;225458001;25115407;310521842;403624;8398665;683960784;680796922;12846382;75114586;1396;31652123;3693;119618181;67035895;1551411782;2480286;268366598;1822258666;201079;137010468;1959470213
ITAU - PRUDENCIAL;1000080099;b1;S1;I;2;SAO PAULO;SP;44440;147841181;187582871;3302464;483399709;187817;974696;823288739;281865312;7895957;11582310;29741154;59791859;23605217;132616497;92272499;1330043047;70769855;381606803;1782419705;3182749;150112883;1935715336
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;I;1;BRASILIA;DF;44440;47110352;370016520;106451;160088441;0;12914585;590236349;250182200;24941804;268255;1618964;2829481;0;29658505;353478981;1223556036;1953954;174453407;1399963397;9463375;76539418;1485966190
BRADESCO - PRUDENCIAL;1000080075;b1;S1;I;2;OSASCO;SP;44440;51587313;137134648;4452984;374117147;343639;1315163;568950893;259313649;29210278;16657550;87460996;10606229;13913875;157848929;56461547;1042575018;28352973;230109386;1301037377;153051;147620373;1448810802
SANTANDER - PRUDENCIAL;1000080185;b1;S1;I;3;SAO PAULO;SP;44440;38043012;65225736;4745526;288844755;177690;371840;397408559;129575677;25095457;15051071;25459034;9761961;6523439;81890963;86052834;694928033;31300111;172945380;899173524;449467;83894703;983517695
BNDES - PRUDENCIAL;1000081847;b4;S2;I;1;RIO DE JANEIRO;RJ;44440;0;0;55076;0;0;6063156;6118232;31006961;0;0;1033352;8718865;1205842;10958059;163550502;211633753;46296;393825165;605505213;401;119067616;724573230
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;I;2;RIO DE JANEIRO;RJ;44440;10394267;0;2822334;103067377;0;378761;116662738;76527536;2318298;9877800;33514902;15572215;613856;61897071;8085948;263173293;24614456;39998773;327786523;352289;37869217;366008028
SAFRA - PRUDENCIAL;1000080109;b1;S2;I;2;SAO PAULO;SP;44440;1830610;4306345;606488;64447408;301164;28;71492044;51285172;654268;11205068;33762395;2494408;5642350;53758490;14774881;191310586;9129329;22677024;223116938;55905;15160199;238333042
