Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB;49906;b1;;C;1;BRASILIA;DF;41609;1175217453;601103432;1104680241;924558001;70537212;5881780;118234351;0,1454;0,2347;5455;1554
ITAU;10069;b1;;C;2;SAO PAULO;SP;41609;1027324008;412149086;938357806;721811639;88966202;7770988;125143549;0,1645;0,4992;3999;890
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41609;858475356;494237081;831101993;723006685;27373363;3582770;71440993;0,1513;0,1285;3289;725
BRADESCO;10045;b1;;C;2;OSASCO;SP;41609;776724294;322615977;705588304;600199112;71135989;6151489;95803662;0,1661;0,4538;4704;1423
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41609;762953109;280645850;717326958;488690099;45626151;4888773;108669482;0,1921;0,4091;4;0
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41609;495443913;227350030;431682956;316679112;63760958;1075564;66187323;0,1919;0,2996;2763;1258
HSBC;51152;b1;;C;3;CURITIBA;PR;41609;159948239;62532550;149939207;99830381;10009031;-43215;12000902;0,1175;0,3517;867;407
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41609;130111584;54275600;122552206;103404217;7559378;760238;9654183;0,1244;0,2031;105;7
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41609;115901631;15977092;103827182;72019325;12074449;1418171;16489160;0,1774;0,368;13;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41609;106975088;54889030;99834405;71615108;7140683;-37925;11217382;0,1451;0,039;124;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;41609;54297355;15582082;47446014;27339385;6851341;198822;6796937;0,1439;0,0997;134;18
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;41609;53114488;26652034;47965850;41111414;5148638;371919;6743859;0,1834;0,0908;512;214
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;41609;33817503;11677582;30777672;16986952;3039830;160329;5524588;0,1624;0,0426;232;5
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;41609;32393809;4421308;29074717;20523391;3319092;289957;4279655;0,153;0,2804;10;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;41609;29953776;1254664;26384486;14147281;3569290;44390;3433627;0,1818;0,0042;8;1
BMG;30290;b1;;C;2;SAO PAULO;SP;41609;28140779;20133230;24742154;9741722;3398625;84606;4047839;0,1345;0,394;23;0
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;41609;27451352;23436223;25240658;19350790;2210694;62745;3080314;0,1279;0,0497;1;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;41609;23812778;11092989;23013531;22536361;799247;24540;923905;0,1492;0,1157;5;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;41609;22207579;2658791;20584834;6506935;1622745;132798;1622745;0,113;0,0232;3;0
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;41609;21725860;14543989;19194335;15781225;2531525;-237961;2572499;0,1344;0,4602;4;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;41609;20932555;8054407;18209220;10983310;2723335;93425;2842254;0,1416;0,0322;12;2
BANCOOB;51750;b1;;C;2;BRASILIA;DF;41609;18119803;7311933;17538964;16849226;580839;18249;599333;0,1233;0,1182;4;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;41609;17267769;9909921;15350247;12246856;1917522;143496;2662649;0,1477;0,0323;7;0
BIC;32119;b1;;C;2;SAO PAULO;SP;41609;15606886;10577899;13648800;11484207;1958086;44710;2824948;0,1915;0,0482;37;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;41609;15323393;8263997;14148539;10001561;1174854;88528;1861816;0,1555;0,0186;17;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;41609;14940278;8867617;12500002;11085160;2440276;107036;2369066;0,1752;0,0894;36;0
BANESTES;30159;b1;;C;1;VITORIA;ES;41609;14007244;4174740;13039560;12407000;967684;59886;964295;0,1505;0,213;135;27
ALFA;51293;b1;;C;2;SAO PAULO;SP;41609;13839988;7879760;11819680;11224306;2020308;64780;1993853;0,1937;0,1115;54;1
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;41609;13510309;8988772;12612403;9716124;897906;-11807;1417110;0,1336;0,1772;197;4
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;41609;12997720;10041381;11673085;4522415;1324635;-2484;1239552;0,1155;0,1322;1;0
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;41609;12639668;2789982;11634840;3901896;1004827;45815;995001;0,1939;0,0422;5;0
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;41609;12282941;247730;10953951;1399425;1328991;73804;1363231;0,2723;0,0278;2;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;41609;11537432;9646787;9863182;9397444;1674250;108268;255911;0,0258;0,0937;3;0
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;41609;11330107;2484911;9705113;3826467;1624993;136301;1624993;0,1379;0,1036;123;4
BRB;31976;b1;;C;1;BRASILIA;DF;41609;11071654;8002381;10005566;8562833;1066087;55930;1235184;0,1269;0,1718;112;7
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;41609;10912845;10357317;9622937;8762363;1289909;8874;1452897;0,1323;0,0031;2;0
PINE;50304;b1;;C;2;SAO PAULO;SP;41609;10558749;6319603;9286341;8008795;1272408;77380;1442360;0,1415;0,0228;13;0
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;41609;10173325;0;8376831;5506478;1796494;120113;1761372;0,1832;0,0113;2;0
BES;51482;b2;;C;3;SAO PAULO;SP;41609;8183029;2129789;7517331;6434212;665698;26815;674295;0,1452;0,0495;6;0
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;41609;6862557;553;6287681;2325206;574876;78399;574876;0,3354;0,0752;1;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;41609;6705972;1301685;5566550;3686181;1139423;25875;1139360;0,4656;0,0484;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;41609;6324443;201689;6017970;11161;306473;0;139966;0,1368;0,0312;0;0
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;41609;6124687;5691811;5038020;4736726;1086667;111348;1084386;0,1823;0,0278;1;0
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;41609;6000082;0;1392853;5;4607228;109573;4627446;0,6355;0;1;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;41609;5933458;5348189;5205725;4787929;727733;38610;725915;0,1541;0,0068;2;0
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;41609;5931265;5543110;5407683;5275478;523583;22481;522928;0,1313;0,0134;2;0
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;41609;5711964;3135524;5331173;5105887;380791;8236;250866;0,2436;0,259;2;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;41609;5269278;1060593;722919;621022;4546360;36248;553162;0,3355;0,0552;53;0
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;41609;4950399;3025201;4276238;3994055;674161;-7948;643105;0,1483;0,1697;14;1
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;41609;4901053;4147555;3187447;2786490;1713606;105978;1213606;0,2453;0,0787;1;0
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;41609;4874342;125746;3875724;1933401;998618;34324;955997;0,2262;0,0491;2;0
