Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;41974;1327429074;688036964;1257154081;1050086203;70274993;5825116;5529;1505
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;41974;1117943423;447449245;1015609277;773443281;102334146;10211968;3938;948
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;41974;1064749458;605023197;1038526693;912739354;26222766;3702318;3393;816
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;41974;877219351;343765236;846481857;582292766;30737494;3122228;4;0
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;41974;862756007;346438936;781234838;662134197;81521170;7874265;4675;1272
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;41974;591553339;245376684;532792404;369185638;58760936;1248197;2743;1164
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;41974;166989011;66174270;157253278;108898253;9735733;-529359;856;455
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;41974;150292533;19341167;135613667;83899701;14678867;1561384;13;0
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;41974;140605802;55461856;131872247;115042984;8733555;830183;110;6
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;41974;99888365;54135046;92334491;61372018;7553875;210010;111;0
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;41974;61173091;16826314;54466354;30550508;6706737;17268;134;19
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;41974;59618019;30486981;53946845;45468743;5671174;463731;529;208
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;41974;39030628;1576012;35272292;20921354;3758337;90992;8;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;41974;38204992;13213985;34837183;18912689;3367809;421338;292;4
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;41974;34209292;6456026;30792248;18901577;3417044;46498;10;0
