Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42705;1403675567;653992388;1326972590;1092255825;76702977;3327172;130453208;0,1848;0,1552;5445;1370
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42705;1276702843;491219735;1146767905;868065689;129934938;9743077;139477673;0,1907;0,2541;3519;985
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42705;1256345823;709288732;1229165879;1071182902;27179943;1710519;77719299;0,1354;0,1445;3413;839
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42705;998124138;392145339;897665061;713600630;100459077;6829675;101126836;0,1533;0,4476;5332;1496
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42705;876136583;358883265;820960538;494172447;55176045;8565585;135619905;0,217;0,0884;4;0
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42705;701600569;256881711;641402475;459515145;60198094;3141508;60544831;0,163;0,1789;2763;1188
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42705;149280946;52289582;139773241;123225042;9507705;867987;12567405;0,1541;0,2831;112;5
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42705;111615906;10585650;93937539;46389949;17678367;1396865;19637415;0,2154;0,3855;11;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;42705;102827281;47267184;94580157;67256239;8247124;52637;9218435;0,1506;0,1652;95;0
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42705;71852763;19750986;63441503;38789483;8411261;596446;8210245;0,1658;0,0476;134;14
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42705;69089078;30337431;62645838;53544926;6443240;270066;6521525;0,1695;0,1259;537;200
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42705;46321128;12993935;42958633;15947092;3362495;506507;6099931;0,1603;0,034;320;2
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42705;42919801;6209913;39142281;27356429;3777520;68110;5069824;0,2013;0,0609;8;0
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42705;40245518;16142839;39040192;37446192;1205326;55062;1354341;0,1765;0,0838;5;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42705;36462615;12673859;33082335;15295426;3380280;90791;3494150;0,1404;0,0196;5;0
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;42705;34327432;11541592;32989750;29618771;1337682;92592;1330301;0,1543;0,0744;4;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;42705;33852414;1463722;29301436;19136913;4550979;183844;4545962;0,1849;0,0251;8;1
PAN;1000080257;b1;;C;2;SAO PAULO;SP;42705;27576114;18917646;24163951;19733323;3412162;-12770;2687548;0,1323;0,1922;4;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;42705;25692611;11664907;22799394;19353007;2893217;211311;3612575;0,1789;0,011;6;0
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;42705;25449856;3752082;24187535;23425880;1262321;76676;1237644;0,1876;0,2164;133;27
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;I;3;SAO PAULO;SP;42705;22250487;15904150;20406967;17228063;1843520;157286;2584940;0,1315;0,0071;17;0
CCB - PRUDENCIAL;1000080295;b1;;C;3;SAO PAULO;SP;42705;21927458;7445765;20530759;17221561;1396699;34970;1460378;0,1604;0,0997;36;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;C;2;SAO PAULO;SP;42705;21909572;13832381;19252134;16118699;2657438;252411;2653669;0,1589;0,0955;39;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;42705;18711885;2496901;17162078;4589276;1549807;76182;1460522;0,1934;0,0094;1;0
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;42705;17746864;1094919;16362191;6462925;1384673;29862;1370650;0,2365;0,0358;2;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;42705;17686497;861383;15644995;8246752;2041502;169227;2040597;0,1814;0,0234;2;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;42705;17300428;15126575;14670555;10383988;2629874;124245;3583825;0,2363;0,0055;1;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;42705;16518229;13476065;14077226;13164111;2441003;40108;2255794;0,148;0,0115;3;0
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;42705;15667162;8486593;13023913;8375388;2643249;20573;1865615;0,2054;0,2415;31;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;42705;14174359;3769165;12214669;4364144;1959689;45698;2789907;0,1608;0,0956;124;3
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;42705;13657771;9962382;12344265;10184566;1313506;171007;1465093;0,1526;0,1437;124;6
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;42705;13593851;1458815;12241552;4819113;1352299;15095;1352202;0,3287;0,038;5;0
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;42705;13133710;6738169;10875381;10173744;2258329;68162;2245898;0,2483;0,1373;41;1
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;42705;11724227;9139524;9946856;4911553;1777371;127390;1587872;0,1636;0,0449;1;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;42705;11148803;236610;10787290;0;361513;0;190500;0,1958;0,0327;0;0
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;42705;11142424;3275223;10364917;6533200;777507;6288;777498;0,2261;0,0031;2;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;42705;10585444;6486436;9691824;7878624;893620;6267;1036634;0,146;0,2262;195;21
