cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;mar/15;969.323.408;4.787.235;21.758.225;45.071.419;61.888.389;17.948.348;4.294.495;182.633;155.930.744;1.640.408;3.385.011;4.850.072;15.308.475;16.262.521;22.999.515;5.470.928;69.916.930;1.166.420;6.044.260;5.765.575;554.913;19.159;0;8.886;13.559.214;805.071;11.783.653;2.374.724;70.437;78.911;561.067;229.914;15.903.777;256.160;7.717.484;10.971.894;3.505.731;3.806.684;3.986.064;0;30.244.017;1.542.763;7.870.143;6.775.618;12.808.510;9.222.129;6.087.754;161.810;44.468.727;2.745.750;24.786.252;63.023.152;135.298.514;88.836.409;182.047.216;40.247.228;536.984.521;185.904;5.330.615;8.747.527;3.419.073;2.297.131;3.852.363;19.013;23.851.625;41.840;4.166.317;4.261.095;6.244.988;1.119.827;465.251;14.112;16.313.430;
1%;1 - Público;mar/15;46,56%;45,87%;31,35%;38,94%;50,81%;57,34%;53,89%;26,55%;43,64%;68,71%;28,07%;20,76%;42,11%;81,62%;94,11%;85,97%;55,98%;35,71%;15,91%;39,12%;51,05%;9,53%;0,00%;1,07%;23,29%;51,09%;19,44%;13,50%;4,77%;7,01%;80,48%;97,64%;19,09%;18,31%;22,66%;21,26%;15,99%;39,05%;55,09%;0,00%;24,01%;28,73%;43,39%;40,46%;55,71%;76,52%;86,63%;57,57%;53,83%;75,07%;65,11%;63,20%;70,16%;81,50%;92,99%;95,54%;78,83%;78,98%;36,29%;29,73%;44,49%;42,23%;74,90%;100,00%;38,08%;38,15%;63,91%;33,87%;26,58%;17,22%;7,08%;8,15%;29,15%;
2;2 - Privado Nacional;mar/15;807.198.523;3.921.065;32.834.337;49.941.765;43.842.508;8.698.174;2.146.609;195.648;141.580.105;503.709;5.111.762;11.750.822;13.416.285;2.463.050;407.831;7.662;33.661.122;1.626.934;24.797.223;5.747.423;61.685;19.980;21.139;697.616;32.971.999;570.169;26.536.647;4.635.122;874.759;435.469;129.112;4.032;33.185.310;526.356;12.760.180;17.505.426;11.963.475;4.500.101;2.135.591;1.880;49.393.009;2.747.556;7.458.882;6.582.005;6.134.731;1.793.077;606.999;29.866;25.353.117;415.516;8.454.799;23.719.025;36.404.285;13.558.368;11.051.900;1.843.180;95.447.073;26.541;7.316.650;15.329.358;3.177.352;2.669.167;1.070.362;0;29.589.430;22.632;1.099.370;4.554.275;13.453.562;5.107.203;4.560.127;156.846;28.954.013;
2%;2 - Privado Nacional;mar/15;38,77%;37,57%;47,31%;43,15%;35,99%;27,79%;26,94%;28,45%;39,62%;21,10%;42,39%;50,29%;36,91%;12,36%;1,67%;0,12%;26,95%;49,81%;65,25%;39,00%;5,67%;9,94%;23,13%;83,66%;56,64%;36,18%;43,77%;26,36%;59,24%;38,70%;18,52%;1,71%;39,83%;37,62%;37,47%;33,92%;54,57%;46,16%;29,51%;11,80%;39,20%;51,16%;41,13%;39,31%;26,68%;14,88%;8,64%;10,63%;30,69%;11,36%;22,21%;23,79%;18,88%;12,44%;5,65%;4,38%;14,01%;11,28%;49,81%;52,10%;41,34%;49,07%;20,81%;0,00%;47,24%;20,64%;16,86%;36,20%;57,25%;78,52%;69,39%;90,54%;51,74%;
3;3 - Privado com Controle Estrangeiro;mar/15;305.571.125;1.728.440;14.811.792;20.736.567;16.071.660;4.652.403;1.528.289;309.473;59.838.624;243.448;3.562.809;6.763.626;7.625.936;1.199.874;1.031.686;884.875;21.312.255;473.193;7.160.493;3.223.459;470.470;161.860;70.238;127.334;11.687.048;200.653;22.305.396;10.575.090;531.479;610.740;6.973;1.534;34.231.867;616.699;13.580.083;23.134.656;6.452.142;1.441.130;1.114.111;14.048;46.352.870;1.080.368;2.807.166;3.388.134;4.047.063;1.037.108;332.337;89.388;12.781.564;496.551;4.824.577;12.973.220;21.130.439;6.611.716;2.671.189;34.307;48.741.999;22.937;2.040.875;5.343.935;1.088.633;473.452;220.782;0;9.190.614;45.201;1.253.540;3.765.082;3.799.924;277.541;1.546.475;2.268;10.690.031;
3%;3 - Privado com Controle Estrangeiro;mar/15;14,68%;16,56%;21,34%;17,91%;13,19%;14,86%;19,18%;45,00%;16,75%;10,20%;29,54%;28,95%;20,98%;6,02%;4,22%;13,91%;17,06%;14,49%;18,84%;21,87%;43,28%;80,53%;76,87%;15,27%;20,07%;12,73%;36,79%;60,14%;35,99%;54,28%;1,00%;0,65%;41,08%;44,07%;39,87%;44,82%;29,43%;14,78%;15,40%;88,20%;36,79%;20,12%;15,48%;20,23%;17,60%;8,61%;4,73%;31,80%;15,47%;13,58%;12,67%;13,01%;10,96%;6,07%;1,36%;0,08%;7,16%;9,74%;13,89%;18,16%;14,17%;8,70%;4,29%;0,00%;14,67%;41,21%;19,23%;29,93%;16,17%;4,27%;23,53%;1,31%;19,10%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/15;1.628.894.605;10.070.090;64.765.015;109.478.365;116.532.934;30.346.150;7.628.098;685.949;339.506.601;2.203.636;9.350.430;18.101.275;29.643.083;18.438.107;23.945.948;6.340.449;108.022.929;3.195.595;36.995.869;13.380.910;1.062.329;181.083;91.267;136.223;55.043.276;1.406.739;53.491.531;11.377.954;1.190.335;1.121.339;694.442;232.506;69.514.846;1.396.018;34.030.301;51.480.266;21.842.667;9.735.118;7.221.798;9.942;125.716.110;5.269.557;17.574.188;16.159.479;22.325.462;11.874.427;6.946.927;264.537;80.414.577;1.521.098;23.526.027;57.107.289;90.598.785;39.932.426;57.826.197;17.992.613;288.504.434;218.863;14.238.167;28.331.758;6.106.352;4.334.186;3.431.543;18.914;56.679.785;109.662;6.428.140;12.574.390;23.481.588;6.504.422;6.571.517;173.226;55.842.945;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/15;78,23%;96,49%;93,32%;94,58%;95,67%;96,96%;95,72%;99,74%;95,01%;92,30%;77,54%;77,47%;81,55%;92,54%;97,98%;99,64%;86,49%;97,83%;97,35%;90,80%;97,72%;90,09%;99,88%;16,34%;94,55%;89,27%;88,23%;64,70%;80,61%;99,66%;99,61%;98,74%;83,43%;99,77%;99,92%;99,74%;99,64%;99,87%;99,81%;62,42%;99,78%;98,12%;96,90%;96,50%;97,11%;98,52%;98,86%;94,12%;97,35%;41,58%;61,80%;57,27%;46,98%;36,63%;29,54%;42,71%;42,35%;92,98%;96,94%;96,30%;79,46%;79,68%;66,72%;99,48%;90,50%;99,99%;98,60%;99,95%;99,93%;100,00%;99,99%;100,00%;99,80%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/15;53.750.768;72.861;1.995.283;1.061.490;788.630;135.728;5.860;0;4.059.852;96.430;1.890.298;3.172.681;3.370.721;459.371;35.151;0;9.024.652;0;0;0;0;0;0;0;0;82.717;3.785.714;5.855.196;266.890;2.548;0;0;9.993.066;3.198;27.446;131.710;78.681;12.796;13.968;5.986;273.786;17.380;260.025;70.124;173.240;9.106;1.120;0;530.995;373.984;2.932.040;7.630.144;13.372.037;4.080.345;702.177;34.307;29.125.035;2.477;40.779;79.039;183.352;95.435;33.379;0;434.463;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/15;2,58%;0,70%;2,87%;0,92%;0,65%;0,43%;0,07%;0,00%;1,14%;4,04%;15,67%;13,58%;9,27%;2,31%;0,14%;0,00%;7,23%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,25%;6,24%;33,30%;18,07%;0,23%;0,00%;0,00%;11,99%;0,23%;0,08%;0,26%;0,36%;0,13%;0,19%;37,58%;0,22%;0,32%;1,43%;0,42%;0,75%;0,08%;0,02%;0,00%;0,64%;10,22%;7,70%;7,65%;6,93%;3,74%;0,36%;0,08%;4,28%;1,05%;0,28%;0,27%;2,39%;1,75%;0,65%;0,00%;0,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
