cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;mar/16;825.524.219;2.450.485;11.074.238;30.293.206;59.577.048;26.701.841;9.641.422;260.106;139.998.347;1.842.088;5.271.486;13.817.701;13.579.063;4.650.646;1.949.116;424.238;41.534.337;613.421;2.612.766;6.387.225;8.420.750;1.060.201;4.170;21.409;19.119.943;2.391.359;12.392.918;32.829.548;75.140.263;59.975.209;163.134.044;71.429.944;417.293.285;3.368.938;24.554.410;4.474.705;215.898;165;0;330.868;32.944.984;2.971.482;14.653.897;44.034.576;33.145.576;22.640.069;25.256.246;132.423;142.834.270;3.097.292;8.556.648;8.207.643;4.688.530;2.480.912;2.431.710;326.114;29.788.849;2.010.204
1%;1 - Público;mar/16;52,44%;64,53%;45,02%;46,50%;50,62%;51,33%;63,51%;99,59%;50,23%;24,79%;25,89%;40,42%;43,01%;54,43%;75,47%;96,89%;39,51%;16,42%;10,98%;11,50%;12,45%;15,03%;8,34%;90,40%;12,11%;92,18%;84,36%;85,67%;85,46%;85,10%;82,06%;74,16%;81,96%;18,17%;21,76%;14,15%;13,19%;0,11%;0,00%;93,47%;19,94%;82,30%;58,63%;64,23%;68,16%;75,20%;84,13%;100,00%;69,32%;31,49%;26,97%;34,90%;23,36%;31,39%;56,71%;72,51%;30,46%;3,69%
2;2 - Privado Nacional;mar/16;534.147.435;960.106;11.106.799;28.625.255;48.593.182;21.831.295;4.664.110;884;115.781.633;4.494.740;12.236.618;15.764.769;12.973.989;2.763.356;568.874;12.500;48.814.845;2.156.503;12.729.410;29.187.237;35.782.045;3.675.053;30.755;10;83.561.013;142.736;1.108.051;2.585.479;6.599.662;6.092.726;23.016.613;18.867.219;58.412.485;11.606.789;64.745.721;21.795.501;586.544;36.479;4.978;386;98.776.397;368.103;7.250.622;18.097.167;8.644.007;3.869.046;3.090.223;0;41.319.169;4.516.315;16.645.594;9.418.558;9.585.368;3.089.077;1.169.632;95.324;44.519.869;42.962.024
2%;2 - Privado Nacional;mar/16;33,93%;25,28%;45,15%;43,94%;41,29%;41,97%;30,72%;0,34%;41,54%;60,48%;60,09%;46,11%;41,09%;32,34%;22,03%;2,85%;46,44%;57,71%;53,48%;52,54%;52,88%;52,09%;61,48%;0,04%;52,93%;5,50%;7,54%;6,75%;7,51%;8,64%;11,58%;19,59%;11,47%;62,62%;57,38%;68,91%;35,84%;23,35%;13,19%;0,11%;59,80%;10,20%;29,01%;26,40%;17,78%;12,85%;10,29%;0,00%;20,05%;45,91%;52,47%;40,05%;47,75%;39,09%;27,28%;21,19%;45,53%;78,97%
3;3 - Privado com Controle Estrangeiro;mar/16;214.580.886;386.763;2.419.294;6.228.758;9.524.214;3.482.271;876.171;194;22.917.665;1.094.921;2.856.665;4.603.573;5.021.260;1.129.705;64.739;1.098;14.771.962;966.956;8.457.908;19.977.006;23.459.692;2.319.556;15.096;2.264;55.198.479;60.098;1.189.618;2.906.794;6.188.054;4.411.164;12.652.572;6.017.707;33.426.007;3.560.484;23.533.643;5.356.799;834.078;119.577;32.760;22.722;33.460.062;270.824;3.087.517;6.426.855;6.837.765;3.596.578;1.673.744;0;21.893.284;2.223.745;6.520.276;5.889.022;5.800.500;2.333.381;686.638;28.334;23.481.896;9.431.531
3%;3 - Privado com Controle Estrangeiro;mar/16;13,63%;10,19%;9,83%;9,56%;8,09%;6,69%;5,77%;0,07%;8,22%;14,73%;14,03%;13,47%;15,90%;13,22%;2,51%;0,25%;14,05%;25,88%;35,54%;35,96%;34,67%;32,88%;30,18%;9,56%;34,96%;2,32%;8,10%;7,59%;7,04%;6,26%;6,36%;6,25%;6,57%;19,21%;20,86%;16,94%;50,97%;76,54%;86,81%;6,42%;20,26%;7,50%;12,35%;9,37%;14,06%;11,95%;5,58%;0,00%;10,63%;22,61%;20,55%;25,04%;28,90%;29,52%;16,01%;6,30%;24,01%;17,34%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/16;1.461.760.798;3.763.463;23.995.145;63.610.892;115.355.877;51.117.521;14.847.122;260.624;272.950.644;4.754.805;15.146.162;27.823.700;26.489.767;7.340.377;2.141.731;425.371;84.121.912;3.325.371;19.324.518;44.802.369;55.183.901;5.819.954;44.130;23.684;128.523.926;2.586.731;14.631.120;38.163.854;87.572.052;70.168.771;198.404.652;96.131.005;507.658.185;16.254.202;104.617.981;28.874.425;1.436.707;152.035;37.717;353.589;151.726.657;3.335.124;18.532.980;56.891.662;41.002.117;26.446.811;27.208.857;132.297;173.549.848;9.141.281;27.891.321;20.922.817;18.894.088;7.549.848;4.041.657;384.853;88.825.866;54.403.760
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/16;92,85%;99,11%;97,54%;97,64%;98,01%;98,27%;97,80%;99,79%;97,94%;63,98%;74,37%;81,39%;83,90%;85,92%;82,93%;97,15%;80,02%;88,99%;81,20%;80,65%;81,56%;82,50%;88,22%;100,00%;81,41%;99,71%;99,60%;99,59%;99,60%;99,56%;99,80%;99,81%;99,71%;87,69%;92,72%;91,30%;87,79%;97,32%;99,95%;99,89%;91,85%;92,38%;74,16%;82,98%;84,32%;87,85%;90,64%;99,90%;84,23%;92,92%;87,92%;88,98%;94,12%;95,53%;94,26%;85,57%;90,83%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/16;36.292.538;770;7.741;20.754;22.307;2.099;0;0;53.672;3.264;33.766;44.846;38.955;4.229;800;0;125.860;290.596;3.629.787;8.671.491;9.841.713;974.862;895;0;23.409.344;0;0;0;0;0;0;0;0;1.008.797;2.822.484;1.024.951;144.591;0;0;0;5.000.822;62.383;1.084.608;950.767;3.135.805;1.621.939;620.048;0;7.475.550;6.511;104.255;45.914;57.240;11.690;1.680;0;227.290;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/16;2,31%;0,02%;0,03%;0,03%;0,02%;0,00%;0,00%;0,00%;0,02%;0,04%;0,17%;0,13%;0,12%;0,05%;0,03%;0,00%;0,12%;7,78%;15,25%;15,61%;14,55%;13,82%;1,79%;0,00%;14,83%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,44%;2,50%;3,24%;8,84%;0,00%;0,00%;0,00%;3,03%;1,73%;4,34%;1,39%;6,45%;5,39%;2,07%;0,00%;3,63%;0,07%;0,33%;0,20%;0,29%;0,15%;0,04%;0,00%;0,23%;0,00%
