cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;Total_Exterior_PF
1;1 - Público;jun/18;896.112.092;2.817.906;11.788.863;31.320.380;58.098.705;31.808.597;16.018.295;417.126;152.269.871;1.273.099;4.589.034;10.595.594;10.915.485;4.244.793;1.932.396;1.077.039;34.627.441;291.256;1.329.105;3.008.085;2.978.865;331.948;355;100.182;8.039.797;1.543.686;13.418.337;35.673.897;82.064.161;66.508.819;188.313.908;86.662.460;474.185.269;2.426.947;26.634.600;5.892.635;406.431;10.310;8.912;453.024;35.832.859;2.388.694;22.287.799;41.343.531;41.830.381;27.355.651;21.842.563;154.473;157.203.092;2.658.263;8.173.320;7.785.297;6.048.771;3.374.151;2.557.238;477.225;31.074.265;2.879.497;
1%;1 - Público;jun/18;50,42%;64,10%;42,09%;43,28%;45,33%;49,47%;60,23%;99,57%;46,96%;22,31%;23,06%;31,23%;35,29%;44,60%;65,16%;97,87%;33,28%;11,08%;6,00%;5,67%;4,18%;3,47%;1,33%;96,89%;5,06%;85,31%;82,83%;84,94%;84,75%;84,37%;81,95%;75,05%;81,62%;14,16%;19,11%;13,22%;15,73%;6,71%;16,23%;99,99%;17,54%;77,69%;64,96%;62,00%;69,10%;74,66%;81,38%;99,73%;68,88%;27,93%;27,14%;31,83%;25,76%;34,40%;47,58%;81,33%;30,07%;3,94%;
2;2 - Privado Nacional;jun/18;642.203.178;1.041.950;12.617.046;31.697.915;54.729.335;25.664.430;7.771.636;1.106;133.523.418;3.617.673;13.530.467;20.104.034;15.949.031;4.037.863;848.491;6.658;58.094.217;1.521.559;12.466.302;29.739.450;40.832.713;5.514.832;12.605;0;90.087.460;223.542;1.545.566;3.385.031;8.564.511;7.810.397;30.583.985;24.301.636;76.414.670;11.618.794;87.312.433;30.417.880;1.189.239;21.088;419;0;130.559.854;428.902;9.642.666;18.670.713;10.942.257;5.096.780;3.372.982;425;48.154.725;4.768.172;15.216.570;9.842.843;10.612.906;3.436.867;1.464.102;80.604;45.422.065;59.946.770;
2%;2 - Privado Nacional;jun/18;36,14%;23,70%;45,04%;43,80%;42,70%;39,91%;29,22%;0,26%;41,18%;63,41%;67,99%;59,26%;51,57%;42,42%;28,61%;0,61%;55,83%;57,88%;56,27%;56,02%;57,32%;57,57%;47,28%;0,00%;56,72%;12,35%;9,54%;8,06%;8,85%;9,91%;13,31%;21,05%;13,15%;67,79%;62,65%;68,22%;46,02%;13,72%;0,76%;0,00%;63,89%;13,95%;28,10%;28,00%;18,07%;13,91%;12,57%;0,27%;21,10%;50,10%;50,54%;40,25%;45,20%;35,04%;27,24%;13,74%;43,96%;81,94%;
3;3 - Privado com Controle Estrangeiro;jun/18;238.824.651;536.018;3.604.102;9.354.979;15.339.055;6.830.064;2.805.827;708;38.470.752;814.607;1.781.476;3.226.936;4.064.499;1.235.483;184.897;16.814;11.324.711;815.984;8.360.251;20.338.347;27.428.373;3.733.047;13.703;3.218;60.692.923;42.302;1.235.883;2.940.073;6.196.864;4.511.743;10.902.232;4.504.493;30.333.590;3.093.597;25.419.583;8.278.655;988.779;122.338;45.589;26;37.948.567;257.221;2.380.317;6.667.111;7.766.081;4.188.453;1.624.630;0;22.883.813;2.091.214;6.720.796;6.827.255;6.816.763;2.996.372;1.353.318;28.950;26.834.669;10.335.628;
3%;3 - Privado com Controle Estrangeiro;jun/18;13,44%;12,19%;12,87%;12,93%;11,97%;10,62%;10,55%;0,17%;11,86%;14,28%;8,95%;9,51%;13,14%;12,98%;6,23%;1,53%;10,88%;31,04%;37,73%;38,31%;38,50%;38,97%;51,39%;3,11%;38,21%;2,34%;7,63%;7,00%;6,40%;5,72%;4,74%;3,90%;5,22%;18,05%;18,24%;18,57%;38,26%;79,58%;83,01%;0,01%;18,57%;8,37%;6,94%;10,00%;12,83%;11,43%;6,05%;0,00%;10,03%;21,97%;22,32%;27,92%;29,03%;30,55%;25,18%;4,93%;25,97%;14,13%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/18;1.644.324.257;4.348.654;27.182.646;70.237.086;124.728.257;62.784.470;25.686.846;418.559;315.386.517;4.636.381;15.216.982;26.119.123;24.277.545;7.660.871;2.273.254;1.094.027;81.278.183;2.341.098;18.451.656;44.180.995;59.799.817;8.282.364;22.556;103.401;133.181.887;1.794.853;16.112.454;41.761.713;96.322.663;78.553.259;229.199.865;115.210.035;578.954.842;14.633.773;123.772.610;38.666.751;2.083.204;147.428;54.822;453.050;179.811.637;2.708.807;27.711.703;52.100.589;51.523.107;32.331.174;24.612.002;154.837;191.142.218;8.087.018;26.075.012;21.168.310;21.573.913;9.084.699;4.870.905;547.221;91.407.078;73.161.895;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/18;92,53%;98,93%;97,05%;97,05%;97,32%;97,64%;96,58%;99,91%;97,26%;81,26%;76,46%;76,99%;78,49%;80,49%;76,65%;99,41%;78,12%;89,06%;83,28%;83,23%;83,94%;86,46%;84,59%;100,00%;83,86%;99,19%;99,46%;99,44%;99,48%;99,65%;99,74%;99,78%;99,66%;85,38%;88,81%;86,72%;80,61%;95,90%;99,82%;100,00%;88,00%;88,10%;80,77%;78,13%;85,11%;88,24%;91,70%;99,96%;83,75%;84,97%;86,60%;86,56%;91,89%;92,63%;90,63%;93,26%;88,46%;100,00%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/18;36.767.075;1.631;37.455;88.482;126.135;49.561;7.687;0;310.950;50.674;69.048;87.163;54.161;7.264;7.434;0;275.744;226.128;3.012.880;7.191.718;9.011.535;935.433;1.365;0;20.379.059;0;0;0;0;0;0;0;0;994.606;4.068.674;1.771.700;293.018;0;0;0;7.127.998;74.763;516.850;1.963.125;3.217.068;1.754.712;536.366;0;8.062.883;16.968;475.827;43.697;53.261;15.954;4.734;0;610.441;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/18;2,07%;0,04%;0,13%;0,12%;0,10%;0,08%;0,03%;0,00%;0,10%;0,89%;0,35%;0,26%;0,18%;0,08%;0,25%;0,00%;0,27%;8,60%;13,60%;13,55%;12,65%;9,76%;5,12%;0,00%;12,83%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,80%;2,92%;3,97%;11,34%;0,00%;0,00%;0,00%;3,49%;2,43%;1,51%;2,94%;5,31%;4,79%;2,00%;0,00%;3,53%;0,18%;1,58%;0,18%;0,23%;0,16%;0,09%;0,00%;0,59%;0,00%;
