cat;Instituição financeira;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
C;C - Conglomerado;jun/20;1.441.275.042;38.710.231;108.147.470;242.233.797;528.737.222;34.779.975;5.970;488.660.378
C%;C - Conglomerado;jun/20;70,55%;57,64%;66,63%;70,62%;56,50%;77,67%;90,64%;99,80%
I;I - Instituição independente;jun/20;601.519.521;28.449.563;54.168.853;100.754.405;407.145.505;10.000.958;616;999.621
I%;I - Instituição independente;jun/20;29,45%;42,36%;33,37%;29,38%;43,50%;22,33%;9,36%;0,20%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/20;1.627.146.696;51.771.863;124.543.194;275.185.931;650.499.249;35.590.089;6.058;489.550.311
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/20;79,65%;77,09%;76,73%;80,23%;69,51%;79,48%;91,98%;99,98%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/20;51.434.093;4.381.386;8.239.985;27.214.905;11.341.062;147.064;3;109.688
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/20;2,52%;6,52%;5,08%;7,93%;1,21%;0,33%;0,04%;0,02%
b3S;b3S - Cooperativa de Crédito Singulares;jun/20;65.280.886;9.698.270;25.571.295;24.483.053;4.011.291;1.516.683;294;0
b3S%;b3S - Cooperativa de Crédito Singulares;jun/20;3,20%;14,44%;15,75%;7,14%;0,43%;3,39%;4,47%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;jun/20;1.226.684;41.124;28.029;1.138.060;19.307;164;0;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;jun/20;0,06%;0,06%;0,02%;0,33%;0,00%;0,00%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;jun/20;287.564.253;292.258;2.374.892;9.666.113;267.747.212;7.483.777;1;0
b4%;b4 - Banco de Desenvolvimento;jun/20;14,08%;0,44%;1,46%;2,82%;28,61%;16,71%;0,02%;0,00%
n1;n1 - Não Bancário de Crédito;jun/20;10.140.358;973.331;1.558.927;5.300.139;2.264.576;43.155;230;0
n1%;n1 - Não Bancário de Crédito;jun/20;0,50%;1,45%;0,96%;1,55%;0,24%;0,10%;3,49%;0,00%
n2;n2 - Não Bancário de Mercado de Capitais;jun/20;1.572;1.563;0;0;10;0;0;0
n2%;n2 - Não Bancário de Mercado de Capitais;jun/20;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n4;n4 - Instituições de Pagamento;jun/20;21;0;0;0;21;0;0;0
n4%;n4 - Instituições de Pagamento;jun/20;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
1;1 - Público;jun/20;737.729.703;16.416.688;44.840.331;93.276.487;534.450.870;10.595.645;608;38.149.074
1%;1 - Público;jun/20;36,11%;24,44%;27,63%;27,20%;57,11%;23,66%;9,23%;7,79%
2;2 - Privado Nacional;jun/20;955.862.186;38.607.638;86.658.846;163.528.823;249.631.478;30.680.166;3.814;386.751.420
2%;2 - Privado Nacional;jun/20;46,79%;57,49%;53,39%;47,68%;26,67%;68,51%;57,92%;78,98%
3;3 - Privado com Controle Estrangeiro;jun/20;349.202.675;12.135.468;30.817.146;86.182.892;151.800.379;3.505.122;2.163;64.759.505
3%;3 - Privado com Controle Estrangeiro;jun/20;17,09%;18,07%;18,99%;25,13%;16,22%;7,83%;32,85%;13,23%
