cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;jun/21;765.370.372;2.502.473;16.626.924;44.479.708;70.433.581;13.429.426;3.444.876;448.153;151.365.140;78.279;2.125.449;7.241.625;13.870.340;10.581.177;26.896.688;524.877;61.318.435;359.728;1.751.673;1.564.306;22.333;0;0;8.684;3.706.725;100.452;5.791.378;2.275.098;247.768;30;0;3;8.414.729;576.915;9.727.492;15.558.062;12.025.201;4.968.523;228.777;96;43.085.065;1.681.998;5.061.657;8.226.534;4.465.805;2.733.570;4.141.920;789.722;27.101.205;1.119.824;15.927.257;36.338.201;76.600.502;63.402.819;180.310.704;42.575.679;416.274.988;41.503;2.499.720;6.988.203;4.087.943;2.187.004;2.958.841;17;18.763.231;3.106.660;967.754;2.456.283;2.240.095;243.607;94.033;6.385;9.114.818
1%;1 - Público;jun/21;34,45%;54,92%;23,32%;25,88%;29,71%;26,12%;25,85%;34,29%;27,48%;12,65%;13,65%;17,79%;20,43%;40,67%;85,26%;33,79%;33,35%;24,56%;7,84%;20,59%;4,70%;0,00%;0,00%;3,72%;10,67%;18,33%;4,75%;5,27%;9,70%;0,01%;0,00%;0,00%;4,91%;49,19%;17,89%;19,29%;29,87%;23,56%;3,21%;1,59%;21,05%;28,56%;21,01%;29,02%;21,24%;35,03%;43,28%;47,17%;27,54%;71,99%;75,63%;72,48%;76,36%;88,18%;95,10%;96,06%;86,92%;45,93%;30,37%;39,77%;58,31%;65,81%;75,88%;3,55%;46,76%;91,58%;58,32%;58,65%;40,14%;40,34%;42,61%;68,55%;58,22%
2;2 - Privado Nacional;jun/21;1.075.431.134;1.591.647;41.618.756;100.464.415;136.465.879;30.498.363;8.580.130;833.599;320.052.790;275.843;7.604.291;19.050.738;28.402.950;8.196.553;1.429.584;39.391;64.999.350;853.102;16.474.096;4.277.396;284.747;1.837.931;632.920;190;24.360.382;333.656;74.753.525;22.477.889;1.551.716;146.124;13.838;2.927.367;102.204.114;173.010;22.051.901;36.200.963;16.449.112;11.340.325;6.839.212;5.950;93.060.473;2.501.764;13.922.018;15.893.679;11.945.049;3.639.752;2.493.680;713.717;51.109.658;314.191;3.616.629;9.727.762;17.317.736;6.449.293;8.921.372;1.654.801;48.001.785;3.366;3.608.015;6.712.327;1.946.208;731.395;659.272;0;13.660.584;220.012;629.344;1.547.600;2.902.422;353.851;100.963;2.929;5.757.121
2%;2 - Privado Nacional;jun/21;48,41%;34,93%;58,37%;58,45%;57,56%;59,33%;64,39%;63,79%;58,10%;44,59%;48,84%;46,80%;41,85%;31,51%;4,53%;2,54%;35,35%;58,24%;73,70%;56,30%;59,96%;96,35%;89,03%;0,08%;70,12%;60,89%;61,28%;52,12%;60,74%;65,97%;18,10%;99,70%;59,61%;14,75%;40,56%;44,88%;40,85%;53,77%;96,10%;98,41%;45,47%;42,47%;57,80%;56,08%;56,81%;46,64%;26,06%;42,63%;51,94%;20,20%;17,17%;19,40%;17,26%;8,97%;4,71%;3,73%;10,02%;3,73%;43,83%;38,20%;27,76%;22,01%;16,91%;0,00%;34,04%;6,49%;37,93%;36,95%;52,00%;58,60%;45,75%;31,45%;36,78%
3;3 - Privado com Controle Estrangeiro;jun/21;380.921.817;462.200;13.052.374;26.940.647;30.173.529;7.478.888;1.299.431;25.131;79.432.200;264.505;5.841.375;14.417.107;25.603.154;7.236.282;3.219.556;988.947;57.570.925;252.018;4.125.780;1.756.456;167.792;69.590;78.010;224.512;6.674.158;113.831;41.441.767;18.377.201;755.336;75.361;62.631;8.831;60.834.957;422.922;22.593.604;28.893.820;11.788.144;4.783.375;49.011;0;68.530.876;1.706.433;5.104.716;4.222.863;4.616.530;1.430.085;2.933.834;170.785;20.185.246;121.423;1.515.981;4.072.859;6.399.346;2.047.422;370.054;91.990;14.619.074;45.489;2.124.404;3.872.496;976.622;404.752;281.365;461;7.705.589;65.751;62.274;184.116;438.745;6.418;25.679;0;782.982
3%;3 - Privado com Controle Estrangeiro;jun/21;17,15%;10,14%;18,31%;15,67%;12,73%;14,55%;9,75%;1,92%;14,42%;42,76%;37,51%;35,41%;37,72%;27,82%;10,21%;63,67%;31,31%;17,20%;18,46%;23,12%;35,33%;3,65%;10,97%;96,20%;19,21%;20,77%;33,97%;42,61%;29,57%;34,02%;81,90%;0,30%;35,48%;36,06%;41,55%;35,82%;29,28%;22,68%;0,69%;0,00%;33,48%;28,97%;21,19%;14,90%;21,95%;18,33%;30,66%;10,20%;20,51%;7,81%;7,20%;8,12%;6,38%;2,85%;0,20%;0,21%;3,05%;50,34%;25,81%;22,04%;13,93%;12,18%;7,22%;96,45%;19,20%;1,94%;3,75%;4,40%;7,86%;1,06%;11,64%;0,00%;5,00%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/21;1.763.727.631;4.158.248;63.520.108;152.059.057;208.850.088;43.450.068;10.407.739;1.164.907;483.610.214;490.947;10.012.577;25.519.187;40.462.750;16.685.481;29.731.811;1.538.010;124.440.764;1.329.677;20.378.671;5.201.139;296.906;1.897.246;701.516;233.196;30.038.352;427.742;109.437.072;37.466.109;2.400.323;192.130;31.315;2.936.071;152.890.763;1.172.846;54.368.319;80.528.020;40.165.790;21.075.556;7.117.000;6.046;204.433.577;5.656.678;22.268.080;25.510.219;17.493.471;6.043.018;8.328.040;1.668.022;86.967.530;489.559;12.123.003;25.906.907;47.809.867;27.310.952;65.306.455;11.870.443;190.817.185;84.249;7.426.275;15.730.392;4.600.828;1.963.845;2.219.152;478;32.025.219;3.392.423;1.625.762;4.157.141;5.558.380;603.827;220.650;9.315;15.567.498
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/21;79,39%;91,26%;89,09%;88,47%;88,10%;84,52%;78,11%;89,14%;87,79%;79,36%;64,30%;62,69%;59,61%;64,14%;94,25%;99,02%;67,67%;90,77%;91,17%;68,45%;62,52%;99,46%;98,68%;99,92%;86,46%;78,06%;89,71%;86,87%;93,95%;86,73%;40,95%;100,00%;89,17%;100,00%;99,99%;99,85%;99,76%;99,92%;100,00%;100,00%;99,88%;96,04%;92,44%;90,01%;83,19%;77,44%;87,03%;99,63%;88,39%;31,47%;57,56%;51,67%;47,66%;37,98%;34,44%;26,78%;39,85%;93,24%;90,21%;89,51%;65,63%;59,10%;56,91%;100,00%;79,80%;100,00%;97,97%;99,26%;99,59%;99,99%;99,99%;100,00%;99,44%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/21;61.971.778;35.383;777.343;1.052.448;930.070;142.187;34.701;0;2.972.133;79.656;3.393.278;9.253.985;16.874.080;5.157.556;53.061;0;34.811.615;0;1.894;5.038;0;0;0;0;6.932;22.603;7.958.565;4.765.187;124.024;25.678;44.506;0;12.940.563;0;4.678;124.826;96.667;16.667;0;0;242.837;6.223;183.691;249.875;265.376;100.930;14.764;0;820.859;57.190;902.651;2.679.518;4.266.541;1.519.943;123.393;91.629;9.640.865;3.137;27.236;85.788;169.878;104.405;45.337;0;435.781;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/21;2,79%;0,78%;1,09%;0,61%;0,39%;0,28%;0,26%;0,00%;0,54%;12,88%;21,79%;22,73%;24,86%;19,83%;0,17%;0,00%;18,93%;0,00%;0,01%;0,07%;0,00%;0,00%;0,00%;0,00%;0,02%;4,13%;6,52%;11,05%;4,85%;11,59%;58,20%;0,00%;7,55%;0,00%;0,01%;0,15%;0,24%;0,08%;0,00%;0,00%;0,12%;0,11%;0,76%;0,88%;1,26%;1,29%;0,15%;0,00%;0,83%;3,68%;4,29%;5,34%;4,25%;2,11%;0,07%;0,21%;2,01%;3,47%;0,33%;0,49%;2,42%;3,14%;1,16%;0,00%;1,09%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
