Categoria;Quantidade de operações ativas
C - Conglomerado;384.793.764
C - Conglomerado;72,29%
I - Instituição independente;147.494.367
I - Instituição independente;27,71%
b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;379.489.192
b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;71,29%
b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;13.240.926
b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;2,49%
b3S - Cooperativa de Crédito Singulares;13.045.358
b3S - Cooperativa de Crédito Singulares;2,45%
b3C - Central e Confederação de Cooperativas de Crédito;532
b3C - Central e Confederação de Cooperativas de Crédito;0,00%
b4 - Banco de Desenvolvimento;105.858
b4 - Banco de Desenvolvimento;0,02%
n1 - Não Bancário de Crédito;59.698.366
n1 - Não Bancário de Crédito;11,22%
n2 - Não Bancário de Mercado de Capitais;154
n2 - Não Bancário de Mercado de Capitais;0,00%
n4 - Instituições de Pagamento;66.707.745
n4 - Instituições de Pagamento;12,53%
1 - Público;87.357.540
1 - Público;16,41%
2 - Privado Nacional;362.504.201
2 - Privado Nacional;68,10%
3 - Privado com Controle Estrangeiro;82.426.390
3 - Privado com Controle Estrangeiro;15,49%
