cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;791.261.500;2.047.135;16.884.084;43.129.439;78.948.250;18.710.817;3.706.639;461.876;163.888.240;81.034;2.875.893;6.811.853;15.649.054;11.380.495;28.501.344;529.863;65.829.536;380.819;1.847.520;1.739.600;29.136;0;0;9.909;4.006.984;136.478;5.956.723;2.187.992;239.899;150;0;11;8.521.252;392.339;10.044.222;16.541.096;12.388.663;2.785.635;578.564;0;42.730.519;1.233.368;5.265.256;11.772.331;4.546.156;2.700.090;4.010.539;803.031;30.330.771;1.045.564;14.969.831;35.842.365;77.354.560;62.262.835;184.744.807;42.649.925;418.869.885;14.908;1.785.164;10.180.693;3.934.658;2.099.695;2.716.227;146;20.731.490;70.473;967.196;2.748.434;2.322.951;3.116.892;84.634;6.124;9.316.704;
1%;1 - Público;34,11%;45,24%;21,26%;25,15%;31,95%;33,13%;25,46%;36,18%;28,51%;14,95%;16,47%;15,66%;20,75%;39,70%;85,60%;32,95%;32,84%;23,28%;7,47%;19,37%;2,81%;0,00%;0,00%;8,82%;10,40%;18,98%;4,54%;4,99%;10,16%;0,07%;0,00%;0,00%;4,69%;39,70%;20,55%;19,49%;27,59%;13,37%;8,09%;0,00%;20,58%;21,54%;21,59%;36,75%;21,42%;32,44%;41,02%;47,63%;29,40%;67,08%;74,34%;72,11%;77,20%;87,91%;95,24%;96,21%;87,13%;22,15%;29,78%;43,94%;53,43%;64,36%;74,21%;24,01%;47,64%;21,83%;56,92%;60,60%;39,12%;91,10%;39,95%;73,60%;57,74%;
2;2 - Privado Nacional;1.144.186.577;1.973.735;45.870.488;104.675.105;139.716.922;30.995.793;9.408.553;791.982;333.432.579;264.928;8.366.343;20.765.272;31.695.568;9.330.938;1.568.814;56.934;72.048.797;958.497;18.766.040;5.163.351;833.051;1.350.549;551.353;238;27.623.079;429.348;84.811.470;23.425.754;1.457.289;131.638;14.991;3.153.859;113.424.350;90.041;21.745.408;39.695.927;19.290.291;13.322.939;6.511.114;5.950;100.661.670;2.861.359;13.670.058;16.212.844;12.111.737;4.129.527;2.603.423;710.985;52.299.932;299.426;3.653.380;9.884.346;16.766.059;6.483.603;8.872.410;1.591.925;47.551.150;6.069;2.450.553;8.486.069;2.297.460;771.121;656.626;0;14.667.898;216.502;665.884;1.587.519;3.187.743;301.136;102.161;2.197;6.063.141;
2%;2 - Privado Nacional;49,32%;43,62%;57,76%;61,05%;56,55%;54,89%;64,63%;62,04%;58,01%;48,88%;47,93%;47,75%;42,03%;32,55%;4,71%;3,54%;35,94%;58,60%;75,91%;57,49%;80,28%;94,77%;87,50%;0,21%;71,67%;59,72%;64,66%;53,42%;61,70%;64,63%;20,38%;99,74%;62,48%;9,11%;44,49%;46,77%;42,96%;63,96%;91,00%;100,00%;48,48%;49,98%;56,05%;50,61%;57,08%;49,62%;26,63%;42,17%;50,70%;19,21%;18,14%;19,89%;16,73%;9,15%;4,57%;3,59%;9,89%;9,02%;40,88%;36,63%;31,20%;23,64%;17,94%;0,00%;33,71%;67,05%;39,19%;35,01%;53,69%;8,80%;48,23%;26,40%;37,57%;
3;3 - Privado com Controle Estrangeiro;384.287.899;503.786;16.666.680;23.662.525;28.419.687;6.764.478;1.442.979;22.733;77.482.867;195.982;6.214.717;15.907.811;28.066.210;7.952.577;3.227.138;1.021.448;62.585.883;296.290;4.108.417;2.078.479;175.445;74.505;78.753;102.237;6.914.125;153.054;40.390.055;18.234.330;664.637;71.882;58.573;8.287;59.580.820;505.979;17.088.976;28.630.187;13.221.430;4.722.384;65.221;0;64.234.178;1.630.052;5.452.820;4.050.980;4.561.570;1.493.350;3.163.022;171.890;20.523.684;213.710;1.514.845;3.979.050;6.085.631;2.081.747;364.028;88.832;14.327.845;46.340;1.759.166;4.501.062;1.132.620;391.476;287.483;462;8.118.610;35.898;66.236;199.110;427.105;3.542;25.030;0;756.921;
3%;3 - Privado com Controle Estrangeiro;16,57%;11,13%;20,99%;13,80%;11,50%;11,98%;9,91%;1,78%;13,48%;36,16%;35,60%;36,58%;37,22%;27,74%;9,69%;63,51%;31,22%;18,11%;16,62%;23,14%;16,91%;5,23%;12,50%;90,97%;17,94%;21,29%;30,79%;41,59%;28,14%;35,29%;79,62%;0,26%;32,82%;51,19%;34,96%;33,74%;29,45%;22,67%;0,91%;0,00%;30,94%;28,47%;22,36%;12,65%;21,50%;17,94%;32,35%;10,20%;19,90%;13,71%;7,52%;8,01%;6,07%;2,94%;0,19%;0,20%;2,98%;68,84%;29,34%;19,43%;15,38%;12,00%;7,85%;75,99%;18,66%;11,12%;3,90%;4,39%;7,19%;0,10%;11,82%;0,00%;4,69%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;1.843.792.916;4.098.231;70.970.721;150.032.554;215.677.864;47.297.056;11.475.206;1.138.546;500.690.178;414.158;11.244.430;26.702.392;44.912.926;18.388.310;31.471.575;1.578.888;134.712.680;1.479.162;22.607.626;6.217.501;877.174;1.421.299;621.135;112.146;33.336.042;601.454;118.249.821;38.637.932;2.237.669;181.641;21.488;3.142.747;163.072.752;988.359;48.870.730;84.739.099;44.811.495;20.814.291;7.154.899;5.950;207.384.822;5.457.504;22.337.028;29.076.171;17.596.372;6.468.928;8.412.823;1.679.227;91.028.054;540.950;11.570.811;25.182.844;46.394.029;27.496.552;66.401.183;11.525.124;189.111.494;61.555;5.495.521;20.606.808;5.082.676;1.967.549;2.084.209;462;35.298.779;322.873;1.659.779;4.512.825;5.907.787;3.421.520;211.812;8.321;16.044.917;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;79,48%;90,58%;89,36%;87,50%;87,29%;83,75%;78,82%;89,19%;87,11%;76,42%;64,41%;61,41%;59,56%;64,15%;94,52%;98,17%;67,20%;90,44%;91,45%;69,23%;84,54%;99,74%;98,58%;99,79%;86,49%;83,67%;90,16%;88,12%;94,74%;89,18%;29,21%;99,39%;89,83%;100,00%;99,98%;99,85%;99,80%;99,92%;100,00%;100,00%;99,88%;95,33%;91,59%;90,76%;82,93%;77,72%;86,05%;99,60%;88,24%;34,71%;57,46%;50,66%;46,30%;38,82%;34,23%;26,00%;39,34%;91,44%;91,67%;88,95%;69,01%;60,31%;56,94%;75,99%;81,11%;100,00%;97,67%;99,51%;99,49%;100,00%;99,99%;100,00%;99,43%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;65.391.985;18.495;808.677;1.032.023;928.183;123.967;35.835;0;2.947.180;78.674;3.803.513;10.384.060;18.867.738;5.715.432;54.543;12.229;38.916.191;0;0;8.425;0;0;0;0;8.425;9.485;7.683.949;4.313.676;112.955;18.420;51.150;19.394;12.209.028;0;7.877;128.112;88.889;16.667;0;0;241.544;6.061;248.035;195.058;269.430;98.640;13.146;0;830.369;52.799;985.610;2.635.586;4.302.746;1.568.753;121.646;88.706;9.755.846;2.988;22.692;76.102;146.272;91.988;43.491;0;383.532;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;2,82%;0,41%;1,02%;0,60%;0,38%;0,22%;0,25%;0,00%;0,51%;14,52%;21,79%;23,88%;25,02%;19,94%;0,16%;0,76%;19,41%;0,00%;0,00%;0,09%;0,00%;0,00%;0,00%;0,00%;0,02%;1,32%;5,86%;9,84%;4,78%;9,04%;69,53%;0,61%;6,73%;0,00%;0,02%;0,15%;0,20%;0,08%;0,00%;0,00%;0,12%;0,11%;1,02%;0,61%;1,27%;1,19%;0,13%;0,00%;0,80%;3,39%;4,89%;5,30%;4,29%;2,21%;0,06%;0,20%;2,03%;4,44%;0,38%;0,33%;1,99%;2,82%;1,19%;0,00%;0,88%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
