cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;Qt_Operações
1%;1 - Público;jun/12;40,42%;65,52%;53,00%;32,56%;39,11%;56,94%;89,50%;6,99%;46,12%;21,39%;28,22%;29,52%;34,55%;54,24%;69,19%;0,08%;33,18%;6,65%;3,07%;3,35%;3,43%;9,69%;9,00%;0,00%;4,05%;91,38%;85,51%;85,95%;87,37%;88,86%;79,82%;41,15%;81,69%;11,72%;18,54%;13,05%;16,96%;0,03%;0,00%;0,00%;16,80%;63,67%;61,91%;57,43%;65,93%;73,00%;80,21%;99,70%;66,38%;21,68%;21,80%;32,72%;24,67%;25,87%;23,80%;11,63%;25,22%;0,00%;30,03%;41,84%;26,21%;32,07%;38,05%;34,92%;92,44%;33,53%;33,85%;19,26%;12,79%;28,33%;67,82%;77,46%;34,27%;33,08%;11,58%;4,02%;28,82%;16,09%;30,95%;1,74%;0,00%;9,90%;41,29%;31,53%;35,79%;58,65%;43,31%;0,06%;0,13%;33,61%;35,26%;23,99%;24,88%;5,55%;49,56%;56,00%;0,00%;27,05%;13,83%;31,04%;47,33%;46,54%;29,47%;44,66%;32,50%;40,34%;61,42%;55,06%;53,32%;62,56%;76,36%;93,47%;97,27%;72,75%;65,14%;38,92%;42,67%;55,18%;76,41%;42,35%;100,00%;46,41%;23,27%;20,13%;10,84%;29,42%;6,89%;2,89%;22,70%;19,32%;42,63%;30,60%;26,80%;66,29%;32,79%;17,69%;15,88%
2%;2 - Privado Nacional;jun/12;41,20%;19,34%;37,08%;53,46%;48,89%;34,64%;6,45%;75,34%;42,75%;36,30%;51,40%;47,85%;41,57%;30,28%;27,07%;19,07%;43,87%;75,02%;67,30%;67,10%;69,32%;65,55%;60,45%;99,89%;68,21%;7,04%;7,63%;7,50%;7,15%;6,90%;13,19%;45,39%;11,89%;61,50%;54,24%;71,54%;37,46%;5,33%;0,18%;91,56%;57,86%;16,15%;26,24%;30,03%;18,38%;14,68%;14,92%;0,29%;21,70%;39,91%;54,17%;43,17%;49,79%;34,92%;33,75%;82,33%;48,03%;40,19%;46,43%;42,63%;53,90%;50,55%;45,87%;51,83%;0,66%;48,87%;44,06%;37,99%;52,19%;49,72%;24,31%;16,83%;0,09%;41,15%;60,48%;72,21%;44,80%;33,04%;11,37%;0,07%;85,74%;65,21%;46,11%;50,70%;35,85%;16,92%;51,73%;94,13%;99,68%;46,70%;29,95%;45,76%;45,54%;70,54%;36,52%;22,98%;0,00%;45,33%;46,23%;38,44%;31,14%;32,55%;42,91%;27,81%;53,54%;34,75%;17,55%;28,89%;30,72%;25,55%;16,79%;5,87%;2,58%;18,76%;24,97%;43,91%;41,75%;36,18%;16,61%;56,85%;0,00%;41,65%;66,78%;33,56%;48,00%;52,63%;85,17%;62,93%;77,30%;55,62%;43,96%;44,57%;49,87%;23,25%;62,38%;69,73%;69,36%
3%;3 - Privado com Controle Estrangeiro;jun/12;18,38%;15,14%;9,92%;13,98%;12,00%;8,43%;4,06%;17,66%;11,13%;42,31%;20,38%;22,63%;23,88%;15,47%;3,73%;80,85%;22,95%;18,32%;29,63%;29,55%;27,25%;24,76%;30,55%;0,11%;27,75%;1,57%;6,86%;6,55%;5,49%;4,24%;6,99%;13,46%;6,42%;26,78%;27,22%;15,41%;45,58%;94,64%;99,82%;8,44%;25,34%;20,18%;11,85%;12,55%;15,69%;12,32%;4,88%;0,01%;11,92%;38,41%;24,03%;24,12%;25,54%;39,22%;42,45%;6,04%;26,75%;59,81%;23,54%;15,54%;19,89%;17,38%;16,07%;13,26%;6,90%;17,60%;22,09%;42,75%;35,03%;21,95%;7,87%;5,71%;65,65%;25,77%;27,94%;23,77%;26,37%;50,87%;57,69%;98,20%;14,26%;24,89%;12,60%;17,77%;28,36%;24,43%;4,95%;5,81%;0,18%;19,69%;34,79%;30,25%;29,59%;23,90%;13,92%;21,02%;100,00%;27,62%;39,94%;30,52%;21,54%;20,91%;27,62%;27,53%;13,96%;24,91%;21,03%;16,05%;15,96%;11,88%;6,85%;0,66%;0,15%;8,49%;9,89%;17,17%;15,58%;8,65%;6,98%;0,81%;0,00%;11,94%;9,95%;46,31%;41,16%;17,95%;7,94%;34,18%;0,00%;25,05%;13,41%;24,83%;23,33%;10,46%;4,83%;12,58%;14,76%
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/12;93,12%;99,47%;98,11%;97,22%;97,78%;98,43%;99,26%;35,91%;97,94%;88,56%;86,00%;88,82%;91,76%;91,68%;88,96%;76,02%;89,45%;95,97%;87,81%;87,86%;89,27%;90,23%;81,70%;99,97%;88,94%;96,85%;99,28%;99,28%;99,36%;99,64%;99,54%;99,55%;99,46%;92,86%;94,91%;95,50%;92,78%;95,70%;99,96%;8,44%;94,76%;76,87%;82,35%;80,76%;82,40%;86,74%;87,53%;99,71%;83,56%;94,93%;88,91%;86,81%;90,72%;92,97%;88,42%;19,23%;88,99%;100,00%;97,62%;97,58%;96,53%;97,35%;96,87%;97,88%;99,34%;97,15%;85,73%;70,54%;75,61%;83,82%;91,34%;96,15%;88,43%;81,69%;99,34%;98,48%;93,35%;96,28%;98,87%;99,93%;10,55%;96,77%;94,58%;91,16%;79,60%;92,99%;99,96%;100,00%;100,00%;89,35%;100,00%;99,93%;99,82%;99,31%;99,97%;100,00%;66,28%;99,82%;97,73%;92,82%;96,16%;97,93%;97,18%;92,63%;49,16%;95,91%;56,41%;63,96%;60,44%;48,99%;36,80%;23,75%;22,69%;41,99%;90,38%;97,15%;96,28%;84,51%;70,80%;82,43%;100,00%;90,68%;99,97%;99,96%;97,62%;99,98%;100,00%;100,00%;100,00%;99,45%;76,71%;87,98%;92,47%;58,92%;97,38%;99,97%;93,59%
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/12;2,69%;0,01%;0,04%;0,05%;0,03%;0,00%;0,00%;0,00%;0,03%;0,01%;0,05%;0,06%;0,04%;0,01%;0,00%;0,00%;0,04%;3,17%;10,26%;10,23%;9,03%;8,42%;8,61%;0,00%;9,32%;0,08%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,54%;1,62%;2,89%;5,63%;0,00%;0,00%;0,00%;2,08%;12,06%;2,39%;2,98%;7,19%;6,62%;1,91%;0,00%;4,26%;0,50%;0,18%;0,47%;1,02%;1,23%;0,19%;0,01%;0,50%;0,00%;0,72%;0,93%;0,98%;0,70%;1,51%;0,34%;0,00%;0,90%;9,91%;25,54%;19,27%;9,34%;3,37%;0,12%;0,00%;12,88%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,70%;4,86%;18,65%;6,78%;0,00%;0,00%;0,00%;7,23%;0,00%;0,07%;0,18%;0,68%;0,00%;0,00%;33,72%;0,18%;0,59%;5,07%;1,75%;0,53%;1,02%;0,12%;0,00%;2,11%;13,03%;7,01%;8,86%;8,30%;4,59%;0,23%;0,11%;5,14%;6,07%;0,35%;0,59%;2,31%;2,66%;0,27%;0,00%;0,95%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,02%;6,73%;4,20%;2,27%;0,48%;0,03%;1,15%
b3S%;b3S - Cooperativa de Crédito Singulares;jun/12;2,94%;0,31%;1,65%;2,47%;2,01%;1,44%;0,70%;64,09%;1,85%;2,81%;7,40%;8,53%;7,83%;8,21%;11,03%;23,98%;7,74%;0,15%;1,04%;1,11%;1,13%;1,03%;5,55%;0,03%;1,08%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,23%;0,11%;0,01%;0,08%;4,23%;0,04%;91,56%;0,11%;8,53%;14,67%;15,19%;7,15%;2,31%;2,34%;0,29%;9,34%;2,03%;10,28%;11,90%;7,88%;5,22%;8,65%;76,38%;9,62%;0,00%;1,17%;1,05%;1,71%;1,63%;1,48%;1,76%;0,66%;1,47%;0,63%;0,96%;1,76%;2,21%;1,36%;0,96%;0,07%;1,61%;0,66%;1,51%;6,36%;3,72%;1,13%;0,07%;89,44%;3,17%;3,07%;3,85%;1,51%;0,02%;0,00%;0,00%;0,00%;3,25%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,49%;1,81%;1,83%;1,25%;1,20%;2,30%;48,42%;1,62%;0,33%;0,13%;0,07%;0,04%;0,02%;0,00%;0,00%;0,04%;0,85%;0,64%;1,22%;0,71%;0,08%;0,02%;0,00%;0,75%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,97%;4,09%;0,72%;0,16%;1,37%;0,00%;1,13%
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;jun/12;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,12%;0,37%;0,06%;0,09%;0,01%;0,00%;0,18%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,26%;0,00%;0,00%;0,00%;0,01%;0,06%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,20%;0,14%;0,02%;0,02%;0,00%;0,59%;0,10%;0,00%;0,06%;0,04%;0,00%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,19%;0,19%;0,02%;0,01%;0,00%;0,00%;0,00%
b4%;b4 - Banco de Desenvolvimento;jun/12;0,25%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,47%;0,47%;0,82%;2,53%;3,39%;6,84%;0,00%;2,26%;0,00%;0,01%;0,05%;0,15%;0,37%;1,38%;0,00%;0,08%;0,00%;0,13%;0,03%;0,10%;0,08%;0,01%;0,00%;0,00%;0,07%;2,45%;0,16%;0,33%;0,61%;0,94%;1,30%;0,00%;0,58%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,03%;0,00%;0,00%;0,00%;0,11%;0,03%;0,04%;0,20%;0,53%;4,85%;0,00%;0,18%;28,98%;28,58%;30,24%;42,25%;58,11%;75,68%;77,17%;52,47%;1,79%;1,83%;1,82%;12,15%;25,84%;15,14%;0,00%;7,17%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;16,68%;0,73%;1,49%;38,42%;0,00%;0,00%;0,02%
n1%;n1 - Não Bancário de Crédito;jun/12;1,01%;0,22%;0,20%;0,26%;0,19%;0,13%;0,04%;0,00%;0,19%;8,61%;6,55%;2,59%;0,36%;0,09%;0,01%;0,00%;2,76%;0,72%;0,89%;0,80%;0,57%;0,32%;4,14%;0,00%;0,66%;3,08%;0,71%;0,71%;0,64%;0,36%;0,46%;0,45%;0,53%;3,37%;3,36%;1,60%;1,50%;0,07%;0,00%;0,00%;3,06%;1,07%;0,11%;0,25%;0,73%;0,94%;1,38%;0,00%;0,58%;2,53%;0,62%;0,77%;0,23%;0,20%;1,36%;0,14%;0,78%;0,00%;0,35%;0,29%;0,31%;0,17%;0,03%;0,00%;0,00%;0,24%;1,27%;2,80%;3,02%;4,03%;2,99%;1,47%;11,51%;3,23%;0,00%;0,00%;0,03%;0,00%;0,00%;0,00%;0,00%;0,01%;0,65%;0,13%;0,24%;0,21%;0,04%;0,00%;0,00%;0,17%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,07%;0,06%;0,08%;0,07%;0,05%;0,09%;0,00%;0,07%;1,25%;0,26%;0,35%;0,41%;0,47%;0,33%;0,03%;0,36%;0,91%;0,03%;0,08%;0,33%;0,60%;2,14%;0,00%;0,45%;0,03%;0,04%;2,38%;0,02%;0,00%;0,00%;0,00%;0,55%;0,43%;0,28%;1,10%;0,23%;0,77%;0,00%;4,12%
n2%;n2 - Não Bancário de Mercado de Capitais;jun/12;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,25%;0,04%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;1,84%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
