cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_NÃ£o_Consignado_Vencido_15d;PF_NÃ£o_Consignado_Vencer_90d;PF_NÃ£o_Consignado_Vencer_91-360d;PF_NÃ£o_Consignado_Vencer_361-1080d;PF_NÃ£o_Consignado_Vencer_1081-1800d;PF_NÃ£o_Consignado_Vencer_1801-5400d;PF_NÃ£o_Consignado_Vencer_acima_5400d;PF_NÃ£o_Consignado_TOTAL;PF_VeÃ­culos_Vencido_15d;PF_VeÃ­culos_Vencer_90d;PF_VeÃ­culos_Vencer_91-360d;PF_VeÃ­culos_Vencer_361-1080d;PF_VeÃ­culos_Vencer_1081-1800d;PF_VeÃ­culos_Vencer_1801-5400d;PF_VeÃ­culos_Vencer_acima_5400d;PF_VeÃ­culos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_CartÃ£o_Vencido_15d;PF_CartÃ£o_Vencer_90d;PF_CartÃ£o_Vencer_91-360d;PF_CartÃ£o_Vencer_361-1080d;PF_CartÃ£o_Vencer_1081-1800d;PF_CartÃ£o_Vencer_1801-5400d;PF_CartÃ£o_Vencer_acima_5400d;PF_CartÃ£o_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Micro;Pequena;MÃ©dia;Grande;Total nÃ£o Individualizado Pessoa JurÃ­dica;Total Exterior Pessoa JurÃ­dica;Qt_OperaÃ§Ãµes
1;1 - PÃºblico;jun/12;407717356;2533821;11017702;12269097;26903910;18569224;8694363;21;79988139;1368154;5259806;8934483;10999947;4130296;1444384;8;32137078;378684;783150;2110750;3317812;1957819;2328;0;8550543;1514095;6969437;17399288;44891227;40317118;62054427;6139892;179285483;1563949;14853430;2460755;94711;17;0;0;18972861;727417;10740776;18950498;16743274;11044992;10829543;3021139;72057640;1570902;5488159;5468178;3067490;881171;183898;65813;16725611;0;1961050;37930358;24928655;28527649;7297508;1641060;44129;102330408;389410;3389066;3248657;9150023;10503337;6501124;334982;33516599;432388;1551876;3339122;64428;52153;732;0;5440698;635881;13984149;3664505;1379185;83034;44;2;19746800;247556;5920133;8629005;391124;2701563;3380869;0;21270252;498199;6062792;12366883;10619882;1387530;475978;9050;31420315;709020;18840696;37397312;77664314;51958620;105533180;26220559;318323702;75372;2786182;5249112;3070663;1637231;1990001;63479;14872039;22955;412213;794953;4722814;291315;87196;10723;6342169;60914694;50356678;92037268;349719848;234493;32305303;82265201
2;2 - Privado Nacional;jun/12;415633731;747855;7709778;20145816;33628466;11297291;626389;226;74155819;2321538;9580460;14482710;13235968;2306003;565161;1924;42493764;4270855;17173468;42286931;67142457;13244200;15638;6357;144139907;116719;622290;1518920;3672180;3131801;10255079;6771317;26088305;8204813;43454115;13488777;209154;3461;48;52;65360420;184529;4552347;9909545;4666803;2221653;2014092;8724;23557692;2892545;13634674;7214988;6190193;1189496;260786;466063;31848746;7989078;3031546;38650611;51266481;44973084;8796244;2435782;316;149154064;506892;6686367;13258807;16058128;3764236;1412592;833;41687855;2259195;27876624;5190864;132344;19160;28;361198;35839413;710232;22491278;3671101;397790;99175;70650;1578;27441804;210254;11290971;15793836;4967796;1990888;1387191;0;35640937;1665753;7509741;8136162;7426299;2019901;296400;14909;27069165;202639;9885291;21541820;31719965;11426052;6630251;696259;82102279;28891;3144018;5135123;2013336;355850;2671351;0;13348568;65883;687223;3519549;8447554;3603095;1896056;36516;18255877;62808366;73343772;171287040;122654752;446032;127366702;359364802
3;3 - Privado com Controle Estrangeiro;jun/12;185451586;585471;2062432;5267675;8250508;2748203;394034;53;19308377;2706174;3799383;6850809;7604711;1178232;77953;8154;22225416;1043183;7560714;18624233;26398379;5003205;7903;7;58637624;26092;559006;1325164;2819872;1921584;5433567;2007959;14093244;3572936;21805193;2906102;254498;61415;26400;5;28626550;230537;2056390;4139860;3985527;1864290;658319;405;12935328;2783970;6049172;4030899;3174832;1336022;327966;34213;17737075;11887972;1537200;14085049;18914966;15461449;3082578;623162;3292;53707697;254072;7524646;8899004;7088559;1218428;478921;641704;26105334;1043574;9174809;3055628;203768;97217;41374;60078;13676448;194079;7882850;2903673;574588;9497;4359;3;11569049;244215;7463410;10261489;1683473;758631;1269245;35736;21716198;1439112;5961791;5627804;4772208;1300346;293419;3888;19398568;242742;5493664;11193624;14751854;4660221;748375;40463;37130942;11438;1229175;1916448;481175;149661;37883;0;3825779;9815;948132;3018554;2881101;335980;1029755;0;8223337;19161049;40854623;80139017;55164149;34515;22985868;76466424
b1;b1 - Banco Comercial, Banco MÃºltiplo com Carteira Comercial ou Caixa EconÃ´mica;jun/12;939399410;3846548;20397229;36633297;67253173;32101801;9643212;108;169875368;5664255;16029673;26884387;29217253;6980825;1856955;7667;86641015;5463328;22407126;55370817;86461969;18232093;21135;6362;187962830;1604675;8091884;20097951;51053364;45205550;77384321;14851547;218289291;12389230;76033137;18007934;518063;62106;26439;5;107036915;878219;14287887;26651718;20926048;13124137;11818576;3021460;90708045;6879907;22381232;14509637;11278932;3167309;683145;108832;59008995;19876952;6374389;88474289;91806243;86605906;18576608;4600498;47421;296485353;986232;12415055;19210210;27072182;14145619;8069175;864380;82762853;3710429;38015309;10814748;385646;166620;42106;44426;53179284;1456752;40438381;8150218;2186675;191632;75054;1583;52500294;702025;24656358;34623275;6993554;5449603;6037113;23684;78485611;3521421;18131493;25127136;22345961;4574925;987280;13688;74701906;651171;21887877;42388526;60816231;25038271;26815059;6116582;183713717;104569;6955306;11843623;4702969;1517092;3873451;63479;29060490;98621;2046657;7158325;16047761;4230342;3013008;47239;32641952;109612841;144769194;317601062;310852061;696302;182603949;484880283
b2;b2 - Banco MÃºltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de CÃ¢mbio;jun/12;27086640;232;8228;18150;17388;1288;0;0;45287;591;10215;17660;12714;1141;29;0;42350;180215;2618041;6448181;8747531;1700595;2227;0;19696789;1261;647;983;1422;1079;1163;182;6736;472039;1297708;544025;31450;0;0;0;2345222;137824;414042;984299;1825241;1001590;258268;0;4621263;36330;44143;77799;127168;41986;1492;75;328993;0;47182;839058;931659;627079;289646;15950;0;2750574;114050;4495340;4896374;3016301;521174;10000;0;13053240;0;0;0;0;0;0;0;0;26158;2154157;1909891;159475;0;0;0;4249682;0;18126;61055;48185;0;0;12051;139418;21321;990861;456621;121738;47929;1332;0;1639803;150430;2400116;6214985;10307694;3122407;265000;28557;22489188;7023;25112;72535;128324;57091;12894;0;302980;0;0;0;0;0;0;0;0;7166873;11072765;14428020;11953818;3409;53923;5936984
b3S;b3S - Cooperativa de CrÃ©dito Singulares;jun/12;29630600;12042;342297;932609;1384847;468043;67782;192;3207813;179927;1378953;2582298;2493665;625441;230353;2418;7493055;8435;265658;701633;1097779;208252;1436;2;2283196;0;0;0;0;0;0;0;0;31032;87830;2226;447;2743;9;52;124339;97470;2545442;5011105;1814839;349483;315714;8773;10142826;147194;2587178;1988905;979137;177770;66810;432376;6379371;0;76692;955319;1630027;1448759;284672;82934;316;4478719;7293;168317;447778;712336;210063;80478;666;1626931;24712;584533;737350;14890;1909;28;376791;1740213;47306;1707718;154222;466;6;0;0;1909718;0;0;0;0;0;0;0;0;53662;352715;478358;285492;56654;24526;13482;1264889;3805;44099;52477;50542;16209;2377;0;169508;987;45927;150489;39461;1815;985;0;239663;0;0;0;0;0;0;0;0;1383420;6738186;2466919;831296;9819;0;5850043
b3C;b3C - Central e ConfederaÃ§Ã£o de Cooperativas de CrÃ©dito;jun/12;3421;0;18;35;0;0;0;0;53;433;782;766;988;60;0;0;3029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;194;58;0;0;339;0;14;105903;356635;54355;17820;576;0;535302;0;281;470;168;0;0;0;919;0;3403;30517;0;0;0;58;33979;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;356;38335;36941;4567;856;1;164;81221;0;20026;24692;210;7236;50;0;52214;0;0;9;18;9;9;0;44;0;0;0;0;0;0;0;0;267302;308260;75809;52304;3;0;1305
b4;b4 - Banco de Desenvolvimento;jun/12;2503487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16749;82392;270489;643129;513332;923657;35;2449782;336;2638;8402;18865;12769;10695;0;53706;0;8788;26993;93175;74507;2252;0;0;205714;28204;27989;84938;195668;145402;109358;0;591558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;655;1479;193;0;2357;3884;5208;11074;45685;24964;51676;0;142491;334575;9779602;21209718;52452558;39539040;85455123;20803598;229574215;2069;131056;224095;675970;553788;711368;0;2298346;0;0;0;0;0;0;0;0;23832537;1198861;5126051;202657206;26;0;83273
n1;n1 - NÃ£o BancÃ¡rio de CrÃ©dito;jun/12;10155078;8324;42139;98498;127475;43585;3792;0;323813;550660;1220027;782892;116007;7064;160;0;2676810;40746;226508;501282;551370;64284;1070;0;1385260;50969;58202;144438;328493;163875;357589;67438;1171004;449396;2694063;301449;8403;45;0;0;3453355;12221;19749;82292;186346;142394;185741;0;628744;183650;156814;129236;28218;6798;10508;770;515993;99;22733;264456;292362;151578;5331;46;0;736507;14595;493097;766699;1300056;463743;123625;112474;3274288;17;63;2999;4;0;0;0;3084;9975;58021;24947;4946;69;0;0;97958;0;0;0;0;0;0;0;0;2420;11711;20719;14945;2448;982;0;53225;14419;87932;242358;508899;321731;374198;8544;1558081;1052;1973;9931;18431;12947;100529;0;144863;32;912;174731;3709;47;0;0;179430;621023;467522;3764917;1188499;5476;0;21343620
n2;n2 - NÃ£o BancÃ¡rio de Mercado de Capitais;jun/12;24036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24036;24036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4002;0;0;0;0;512;4514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;285;547;3565;4;0;919
